Item #,Diameter (mm),Focal Length (mm),Radius of Curvature (mm),Center Thickness (mm),Edge Thickness (mm),Back Focal Length (mm)
LA4024,2.0,4.0,1.8,1.0,0.6,3.31
LA4026,2.0,6.0,2.8,1.0,0.7,5.31
LA4036,3.0,6.0,2.8,1.5,1.0,4.97
LA4039,3.0,9.0,4.1,1.5,1.1,7.97
LA4249,5.0,10.0,4.6,2.2,1.5,8.5
LA4280,6.0,10.0,4.6,2.6,1.5,8.2
LA4917,6.0,15.1,6.9,2.2,1.5,13.6
LA4194,6.0,20.1,9.2,2.0,1.5,18.7
LA4966,6.0,30.1,13.8,1.8,1.5,28.9
LA4001,12.7,15.0,6.9,6.0,1.8,10.9
LA4647,12.7,20.1,9.2,4.3,1.8,17.1
LA4002,12.7,25.0,11.5,3.7,1.8,22.5
LA4936,12.7,30.1,13.8,3.4,1.8,27.8
LA4003,12.7,35.0,16.0,3.1,1.8,32.9
LA4130,12.7,40.1,18.4,2.9,1.8,38.1
LA4765,12.7,50.2,23.0,2.7,1.8,48.3
LA4042,12.7,60.0,27.5,2.5,1.8,58.2
LA4327,12.7,75.3,34.5,2.4,1.8,73.6
LA4600,12.7,100.3,46.0,2.2,1.8,98.8
LA4043,12.7,125.0,57.3,2.2,1.8,123.5
LA4004,12.7,149.9,68.7,2.1,1.8,148.5
LA4005,12.7,175.0,80.2,2.1,1.8,173.6
LA4006,12.7,200.0,91.7,2.0,1.8,198.6
LA4007,12.7,250.0,114.6,2.0,1.8,248.6
LA4008,12.7,300.0,137.5,2.0,1.8,298.6
LA4009,12.7,350.0,160.5,1.9,1.8,348.7
LA4010,12.7,400.0,183.4,1.9,1.8,398.7
LA4011,12.7,449.9,206.3,1.9,1.8,448.7
LA4012,12.7,500.0,229.2,1.9,1.8,498.7
LA4013,12.7,600.0,275.1,1.9,1.8,598.7
LA4014,12.7,750.0,343.8,1.9,1.8,748.7
LA4015,12.7,850.0,386.7,1.9,1.8,848.7
LA4016,12.7,1000.0,458.5,1.8,1.8,998.7
LA4017,12.7,1500.0,687.7,1.8,1.8,1498.7
LA4018,12.7,2000.0,916.9,1.8,1.8,1998.8
LA4019,12.7,2500.0,1146.2,1.8,1.8,2498.8
LA4021,25.4,30.0,13.8,10.5,2.0,22.8
LA4052,25.4,35.1,16.1,8.2,2.0,29.5
LA4306,25.4,40.1,18.4,7.1,2.0,35.3
LA4148,25.4,50.2,23.0,5.8,2.0,46.2
LA4022,25.4,60.0,27.5,5.1,2.0,56.5
LA4725,25.4,75.3,34.5,4.4,2.0,72.2
LA4380,25.4,100.3,46.0,3.8,2.0,97.7
LA4236,25.4,125.4,57.5,3.4,2.0,123.1
LA4874,25.4,150.5,69.0,3.2,2.0,148.4
LA4924,25.4,175.6,80.5,3.0,2.0,173.6
LA4102,25.4,200.7,92.0,2.9,2.0,198.7
LA4158,25.4,250.9,115.0,2.7,2.0,249.0
LA4579,25.4,301.1,138.0,2.6,2.0,299.3
LA4023,25.4,350.0,160.5,2.5,2.0,348.3
LA4025,25.4,400.0,183.4,2.4,2.0,398.3
LA4027,25.4,450.0,206.3,2.4,2.0,448.3
LA4184,25.4,501.8,230.0,2.4,2.0,500.2
LA4028,25.4,600.0,275.1,2.3,2.0,598.4
LA4716,25.4,752.6,345.1,2.2,2.0,751.1
LA4029,25.4,850.0,389.7,2.2,2.0,848.5
LA4663,25.4,1003.5,460.1,2.2,2.0,1002.0
LA4030,25.4,1500.0,687.7,2.1,2.0,1498.5
LA4031,25.4,2000.0,916.9,2.1,2.0,1998.6
LA4032,25.4,2500.0,1146.2,2.1,2.0,2498.6
LA4464,50.8,60.2,27.6,19.8,3.0,46.6
LA4078,50.8,75.3,34.5,14.2,3.0,65.6
LA4545,50.8,100.0,46.0,10.7,3.0,93.0
LA4033,50.8,125.0,57.3,8.9,3.0,118.9
LA4904,50.8,150.5,69.0,7.8,3.0,145.1
LA4034,50.8,175.0,80.2,7.1,3.0,170.1
LA4984,50.8,200.7,92.0,6.6,3.0,196.2
LA4538,50.8,250.9,115.0,5.8,3.0,246.9
LA4855,50.8,301.1,138.0,5.4,3.0,297.4
LA4035,50.8,350.0,160.5,5.0,3.0,346.5
LA4037,50.8,400.0,183.4,4.8,3.0,396.7
LA4038,50.8,450.0,206.3,4.6,3.0,446.8
LA4782,50.8,501.8,230.0,4.4,3.0,498.7
LA4040,50.8,600.0,275.1,4.2,3.0,597.1
LA4745,50.8,752.6,345.1,3.9,3.0,750.0
LA4041,50.8,850.0,389.7,3.8,3.0,849.0
LA4337,50.8,1003.5,460.1,3.7,3.0,1000.1
LA4384,75.0,90.3,41.4,26.9,3.0,71.9
LA4372,75.0,150.5,69.0,14.1,3.0,140.9
LA4795,75.0,200.7,92.0,11.0,3.0,193.2
LA4246,75.0,501.8,230.0,6.1,3.0,497.6
70-882,1.5,4.0,1.84,0.8,0.5,3.46
70-883,1.5,6.0,2.75,0.8,0.61,5.45
70-884,2.5,6.0,2.75,1.45,1.01,5.01
70-885,2.5,9.0,4.13,1.3,1.02,8.11
70-886,3.6,8.0,3.67,1.6,1.01,6.91
70-888,3.6,12.0,5.5,1.4,1.02,11.04
89-411,4.5,10.0,4.58,2.0,1.26,8.63
89-412,4.5,15.0,6.88,1.7,1.23,13.83
89-413,4.5,20.0,9.17,1.5,1.15,18.97
89-414,4.5,25.0,11.46,1.5,1.22,23.97
45-690,5.4,9.0,4.13,2.5,1.21,7.29
45-691,5.4,12.0,5.5,2.0,1.11,10.63
48-664,5.4,15.0,6.88,2.0,1.31,13.63
45-692,5.4,18.0,8.25,2.0,1.44,16.62
36-679,5.4,21.0,9.63,2.0,1.52,19.63
48-665,5.4,24.0,11.0,2.0,1.58,22.63
36-680,5.4,36.0,16.51,2.0,1.73,34.63
48-666,8.1,12.0,5.5,4.0,1.66,9.26
45-693,8.1,13.5,6.19,3.0,1.06,11.44
45-694,8.1,18.0,8.25,3.0,1.66,15.94
36-681,8.1,22.0,10.09,3.0,1.94,19.94
45-695,8.1,27.0,12.38,2.0,1.15,25.63
48-667,8.1,36.0,16.51,2.0,1.38,34.63
36-682,9.0,20.0,9.17,3.0,1.52,17.94
36-683,9.0,25.0,11.46,3.0,1.85,22.94
48-668,11.0,18.0,8.25,4.0,1.41,15.26
48-024,11.0,25.0,11.46,3.92,2.22,22.31
48-025,11.0,30.0,13.75,3.55,2.17,27.56
48-669,11.0,36.0,16.51,2.5,1.37,34.29
48-026,11.0,40.0,18.34,3.13,2.12,37.85
48-027,11.0,50.0,22.92,2.9,2.1,48.01
36-684,11.0,72.0,33.01,2.5,1.95,70.29
36-685,11.0,84.0,38.51,2.5,2.03,82.28
48-028,11.0,100.0,45.85,2.44,2.05,98.33
84-277,14.0,25.0,11.46,4.25,1.46,22.09
84-278,14.0,30.0,13.75,3.6,1.38,27.53
84-279,14.0,45.0,20.63,3.0,1.59,42.94
84-280,14.0,60.0,27.51,3.0,1.96,57.94
