Item #,Title,Diameter (mm),Center Thickness (mm),Edge Thickness (mm),Focal Length (mm),Back Focal Length (mm),Numerical Aperture,f/#,Back Surface Shape,Radius R2 (mm),Asphere Diameter (mm),Substrate,Coating,Wavelength Range (nm),Radius R1 (mm),Lens Type
22-840,"10mm Dia. x 4.5mm FL, Aspheric Condenser Lens",10.0000,6.0000,1.8700,4.5000,1.6500,0.7400,0.4500,Aspheric ,-3.239 ,10.0000,H-K51 ,Uncoated ,,7.3688,Aspheric 
23-811,"10mm Dia. x 4.5mm FL, MgF2 Coated, Aspheric Condenser Lens",10.0000,6.0000,1.8700,4.5000,1.6500,0.7400,0.4500,Aspheric ,-3.239 ,10.0000,H-K51 ,MgF2  (400-700nm) ,400 - 700 ,7.3688,Aspheric 
72-492,"10mm Dia. x 4.5mm FL, Aspheric Condenser Lens, VIS-EXT",10.0000,6.0000,1.8700,4.5000,1.6500,0.7400,0.4500,Aspheric ,-3.239 ,10.0000,H-K51 ,VIS-EXT (350-700nm) ,350 - 700 ,7.3688,Aspheric 
72-512,"10mm Dia. x 4.5mm FL, Aspheric Condenser Lens, NIR I",10.0000,6.0000,1.8700,4.5000,1.6500,0.7400,0.4500,Aspheric ,-3.239 ,10.0000,H-K51 ,NIR I (600-1050nm) ,350 - 700 ,7.3688,Aspheric 
22-841,"12mm Dia. x 8.5mm FL, Aspheric Condenser Lens",12.0000,5.5000,1.7700,8.5000,5.8500,0.7000,0.7100,Aspheric ,-12.00 ,12.0000,H-K51 ,Uncoated ,,6.5806,Aspheric 
23-812,"12mm Dia. x 8.5mm FL, MgF2 Coated, Aspheric Condenser Lens",12.0000,5.5000,1.7700,8.5000,5.8500,0.7000,0.7100,Aspheric ,-12.00 ,12.0000,H-K51 ,MgF2  (400-700nm) ,400 - 700 ,6.5806,Aspheric 
72-493,"12mm Dia. x 8.5mm FL, Aspheric Condenser Lens, VIS-EXT",12.0000,5.5000,1.7700,8.5000,5.8500,0.7000,0.7100,Aspheric ,-12.00 ,12.0000,H-K51 ,VIS-EXT (350-700nm) ,350 - 700 ,6.5806,Aspheric 
72-513,"12mm Dia. x 8.5mm FL, Aspheric Condenser Lens, NIR I",12.0000,5.5000,1.7700,8.5000,5.8500,0.7000,0.7100,Aspheric ,-12.00 ,12.0000,H-K51 ,NIR I (600-1050nm) ,350 - 700 ,6.5806,Aspheric 
19-510,"8mm Dia. x 5.6mm FL, Aspheric Condenser Lens",8.0000,4.0000,1.3300,5.6000,3.3000,0.7100,0.7000,Convex ,16.52 ,8.0000,H-ZK2 ,Uncoated ,350 - 2000 ,2.3942,Convex 
21-193,"8mm Dia. x 5.6mm FL, MgF2 Coated, Aspheric Condenser Lens",8.0000,4.0000,1.3300,5.6000,3.3000,0.7100,0.7000,Convex ,16.52 ,8.0000,H-ZK2 ,MgF2 (400-700nm) ,400 - 700 ,2.3942,Convex 
72-503,"12.7mm Dia. x 8mm FL, Aspheric Condenser Lens, NIR I",12.7000,7.5000,1.8600,8.0000,3.7000,0.7900,0.6300,Convex ,15.65 ,12.7000,H-K51 ,NIR I (600-1050nm) ,350 - 700 ,3.1858,Convex 
19-512,"12.7mm Dia. x 8mm FL, Aspheric Condenser Lens",12.7000,7.5000,1.8600,8.0000,3.7000,0.7900,0.6300,Convex ,15.65 ,12.7000,H-K51 ,Uncoated ,350 - 2000 ,3.1858,Convex 
21-195,"12.7mm Dia. x 8mm FL, MgF2 Coated, Aspheric Condenser Lens",12.7000,7.5000,1.8600,8.0000,3.7000,0.7900,0.6300,Convex ,15.65 ,12.7000,H-K51 ,MgF2 (400-700nm) ,400 - 700 ,3.1858,Convex 
72-483,"12.7mm Dia. x 8mm FL, Aspheric Condenser Lens, VIS-EXT",12.7000,7.5000,1.8600,8.0000,3.7000,0.7900,0.6300,Convex ,15.65 ,12.7000,H-K51 ,VIS-EXT (350-700nm) ,350 - 700 ,3.1858,Convex 
22-842,"16mm Dia. x 8.3mm FL, PCX Condenser Lens",16.0000,7.0000,1.3900,8.3000,5.5800,0.9600,0.5200,Convex ,-7.20 ,,H-K9L ,Uncoated ,,9.7967,Convex 
23-813,"16mm Dia. x 8.3mm FL, MgF2 Coated, PCX Condenser Lens",16.0000,7.0000,1.3900,8.3000,5.5800,0.9600,0.5200,Convex ,-7.20 ,,H-K9L ,MgF2  (400-700nm) ,400 - 700 ,9.7967,Convex 
72-494,"16mm Dia. x 8.3mm FL, PCX Condenser Lens, VIS-EXT",16.0000,7.0000,1.3900,8.3000,5.5800,0.9600,0.5200,Convex ,-7.20 ,16.0000,H-K9L ,VIS-EXT (350-700nm) ,350 - 700 ,9.7967,Convex 
72-514,"16mm Dia. x 8.3mm FL, PCX Condenser Lens, NIR I",16.0000,7.0000,1.3900,8.3000,5.5800,0.9600,0.5200,Convex ,-7.20 ,16.0000,H-K9L ,NIR I (600-1050nm) ,350 - 700 ,9.7967,Convex 
84-882,"18.5mm Diameter x 12mm FL, Aspheric Condenser Lens",18.5000,8.0000,1.5000,12.0000,8.7000,0.7700,0.6000,Convex ,11.3 ,18.5000,B270 ,Uncoated ,350 - 2500 ,3.9191,Convex 
15-532,"18.5mm Diameter x 12mm FL, MgF2 Coated, Aspheric Condenser Lens",18.5000,8.0000,1.5000,12.0000,8.7000,0.7700,0.6000,Convex ,11.3 ,18.5000,B270 ,MgF2 (400-700nm) ,400 - 700 ,3.9191,Convex 
72-487,"25.4mm Dia. x 16mm FL, Aspheric Condenser Lens, VIS-EXT",25.4000,14.0000,1.4100,16.0000,7.3000,0.7900,0.6300,Convex ,70.00 ,25.4000,H-K51 ,VIS-EXT (350-700nm) ,350 - 700 ,7.1795,Convex 
