Item #,Diameter (mm),Focal Length (mm),Radius of Curvature (mm),Center Thickness (mm),Edge Thickness (mm),Back Focal Length (mm)
89-412,4.5,15.0,6.88,1.7,1.23,13.83
89-414,4.5,25.0,11.46,1.5,1.22,23.97
89-413,4.5,20.0,9.17,1.5,1.15,18.97
36-679,5.4,21.0,9.63,2.0,1.52,19.63
45-691,5.4,12.0,5.5,2.0,1.11,10.63
48-665,5.4,24.0,11.0,2.0,1.58,22.63
45-692,5.4,18.0,8.25,2.0,1.44,16.62
48-664,5.4,15.0,6.88,2.0,1.31,13.63
36-680,5.4,36.0,16.51,2.0,1.73,34.63
LA4917,6.0,15.1,6.9,2.2,1.5,13.6
LA4966,6.0,30.1,13.8,1.8,1.5,28.9
LA4194,6.0,20.1,9.2,2.0,1.5,18.7
48-666,8.1,12.0,5.5,4.0,1.66,9.26
45-693,8.1,13.5,6.19,3.0,1.06,11.44
45-694,8.1,18.0,8.25,3.0,1.66,15.94
36-681,8.1,22.0,10.09,3.0,1.94,19.94
45-695,8.1,27.0,12.38,2.0,1.15,25.63
48-667,8.1,36.0,16.51,2.0,1.38,34.63
36-682,9.0,20.0,9.17,3.0,1.52,17.94
36-683,9.0,25.0,11.46,3.0,1.85,22.94
48-028,11.0,100.0,45.85,2.44,2.05,98.33
48-669,11.0,36.0,16.51,2.5,1.37,34.29
48-025,11.0,30.0,13.75,3.55,2.17,27.56
48-024,11.0,25.0,11.46,3.92,2.22,22.31
48-026,11.0,40.0,18.34,3.13,2.12,37.85
36-685,11.0,84.0,38.51,2.5,2.03,82.28
36-684,11.0,72.0,33.01,2.5,1.95,70.29
48-027,11.0,50.0,22.92,2.9,2.1,48.01
48-668,11.0,18.0,8.25,4.0,1.41,15.26
LA4003,12.7,35.0,16.0,3.1,1.8,32.9
LA4002,12.7,25.0,11.5,3.7,1.8,22.5
LA4647,12.7,20.1,9.2,4.3,1.8,17.1
LA4130,12.7,40.1,18.4,2.9,1.8,38.1
LA4765,12.7,50.2,23.0,2.7,1.8,48.3
LA4936,12.7,30.1,13.8,3.4,1.8,27.8
LA4327,12.7,75.3,34.5,2.4,1.8,73.6
LA4042,12.7,60.0,27.5,2.5,1.8,58.2
LA4001,12.7,15.0,6.9,6.0,1.8,10.9
84-277,14.0,25.0,11.46,4.25,1.46,22.09
84-278,14.0,30.0,13.75,3.6,1.38,27.53
84-281,14.0,75.0,34.39,3.0,2.17,72.94
84-280,14.0,60.0,27.51,3.0,1.96,57.94
84-279,14.0,45.0,20.63,3.0,1.59,42.94
36-686,17.0,27.0,12.38,5.5,1.62,23.23
36-687,17.0,36.0,16.51,4.5,1.83,32.92
36-688,17.0,54.0,24.76,3.5,1.81,51.6
49-959,19.0,30.0,13.75,6.0,1.69,25.88
49-960,19.0,35.0,16.05,5.0,1.5,31.58
49-963,19.0,60.0,27.51,3.5,1.62,57.6
49-964,19.0,80.0,36.68,3.0,1.61,77.95
49-961,19.0,40.0,18.34,4.5,1.53,36.92
49-962,19.0,50.0,22.92,4.0,1.7,47.25
36-690,24.0,40.0,18.34,7.5,2.58,34.86
48-274,24.0,50.0,22.92,5.84,2.13,46.0
36-689,24.0,35.0,16.05,8.5,2.51,29.17
48-273,24.0,38.0,17.42,7.25,1.96,33.03
48-670,24.0,60.0,27.51,4.5,1.5,56.92
48-275,24.0,75.0,34.39,4.43,2.08,71.96
48-276,24.0,100.0,45.85,3.79,2.05,97.4
LA4022,25.4,60.0,27.5,5.1,2.0,56.5
LA4021,25.4,30.0,13.8,10.5,2.0,22.8
LA4052,25.4,35.1,16.1,8.2,2.0,29.5
LA4306,25.4,40.1,18.4,7.1,2.0,35.3
LA4725,25.4,75.3,34.5,4.4,2.0,72.2
LA4148,25.4,50.2,23.0,5.8,2.0,46.2
84-282,29.0,50.0,22.92,7.0,1.41,45.2
84-283,29.0,60.0,27.51,6.0,1.55,55.89
84-284,29.0,90.0,41.26,5.0,2.18,86.57
