Item #,Diameter (mm),Focal Length (mm),Radius of Curvature (mm),Center Thickness (mm),Edge Thickness (mm),Back Focal Length (mm)
70-883,1.5,6.0,2.75,0.8,0.61,5.45
70-882,1.5,4.0,1.84,0.8,0.5,3.46
LA4024,2.0,4.0,1.8,1.0,0.6,3.31
LA4026,2.0,6.0,2.8,1.0,0.7,5.31
70-884,2.5,6.0,2.75,1.45,1.01,5.01
LA4036,3.0,6.0,2.8,1.5,1.0,4.97
70-886,3.6,8.0,3.67,1.6,1.01,6.91
70-888,3.6,12.0,5.5,1.4,1.02,11.04
89-411,4.5,10.0,4.58,2.0,1.26,8.63
89-414,4.5,25.0,11.46,1.5,1.22,23.97
LA4249,5.0,10.0,4.6,2.2,1.5,8.5
45-691,5.4,12.0,5.5,2.0,1.11,10.63
45-692,5.4,18.0,8.25,2.0,1.44,16.62
LA4280,6.0,10.0,4.6,2.6,1.5,8.2
LA4966,6.0,30.1,13.8,1.8,1.5,28.9
LA4194,6.0,20.1,9.2,2.0,1.5,18.7
45-693,8.1,13.5,6.19,3.0,1.06,11.44
48-666,8.1,12.0,5.5,4.0,1.66,9.26
45-694,8.1,18.0,8.25,3.0,1.66,15.94
36-683,9.0,25.0,11.46,3.0,1.85,22.94
48-024,11.0,25.0,11.46,3.92,2.22,22.31
48-668,11.0,18.0,8.25,4.0,1.41,15.26
48-025,11.0,30.0,13.75,3.55,2.17,27.56
LA4647,12.7,20.1,9.2,4.3,1.8,17.1
LA4005,12.7,175.0,80.2,2.1,1.8,173.6
LA4042,12.7,60.0,27.5,2.5,1.8,58.2
LA4936,12.7,30.1,13.8,3.4,1.8,27.8
LA4002,12.7,25.0,11.5,3.7,1.8,22.5
84-280,14.0,60.0,27.51,3.0,1.96,57.94
84-279,14.0,45.0,20.63,3.0,1.59,42.94
84-278,14.0,30.0,13.75,3.6,1.38,27.53
84-277,14.0,25.0,11.46,4.25,1.46,22.09
36-688,17.0,54.0,24.76,3.5,1.81,51.6
49-959,19.0,30.0,13.75,6.0,1.69,25.88
49-963,19.0,60.0,27.51,3.5,1.62,57.6
48-273,24.0,38.0,17.42,7.25,1.96,33.03
48-670,24.0,60.0,27.51,4.5,1.5,56.92
48-279,24.0,175.0,80.23,3.01,2.03,172.94
LA4021,25.4,30.0,13.8,10.5,2.0,22.8
LA4022,25.4,60.0,27.5,5.1,2.0,56.5
84-283,29.0,60.0,27.51,6.0,1.55,55.89
84-285,29.0,120.0,55.02,5.0,2.92,116.57
LA4464,50.8,60.2,27.6,19.8,3.0,46.6
LA4034,50.8,175.0,80.2,7.1,3.0,170.1
