z_l1,z_l2,z_fiber,coupling,lens1,lens2,f1_mm,f2_mm,total_len_mm
9.7,26.45,46.55,0.22,45-692,LA4647,18.0,20.1,46.55
9.7,34.7,64.7,0.22,45-692,LA4021,18.0,30.0,64.7
9.7,84.7,114.7,0.204,45-692,49-959,18.0,30.0,114.7
9.7,24.75,54.85,0.196,45-692,LA4966,18.0,30.1,54.85
9.7,72.2,97.2,0.194,45-692,84-277,18.0,25.0,97.2
9.7,92.03333333333333,130.03333333333333,0.193,45-692,48-273,18.0,38.0,130.03333333333333
9.7,24.7,54.7,0.19,45-692,84-278,18.0,30.0,54.7
9.7,72.2,97.2,0.188,45-692,LA4002,18.0,25.0,97.2
9.7,14.1625,44.1625,0.186,45-692,48-025,18.0,30.0,44.1625
9.7,89.69999999999999,149.7,0.183,45-692,LA4022,18.0,60.0,149.7
9.7,79.69999999999999,139.7,0.178,45-692,84-280,18.0,60.0,139.7
9.7,12.412499999999998,30.412499999999998,0.177,45-692,45-694,18.0,18.0,30.412499999999998
9.7,13.433333333333334,38.43333333333334,0.177,45-692,89-414,18.0,25.0,38.43333333333334
9.7,54.7,108.7,0.176,45-692,36-688,18.0,54.0,108.7
9.7,99.69999999999999,159.7,0.176,45-692,49-963,18.0,60.0,159.7
9.7,32.2,77.2,0.174,45-692,84-279,18.0,45.0,77.2
9.7,13.433333333333334,38.43333333333334,0.173,45-692,36-683,18.0,25.0,38.43333333333334
9.7,18.7,36.7,0.17,45-692,48-668,18.0,18.0,36.7
9.7,55.53333333333333,80.53333333333333,0.17,45-692,48-024,18.0,25.0,80.53333333333333
9.7,389.7,509.7,0.169,45-692,84-285,18.0,120.0,509.7
9.7,14.177083333333332,44.27708333333334,0.167,45-692,LA4936,18.0,30.1,44.27708333333334
9.7,89.69999999999999,149.7,0.166,45-692,48-670,18.0,60.0,149.7
9.7,18.7,36.7,0.164,45-692,45-692,18.0,18.0,36.7
9.7,79.69999999999999,139.7,0.161,45-692,LA4042,18.0,60.0,139.7
9.7,12.71875,32.81875,0.16,45-692,LA4194,18.0,20.1,32.81875
9.7,99.69999999999999,159.7,0.148,45-692,84-283,18.0,60.0,159.7
10.420833333333333,200.33333333333331,260.5333333333333,0.141,45-692,LA4464,18.0,60.2,260.5333333333333
9.7,39.7,51.7,0.132,48-664,48-666,15.0,12.0,51.7
9.7,52.45,65.95,0.126,48-664,45-693,15.0,13.5,65.95
10.420833333333333,534.7,709.7,0.12,45-692,LA4005,18.0,175.0,709.7
9.7,16.45,29.95,0.118,45-692,45-693,18.0,13.5,29.95
9.7,31.36666666666667,41.366666666666674,0.116,45-693,LA4249,13.5,10.0,41.366666666666674
10.420833333333333,563.8666666666667,738.8666666666667,0.112,45-692,LA4034,18.0,175.0,738.8666666666667
9.7,53.25,73.35,0.104,48-664,LA4647,15.0,20.1,73.35
9.7,66.7,84.7,0.101,48-664,45-694,15.0,18.0,84.7
10.420833333333333,534.7,709.7,0.101,45-692,48-279,18.0,175.0,709.7
9.7,15.7,27.7,0.098,45-692,45-691,18.0,12.0,27.7
10.233333333333333,41.366666666666674,51.366666666666674,0.098,48-664,LA4280,15.0,10.0,51.366666666666674
9.7,54.7,72.7,0.098,48-664,48-668,15.0,18.0,72.7
9.7,73.35000000000001,93.45000000000002,0.098,48-664,LA4194,15.0,20.1,93.45000000000002
9.7,34.7,44.7,0.094,45-693,LA4280,13.5,10.0,44.7
9.7,47.7,59.7,0.093,45-693,45-691,13.5,12.0,59.7
9.7,66.7,84.7,0.092,48-664,45-692,15.0,18.0,84.7
9.7,72.2,97.2,0.092,48-664,36-683,15.0,25.0,97.2
9.7,39.7,51.7,0.091,45-693,48-666,13.5,12.0,51.7
9.7,13.275,25.275,0.086,45-692,48-666,18.0,12.0,25.275
9.7,15.7,27.7,0.084,45-692,70-888,18.0,12.0,27.7
9.7,24.7,54.7,0.084,48-664,LA4021,15.0,30.0,54.7
9.7,50.2,63.7,0.081,45-693,45-693,13.5,13.5,63.7
9.7,104.7,134.7,0.081,48-664,49-959,15.0,30.0,134.7
9.7,88.86666666666667,113.86666666666667,0.079,48-664,84-277,15.0,25.0,113.86666666666667
9.7,54.7,72.7,0.078,45-693,45-694,13.5,18.0,72.7
9.7,72.2,97.2,0.078,48-664,LA4002,15.0,25.0,97.2
9.7,105.01666666666667,135.11666666666667,0.078,48-664,LA4936,15.0,30.1,135.11666666666667
9.7,88.86666666666667,113.86666666666667,0.076,48-664,48-024,15.0,25.0,113.86666666666667
9.7,34.7,44.7,0.074,45-693,89-411,13.5,10.0,44.7
9.7,84.95,115.05000000000001,0.074,48-664,LA4966,15.0,30.1,115.05000000000001
9.7,94.7,124.7,0.072,48-664,84-278,15.0,30.0,124.7
9.7,39.7,51.7,0.07,45-693,70-888,13.5,12.0,51.7
9.7,63.7,81.7,0.07,45-693,48-668,13.5,18.0,81.7
10.139583333333333,35.03333333333333,43.03333333333333,0.069,45-693,70-886,13.5,8.0,43.03333333333333
9.7,130.03333333333333,168.03333333333333,0.069,48-664,48-273,15.0,38.0,168.03333333333333
9.7,14.7,24.7,0.068,45-692,LA4280,18.0,10.0,24.7
9.7,12.691666666666666,22.691666666666666,0.066,45-692,LA4249,18.0,10.0,22.691666666666666
9.7,59.86666666666666,120.06666666666666,0.066,48-664,LA4464,15.0,60.2,120.06666666666666
9.7,189.7,249.7,0.065,48-664,84-280,15.0,60.0,249.7
9.7,180.7,234.7,0.063,48-664,36-688,15.0,54.0,234.7
9.7,199.7,259.7,0.063,48-664,49-963,15.0,60.0,259.7
9.7,54.7,72.7,0.062,45-693,45-692,13.5,18.0,72.7
9.7,74.7,104.7,0.062,48-664,48-025,15.0,30.0,104.7
9.7,189.7,249.7,0.061,48-664,LA4042,15.0,60.0,249.7
9.7,189.7,249.7,0.061,48-664,LA4022,15.0,60.0,249.7
9.7,14.7,24.7,0.06,45-692,89-411,18.0,10.0,24.7
9.7,70.0,90.1,0.06,45-693,LA4647,13.5,20.1,90.1
9.7,63.866666666666674,88.86666666666667,0.058,45-693,36-683,13.5,25.0,88.86666666666667
9.7,73.35000000000001,93.45000000000002,0.058,45-693,LA4194,13.5,20.1,93.45000000000002
9.7,122.2,167.2,0.058,48-664,84-279,15.0,45.0,167.2
9.7,159.7,219.7,0.054,48-664,48-670,15.0,60.0,219.7
9.7,159.7,219.7,0.052,48-664,84-283,15.0,60.0,219.7
9.7,309.7,429.7,0.044,48-664,84-285,15.0,120.0,429.7
9.7,13.7,21.7,0.042,45-692,70-886,18.0,8.0,21.7
9.7,104.7,134.7,0.042,45-693,48-025,13.5,30.0,134.7
9.7,80.53333333333335,105.53333333333335,0.038,45-693,89-414,13.5,25.0,105.53333333333335
9.7,330.53333333333336,505.53333333333336,0.036,48-664,48-279,15.0,175.0,505.53333333333336
9.7,388.8666666666667,563.8666666666667,0.036,48-664,LA4034,15.0,175.0,563.8666666666667
9.7,88.86666666666667,113.86666666666667,0.035,45-693,48-024,13.5,25.0,113.86666666666667
9.7,27.7,33.7,0.033,45-693,LA4036,13.5,6.0,33.7
10.579166666666666,28.7,34.7,0.033,45-693,70-884,13.5,6.0,34.7
9.7,105.01666666666667,135.11666666666667,0.033,45-693,LA4966,13.5,30.1,135.11666666666667
9.7,22.7,28.7,0.032,45-693,LA4026,13.5,6.0,28.7
9.7,447.2,622.2,0.032,48-664,LA4005,15.0,175.0,622.2
9.7,12.7,18.7,0.028,45-692,70-883,18.0,6.0,18.7
9.7,12.7,18.7,0.028,45-692,LA4026,18.0,6.0,18.7
9.7,12.7,18.7,0.028,45-692,70-884,18.0,6.0,18.7
9.7,12.7,18.7,0.028,45-692,LA4036,18.0,6.0,18.7
9.7,22.7,28.7,0.026,45-693,70-883,13.5,6.0,28.7
