z_l1,z_l2,z_fiber,coupling,lens1,lens2,f1_mm,f2_mm,total_len_mm
9.7,189.7,249.7,0.338,36-681,84-280,22.0,60.0,249.7
9.7,189.7,249.7,0.331,36-681,49-963,22.0,60.0,249.7
9.7,189.7,249.7,0.326,36-681,LA4022,22.0,60.0,249.7
9.7,59.7,89.7,0.325,36-681,84-278,22.0,30.0,89.7
9.7,122.2,167.2,0.325,36-681,84-279,22.0,45.0,167.2
9.7,189.7,249.7,0.325,36-681,LA4042,22.0,60.0,249.7
9.7,162.7,216.7,0.32,36-681,36-688,22.0,54.0,216.7
9.7,59.7,89.7,0.313,36-681,48-025,22.0,30.0,89.7
9.7,54.85,84.95,0.306,36-681,LA4966,22.0,30.1,84.95
9.7,189.7,249.7,0.3,36-681,48-670,22.0,60.0,249.7
9.7,59.86666666666667,89.96666666666667,0.299,36-681,LA4936,22.0,30.1,89.96666666666667
9.7,94.7,124.7,0.296,89-413,LA4021,20.0,30.0,124.7
10.670833333333333,22.2,47.2,0.295,36-681,48-024,22.0,25.0,47.2
9.7,92.03333333333332,130.03333333333333,0.29,89-413,48-273,20.0,38.0,130.03333333333333
9.7,92.03333333333332,130.03333333333333,0.288,36-682,48-273,20.0,38.0,130.03333333333333
9.7,189.7,249.7,0.279,36-681,84-283,22.0,60.0,249.7
9.7,29.700000000000003,59.7,0.278,36-682,84-278,20.0,30.0,59.7
9.7,29.766666666666666,59.86666666666666,0.278,36-682,LA4936,20.0,30.1,59.86666666666666
9.7,169.7,229.7,0.278,36-682,49-963,20.0,60.0,229.7
9.7,94.7,124.7,0.277,36-682,LA4021,20.0,30.0,124.7
9.7,13.433333333333334,38.43333333333334,0.276,89-413,84-277,20.0,25.0,38.43333333333334
9.7,34.7,64.7,0.276,89-413,48-025,20.0,30.0,64.7
9.7,44.7,74.7,0.276,89-413,49-959,20.0,30.0,74.7
10.670833333333333,49.7,79.7,0.276,36-681,49-959,22.0,30.0,79.7
10.670833333333333,98.36666666666666,136.36666666666667,0.276,36-681,48-273,22.0,38.0,136.36666666666667
10.670833333333333,30.53333333333333,55.53333333333333,0.272,36-681,LA4002,22.0,25.0,55.53333333333333
9.7,29.700000000000003,59.7,0.272,36-682,48-025,20.0,30.0,59.7
10.670833333333333,13.866666666666664,38.86666666666666,0.267,36-681,89-414,22.0,25.0,38.86666666666666
9.7,13.433333333333334,38.43333333333334,0.266,36-682,48-024,20.0,25.0,38.43333333333334
9.7,99.7,144.7,0.266,89-413,84-279,20.0,45.0,144.7
9.7,22.2,47.2,0.264,36-682,LA4002,20.0,25.0,47.2
9.7,34.7,64.7,0.262,89-413,84-278,20.0,30.0,64.7
9.7,179.7,239.7,0.262,36-682,48-670,20.0,60.0,239.7
9.7,27.30833333333333,57.40833333333333,0.261,36-682,LA4966,20.0,30.1,57.40833333333333
9.7,99.7,144.7,0.261,36-682,84-279,20.0,45.0,144.7
9.7,169.7,229.7,0.261,89-413,49-963,20.0,60.0,229.7
9.7,179.7,239.7,0.26,36-682,LA4022,20.0,60.0,239.7
10.670833333333333,30.53333333333333,55.53333333333333,0.259,36-681,84-277,22.0,25.0,55.53333333333333
9.7,189.7,249.7,0.258,89-413,84-283,20.0,60.0,249.7
9.7,144.7,198.7,0.256,36-682,36-688,20.0,54.0,198.7
9.7,179.7,239.7,0.255,89-413,LA4022,20.0,60.0,239.7
9.7,169.7,229.7,0.252,89-413,LA4042,20.0,60.0,229.7
9.7,29.766666666666666,59.86666666666666,0.251,89-413,LA4936,20.0,30.1,59.86666666666666
9.7,144.7,198.7,0.251,89-413,36-688,20.0,54.0,198.7
9.7,13.433333333333334,38.43333333333334,0.25,36-682,84-277,20.0,25.0,38.43333333333334
9.7,22.2,47.2,0.25,89-413,36-683,20.0,25.0,47.2
9.7,22.2,47.2,0.25,89-413,48-024,20.0,25.0,47.2
9.7,24.75,54.85,0.25,89-413,LA4966,20.0,30.1,54.85
9.7,179.7,239.7,0.25,89-413,48-670,20.0,60.0,239.7
9.7,44.7,74.7,0.248,36-682,49-959,20.0,30.0,74.7
10.670833333333333,22.2,47.2,0.247,36-681,36-683,22.0,25.0,47.2
9.7,169.7,229.7,0.246,89-413,84-280,20.0,60.0,229.7
9.7,189.7,249.7,0.245,36-682,84-283,20.0,60.0,249.7
9.7,12.71875,32.81875,0.242,36-681,LA4194,22.0,20.1,32.81875
9.7,12.71875,32.81875,0.242,36-682,LA4194,20.0,20.1,32.81875
9.7,13.433333333333334,38.43333333333334,0.242,36-682,36-683,20.0,25.0,38.43333333333334
9.7,22.2,47.2,0.24,89-413,89-414,20.0,25.0,47.2
9.7,169.7,229.7,0.234,36-682,84-280,20.0,60.0,229.7
9.7,13.433333333333334,38.43333333333334,0.231,89-413,LA4002,20.0,25.0,38.43333333333334
9.7,169.7,229.7,0.229,36-682,LA4042,20.0,60.0,229.7
9.7,22.2,47.2,0.228,36-682,89-414,20.0,25.0,47.2
9.7,12.71875,32.81875,0.225,89-413,LA4194,20.0,20.1,32.81875
22.275,128.08333333333334,188.08333333333331,0.225,48-026,LA4022,40.0,60.0,188.08333333333331
9.7,12.71875,32.81875,0.22,89-413,LA4647,20.0,20.1,32.81875
9.7,26.45,46.55,0.22,45-692,LA4647,18.0,20.1,46.55
9.7,34.7,64.7,0.22,45-692,LA4021,18.0,30.0,64.7
9.7,12.412499999999998,30.4125,0.216,89-413,48-668,20.0,18.0,30.4125
9.7,94.7,124.7,0.216,48-668,LA4021,18.0,30.0,124.7
9.7,15.025,33.025,0.215,36-681,45-694,22.0,18.0,33.025
9.7,12.71875,32.81875,0.214,36-682,LA4647,20.0,20.1,32.81875
9.7,15.025,33.025,0.214,36-681,45-692,22.0,18.0,33.025
9.7,33.15,53.25,0.214,45-694,LA4647,18.0,20.1,53.25
11.641666666666666,74.7,104.7,0.214,36-681,LA4021,22.0,30.0,104.7
19.13125,358.0833333333333,478.0833333333333,0.212,36-690,84-285,40.0,120.0,478.0833333333333
21.525,397.5833333333333,517.5833333333333,0.209,48-273,84-285,38.0,120.0,517.5833333333333
19.13125,358.0833333333333,478.0833333333333,0.207,49-961,84-285,40.0,120.0,478.0833333333333
9.7,21.475,41.575,0.206,36-681,LA4647,22.0,20.1,41.575
9.7,22.2,47.2,0.206,48-668,LA4002,18.0,25.0,47.2
9.7,92.03333333333332,130.03333333333333,0.206,45-694,48-273,18.0,38.0,130.03333333333333
9.7,15.025,33.025,0.205,36-681,48-668,22.0,18.0,33.025
9.7,24.7,54.7,0.204,45-694,LA4021,18.0,30.0,54.7
9.7,84.7,114.7,0.204,45-692,49-959,18.0,30.0,114.7
22.275,128.08333333333334,188.08333333333331,0.203,36-690,LA4022,40.0,60.0,188.08333333333331
9.7,89.7,119.7,0.197,48-668,49-959,18.0,30.0,119.7
