lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
36-681,LA4002,22.0,25.0,10.40242160257269,23.058095824498707,48.05809582449871,48.05809582449871,0.252
36-681,48-024,22.0,25.0,10.410250504626024,22.2,47.2,47.2,0.2465
36-681,84-277,22.0,25.0,10.461000989656819,22.2,47.2,47.2,0.2435
36-681,36-683,22.0,25.0,10.313269338752653,22.2,47.2,47.2,0.241
36-681,48-025,22.0,30.0,10.926729902729983,24.980934965398262,54.98093496539826,54.98093496539826,0.236
36-681,84-278,22.0,30.0,10.929793886873057,25.033260806319674,55.033260806319674,55.033260806319674,0.2225
36-681,49-959,22.0,30.0,11.179941264211964,24.7,54.7,54.7,0.221
36-681,LA4647,22.0,20.1,9.715015879717825,19.75,39.85,39.85,0.2195
36-681,LA4936,22.0,30.1,11.034157590245078,24.75,54.85,54.85,0.212
45-694,LA4021,18.0,30.0,9.700928084799747,24.7,54.7,54.7,0.1975
36-681,48-273,22.0,38.0,11.838197657856849,28.7,66.7,66.7,0.1955
36-681,84-279,22.0,45.0,11.979341603048097,32.4184262490479,77.4184262490479,77.4184262490479,0.195
36-681,48-668,22.0,18.0,9.770161360020042,18.7,36.7,36.7,0.193
45-694,49-959,18.0,30.0,9.703860279873508,24.7,54.7,54.7,0.1845
45-694,84-277,18.0,25.0,9.75632408942487,22.2,47.2,47.2,0.1835
45-694,36-688,18.0,54.0,9.796184588681877,36.7,90.7,90.7,0.1825
45-694,48-273,18.0,38.0,9.70417730181539,28.7,66.7,66.7,0.18
45-694,LA4002,18.0,25.0,9.700123921006968,22.2,47.2,47.2,0.1785
45-694,LA4936,18.0,30.1,9.70590036139603,24.75,54.85,54.85,0.1765
36-681,45-694,22.0,18.0,9.707271339151324,18.7,36.7,36.7,0.172
45-694,LA4647,18.0,20.1,9.702159163921705,19.75,39.85,39.85,0.1685
45-694,48-024,18.0,25.0,9.701867329693323,22.2,47.2,47.2,0.168
45-694,45-694,18.0,18.0,9.703150629744226,18.7,36.7,36.7,0.167
45-694,48-025,18.0,30.0,9.701315496927243,24.7,54.7,54.7,0.167
45-694,84-278,18.0,30.0,9.717157242596302,24.7,54.7,54.7,0.166
45-694,48-668,18.0,18.0,9.704958524880064,18.7,36.7,36.7,0.165
45-694,36-683,18.0,25.0,9.706113900866113,22.2,47.2,47.2,0.162
45-694,LA4966,18.0,30.1,9.77716266335095,24.75,54.85,54.85,0.1595
36-681,36-688,22.0,54.0,12.417941172121557,36.7,90.7,90.7,0.159
45-694,84-279,18.0,45.0,9.707797152033562,32.2,77.2,77.2,0.1575
36-681,LA4042,22.0,60.0,12.606185414105154,39.7,99.7,99.7,0.1575
45-694,LA4042,18.0,60.0,9.969904494433832,39.7,99.7,99.7,0.157
45-694,LA4464,18.0,60.2,10.283284140862516,39.8,100.0,100.0,0.1545
45-694,49-963,18.0,60.0,9.97265659201934,39.7,99.7,99.7,0.1465
45-694,84-283,18.0,60.0,10.024326020823322,39.7,99.7,99.7,0.1445
45-694,LA4194,18.0,20.1,9.700417236642402,19.75,39.85,39.85,0.1435
36-681,84-280,22.0,60.0,12.660987727530419,39.7,99.7,99.7,0.143
45-694,48-670,18.0,60.0,10.00381201146166,39.7,99.7,99.7,0.1395
36-681,49-963,22.0,60.0,12.64436660121884,39.7,99.7,99.7,0.1355
45-694,LA4022,18.0,60.0,10.005595387365224,39.7,99.7,99.7,0.133
45-694,84-280,18.0,60.0,9.95936663290011,39.7,99.7,99.7,0.1325
45-694,45-692,18.0,18.0,9.803289623350254,18.7,36.7,36.7,0.1295
36-681,LA4194,22.0,20.1,9.896390180733011,19.75,39.85,39.85,0.111
36-681,45-693,22.0,13.5,9.702760668998312,16.45,29.95,29.95,0.1075
36-681,45-692,22.0,18.0,9.809500569758193,18.7,36.7,36.7,0.1025
45-694,45-693,18.0,13.5,9.996491484412516,16.45,29.95,29.95,0.1005
36-681,48-666,22.0,12.0,9.71540323561033,15.7,27.7,27.7,0.0945
45-694,84-285,18.0,120.0,10.893822714023447,69.7,189.7,189.7,0.0875
36-681,45-691,22.0,12.0,9.71540323561033,15.7,27.7,27.7,0.0855
36-681,LA4966,22.0,30.1,12.937244362709396,24.75,54.85,54.85,0.0845
45-694,45-691,18.0,12.0,9.706100444426129,15.7,27.7,27.7,0.082
45-694,89-414,18.0,25.0,10.083221605855835,22.2,47.2,47.2,0.077
45-694,48-666,18.0,12.0,9.875402391291562,15.7,27.7,27.7,0.0735
45-694,LA4005,18.0,175.0,11.21181953139784,97.2,272.2,272.2,0.0735
45-694,48-279,18.0,175.0,11.228886472011549,97.2,272.2,272.2,0.072
36-681,89-411,22.0,10.0,9.710956099405472,14.7,24.7,24.7,0.0715
36-681,LA4005,22.0,175.0,14.22073834816678,97.2,272.2,272.2,0.0705
36-681,LA4280,22.0,10.0,9.758917970508676,14.7,24.7,24.7,0.07
36-681,LA4249,22.0,10.0,9.875368456123217,14.7,24.7,24.7,0.0635
45-694,89-411,18.0,10.0,9.73687974662428,14.7,24.7,24.7,0.063
45-694,LA4034,18.0,175.0,11.215642116706597,97.21671176136569,272.2167117613657,272.2167117613657,0.0625
36-681,89-414,22.0,25.0,10.060005388182743,22.2,47.2,47.2,0.061
45-694,LA4249,18.0,10.0,9.872635518297956,14.7,24.7,24.7,0.056
45-694,LA4280,18.0,10.0,10.002402725194298,14.7,24.7,24.7,0.055
45-694,70-888,18.0,12.0,10.287547573674669,15.7,27.7,27.7,0.051
36-681,70-888,22.0,12.0,9.710660278179422,15.7,27.7,27.7,0.046
45-694,70-886,18.0,8.0,9.896783025907595,13.7,21.7,21.7,0.036
45-693,LA4021,13.5,30.0,9.724384033490182,24.7,54.7,54.7,0.0345
45-693,LA4002,13.5,25.0,9.706949323710743,22.377126337185352,47.37712633718535,47.37712633718535,0.0335
36-681,70-886,22.0,8.0,10.207335969561303,13.7,21.7,21.7,0.033
45-693,84-277,13.5,25.0,9.837245120143796,22.2,47.2,47.2,0.029
45-693,84-278,13.5,30.0,9.706005051764278,24.7,54.7,54.7,0.029
36-681,LA4036,22.0,6.0,9.87227863440142,12.942792066353622,18.942792066353622,18.942792066353622,0.027
45-693,LA4936,13.5,30.1,9.739071361058132,24.75,54.85,54.85,0.0265
45-694,70-884,18.0,6.0,9.756165538242954,12.75667833891653,18.75667833891653,18.75667833891653,0.0255
45-693,49-959,13.5,30.0,9.706301929187088,24.7,54.7,54.7,0.0255
36-681,70-884,22.0,6.0,9.775816626414064,12.769295165760578,18.769295165760578,18.769295165760578,0.0245
45-694,LA4036,18.0,6.0,9.820850660313868,12.824915433568439,18.82491543356844,18.82491543356844,0.024
45-693,48-273,13.5,38.0,9.765563222516985,28.7,66.7,66.7,0.02
36-681,LA4026,22.0,6.0,9.706457187212997,12.7,18.7,18.7,0.0175
45-694,LA4026,18.0,6.0,9.735865225756452,12.731855789397612,18.731855789397613,18.731855789397613,0.017
45-693,36-688,13.5,54.0,9.707364323271506,36.7,90.7,90.7,0.015
45-693,LA4042,13.5,60.0,9.829968516899765,39.7,99.7,99.7,0.0135
45-693,84-279,13.5,45.0,9.738810745323871,32.2,77.2,77.2,0.013
36-681,LA4024,22.0,4.0,9.785474869987514,12.787870399065413,16.78787039906541,16.78787039906541,0.011
45-694,LA4024,18.0,4.0,9.777617958328259,12.813799259013448,16.81379925901345,16.81379925901345,0.011
45-694,70-883,18.0,6.0,9.71760694945405,12.835819439030272,18.835819439030274,18.835819439030274,0.0105
36-681,70-883,22.0,6.0,9.721017896677838,13.082607267793072,19.082607267793072,19.082607267793072,0.01
45-693,49-963,13.5,60.0,9.762747050082137,39.7,99.7,99.7,0.0095
36-681,70-882,22.0,4.0,9.776048804494714,12.819079652243236,16.819079652243236,16.819079652243236,0.0085
45-694,70-882,18.0,4.0,9.701404981703186,12.873971405389634,16.873971405389632,16.873971405389632,0.0075
45-693,48-670,13.5,60.0,10.01684853646128,39.7,99.7,99.7,0.007
45-693,84-283,13.5,60.0,10.1921031861823,39.7,99.7,99.7,0.007
45-693,LA4464,13.5,60.2,18.315395509404443,39.8,100.0,100.0,0.001
45-693,84-280,13.5,60.0,18.315395509404443,39.7,99.7,99.7,0.0
45-693,LA4022,13.5,60.0,18.315395509404443,39.7,99.7,99.7,0.0
45-693,84-285,13.5,120.0,17.03407689072039,69.7,189.7,189.7,0.0
45-693,LA4005,13.5,175.0,10.940394865655152,97.2,272.2,272.2,0.0
45-693,48-279,13.5,175.0,18.48477504492902,97.2,272.2,272.2,0.0
45-693,LA4034,13.5,175.0,12.96411006609575,97.2,272.2,272.2,0.0
