lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
36-682,LA4002,20.0,25.0,9.701949725026704,22.2,47.2,47.2,0.2705
36-682,84-277,20.0,25.0,9.772685648886444,22.2,47.2,47.2,0.26
36-682,36-683,20.0,25.0,9.700154119246259,22.2,47.2,47.2,0.2525
36-681,LA4002,22.0,25.0,10.40242160257269,23.058095824498707,48.05809582449871,48.05809582449871,0.252
36-682,48-024,20.0,25.0,9.700922945508347,22.2,47.2,47.2,0.2505
36-681,48-024,22.0,25.0,10.410250504626024,22.2,47.2,47.2,0.2465
36-682,LA4936,20.0,30.1,9.812101996590807,24.75,54.85,54.85,0.245
36-682,48-025,20.0,30.0,9.797730455168574,24.7,54.7,54.7,0.244
36-681,84-277,22.0,25.0,10.461000989656819,22.2,47.2,47.2,0.2435
36-682,84-278,20.0,30.0,9.8037301331147,24.7,54.7,54.7,0.243
36-682,LA4021,20.0,30.0,10.429241717149953,24.7,54.7,54.7,0.2425
36-681,36-683,22.0,25.0,10.313269338752653,22.2,47.2,47.2,0.241
36-682,49-959,20.0,30.0,9.998712542734816,24.7,54.7,54.7,0.238
36-681,48-025,22.0,30.0,10.926729902729983,24.980934965398262,54.98093496539826,54.98093496539826,0.236
36-681,84-278,22.0,30.0,10.929793886873057,25.033260806319674,55.033260806319674,55.033260806319674,0.2225
36-681,49-959,22.0,30.0,11.179941264211964,24.7,54.7,54.7,0.221
36-681,LA4647,22.0,20.1,9.715015879717825,19.75,39.85,39.85,0.2195
36-681,LA4936,22.0,30.1,11.034157590245078,24.75,54.85,54.85,0.212
48-668,LA4021,18.0,30.0,9.706300134615002,24.7,54.7,54.7,0.211
49-961,48-273,40.0,38.0,22.482824237785515,28.7,66.7,66.7,0.209
48-273,LA4936,38.0,30.1,19.37276015494237,26.626905439170642,56.72690543917064,56.72690543917064,0.2005
36-682,LA4647,20.0,20.1,9.701013232782635,19.75,39.85,39.85,0.2
36-682,48-273,20.0,38.0,10.578991604898722,28.7,66.7,66.7,0.199
45-694,LA4021,18.0,30.0,9.700928084799747,24.7,54.7,54.7,0.1975
48-273,48-273,38.0,38.0,21.346109766625837,28.7,66.7,66.7,0.1975
36-690,48-273,40.0,38.0,22.44845383485532,30.409987777265073,68.40998777726507,68.40998777726507,0.1965
36-681,48-273,22.0,38.0,11.838197657856849,28.7,66.7,66.7,0.1955
36-681,84-279,22.0,45.0,11.979341603048097,32.4184262490479,77.4184262490479,77.4184262490479,0.195
36-681,48-668,22.0,18.0,9.770161360020042,18.7,36.7,36.7,0.193
36-681,LA4021,22.0,30.0,11.698986899365941,24.7,54.7,54.7,0.1925
36-682,48-668,20.0,18.0,9.72941285815855,18.7,36.7,36.7,0.19
48-668,LA4647,18.0,20.1,9.746488308741046,19.75,39.85,39.85,0.188
45-694,49-959,18.0,30.0,9.703860279873508,24.7,54.7,54.7,0.1845
36-682,84-279,20.0,45.0,10.72756288873472,32.37338544282131,77.3733854428213,77.3733854428213,0.184
45-694,84-277,18.0,25.0,9.75632408942487,22.2,47.2,47.2,0.1835
45-694,36-688,18.0,54.0,9.796184588681877,36.7,90.7,90.7,0.1825
36-682,45-694,20.0,18.0,9.721907658205458,18.7,36.7,36.7,0.1805
