lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
45-692,LA4021,18.0,30.0,9.706541251296471,11.990537452652019,41.99053745265202,41.99053745265202,0.141
48-664,LA4042,15.0,60.0,9.725813059169187,9.835922840359688,69.83592284035969,69.83592284035969,0.141
45-692,48-025,18.0,30.0,9.701112912741955,12.9905374453216,42.9905374453216,42.9905374453216,0.14
45-692,LA4194,18.0,20.1,9.71047091692478,11.818741543677286,31.918741543677285,31.918741543677285,0.1395
45-692,84-278,18.0,30.0,9.768627529682593,11.990537452662021,41.990537452662025,41.990537452662025,0.139
45-692,49-959,18.0,30.0,9.70004905531285,12.671983396568859,42.67198339656886,42.67198339656886,0.138
45-692,45-692,18.0,18.0,9.744235207677063,11.885810827201439,29.88581082720144,29.88581082720144,0.137
45-692,36-683,18.0,25.0,9.836363693128229,11.97484226267035,36.97484226267035,36.97484226267035,0.137
45-692,36-688,18.0,54.0,9.950764146659886,12.320775957269793,66.32077595726979,66.32077595726979,0.137
45-693,LA4966,13.5,30.1,9.91406754912933,11.525113753636434,41.625113753636434,41.625113753636434,0.135
45-692,84-279,18.0,45.0,9.70024648797773,12.138809727380284,57.138809727380284,57.138809727380284,0.135
48-664,84-279,15.0,45.0,9.779896702783764,9.902560503496579,54.90256050349658,54.90256050349658,0.1325
45-692,48-273,18.0,38.0,9.740946328654966,12.315523836240187,50.31552383624019,50.31552383624019,0.131
48-664,49-963,15.0,60.0,9.748743754930869,9.92609277676874,69.92609277676874,69.92609277676874,0.1305
48-664,84-280,15.0,60.0,9.779896702783764,9.92609277676874,69.92609277676874,69.92609277676874,0.1275
45-692,49-963,18.0,60.0,10.108020583295895,12.708058889269797,72.7080588892698,72.7080588892698,0.1275
45-692,LA4966,18.0,30.1,9.801752005753078,12.075957609709336,42.175957609709336,42.175957609709336,0.127
45-692,84-285,18.0,120.0,10.830354839915623,10.970159901502948,130.97015990150294,130.97015990150294,0.127
48-664,36-688,15.0,54.0,9.732779066913752,9.846414225741341,63.84641422574134,63.84641422574134,0.1265
45-692,84-277,18.0,25.0,9.869910984899716,12.106285852947241,37.10628585294724,37.10628585294724,0.126
45-692,48-024,18.0,25.0,9.768266027721632,11.960387824121032,36.96038782412103,36.96038782412103,0.1205
45-692,45-694,18.0,18.0,9.742499138903066,11.74620612679906,29.74620612679906,29.74620612679906,0.12
45-692,LA4936,18.0,30.1,9.713082286860212,11.930059435162958,42.03005943516296,42.03005943516296,0.12
45-692,48-668,18.0,18.0,9.713082279112644,11.770877540007072,29.77087754000707,29.77087754000707,0.118
45-692,45-693,18.0,13.5,9.702651326507633,11.72726476849508,25.227264768495083,25.227264768495083,0.1155
45-692,LA4647,18.0,20.1,9.86952456533424,12.290877489695076,32.39087748969508,32.39087748969508,0.1145
45-692,LA4034,18.0,175.0,11.263906595713692,11.393862122886938,186.39386212288693,186.39386212288693,0.114
45-692,LA4002,18.0,25.0,9.815609432239738,11.960387824121032,36.96038782412103,36.96038782412103,0.1115
45-692,LA4464,18.0,60.2,10.512299271271608,12.94805882707074,73.14805882707074,73.14805882707074,0.1075
48-664,48-670,15.0,60.0,9.716334559575056,10.38242284431958,70.38242284431958,70.38242284431958,0.1
48-664,84-285,15.0,120.0,9.72263235603742,9.82660895673471,129.8266089567347,129.8266089567347,0.0985
48-664,48-666,15.0,12.0,9.836881036436129,27.276812433196966,39.276812433196966,39.276812433196966,0.0935
45-692,48-279,18.0,175.0,11.926254690146205,12.026829493677257,187.02682949367727,187.02682949367727,0.093
45-692,48-666,18.0,12.0,9.75136273288124,11.75593932786454,23.75593932786454,23.75593932786454,0.089
45-692,89-414,18.0,25.0,10.055185993907829,12.229722505487754,37.22972250548776,37.22972250548776,0.089
45-692,LA4005,18.0,175.0,12.044191283442867,12.16330381533128,187.1633038153313,187.1633038153313,0.089
48-664,45-693,15.0,13.5,9.720077016815264,11.747962959353204,25.247962959353202,25.247962959353202,0.0865
45-692,45-691,18.0,12.0,9.97562622270519,12.001625943739475,24.001625943739477,24.001625943739477,0.086
48-664,48-279,15.0,175.0,9.700666458746111,9.809780454185066,184.80978045418507,184.80978045418507,0.0845
48-664,LA4022,15.0,60.0,9.729490212258632,9.92155161299822,69.92155161299821,69.92155161299821,0.0835
48-664,LA4647,15.0,20.1,9.754500393614588,11.875069031639596,31.9750690316396,31.9750690316396,0.083
48-664,LA4034,15.0,175.0,9.753677127429867,9.88107810070845,184.88107810070846,184.88107810070846,0.0825
48-664,LA4021,15.0,30.0,9.703158181311055,11.87347003324493,41.87347003324493,41.87347003324493,0.0805
48-664,LA4005,15.0,175.0,9.706735939861208,9.808796237306915,184.80879623730692,184.80879623730692,0.0755
48-664,84-277,15.0,25.0,9.738778153207273,11.891309783849607,36.89130978384961,36.89130978384961,0.0735
48-664,LA4194,15.0,20.1,9.742207766035966,11.875069031639596,31.9750690316396,31.9750690316396,0.067
48-664,45-694,15.0,18.0,9.700717097133095,11.784045845570073,29.784045845570073,29.784045845570073,0.065
48-664,48-273,15.0,38.0,9.772622224214357,12.165788252654625,50.16578825265462,50.16578825265462,0.064
45-693,48-666,13.5,12.0,9.72047321136833,13.50567540675663,25.50567540675663,25.50567540675663,0.0635
48-664,48-668,15.0,18.0,9.70125956558141,11.896338776826806,29.896338776826806,29.896338776826806,0.063
48-664,49-959,15.0,30.0,9.706085310068481,12.389818297010075,42.38981829701007,42.38981829701007,0.063
48-664,84-278,15.0,30.0,9.707771239395656,12.1232646442497,42.1232646442497,42.1232646442497,0.062
45-692,84-280,18.0,60.0,10.045897987422,10.326093733105823,70.32609373310582,70.32609373310582,0.062
48-664,LA4280,15.0,10.0,9.703178943924533,11.835201645579549,21.83520164557955,21.83520164557955,0.0605
45-692,48-670,18.0,60.0,10.365558085076739,10.466966764044466,70.46696676404447,70.46696676404447,0.0605
45-693,LA4280,13.5,10.0,9.72118851339599,19.87965394817371,29.87965394817371,29.87965394817371,0.06
45-693,89-411,13.5,10.0,9.704805096797909,18.293422200381578,28.293422200381578,28.293422200381578,0.0595
45-692,LA4249,18.0,10.0,9.820473148287073,12.03909823554014,22.039098235540138,22.039098235540138,0.0585
48-664,45-692,15.0,18.0,9.741960725255119,11.80533207984997,29.80533207984997,29.80533207984997,0.058
48-664,48-025,15.0,30.0,9.716069232378988,11.880888351859763,41.88088835185977,41.88088835185977,0.058
45-693,LA4249,13.5,10.0,9.702885718454786,12.779864075984937,22.77986407598494,22.77986407598494,0.0575
48-664,48-024,15.0,25.0,9.829149285737298,11.947037870321415,36.94703787032142,36.94703787032142,0.057
48-664,LA4002,15.0,25.0,9.70125956558141,12.015084722621692,37.015084722621694,37.015084722621694,0.0565
48-664,LA4966,15.0,30.1,9.714101531259375,11.814596872506604,41.91459687250661,41.91459687250661,0.0565
45-693,45-693,13.5,13.5,9.704805096797909,13.055727934140739,26.55572793414074,26.55572793414074,0.0555
45-692,89-411,18.0,10.0,9.746072655969778,11.77766832858408,21.777668328584078,21.777668328584078,0.055
48-664,36-683,15.0,25.0,9.77935942427833,11.878131205853506,36.87813120585351,36.87813120585351,0.0545
45-692,LA4042,18.0,60.0,10.365558085076739,10.466966764044466,70.46696676404447,70.46696676404447,0.054
45-692,LA4280,18.0,10.0,9.927863996035816,12.004434631425122,22.00443463142512,22.00443463142512,0.053
48-664,LA4936,15.0,30.1,9.705909373442328,11.845450345577085,41.945450345577086,41.945450345577086,0.0515
45-692,LA4022,18.0,60.0,10.309830000000002,10.471991761932033,70.47199176193203,70.47199176193203,0.0515
48-664,LA4464,15.0,60.2,9.703568236978908,11.895582955654524,72.09558295565452,72.09558295565452,0.0485
45-693,48-668,13.5,18.0,9.704805096797909,12.757075868977457,30.75707586897746,30.75707586897746,0.044
45-693,45-691,13.5,12.0,9.782779105749292,13.104439787415966,25.104439787415966,25.104439787415966,0.0425
45-692,70-886,18.0,8.0,9.837694063590948,12.066149306103298,20.0661493061033,20.0661493061033,0.0415
48-664,84-283,15.0,60.0,12.038507188019892,12.470499702483245,72.47049970248324,72.47049970248324,0.041
45-693,45-694,13.5,18.0,9.72047321136833,12.863272931403262,30.863272931403262,30.863272931403262,0.04
45-692,70-888,18.0,12.0,12.983592107098003,29.080852568802378,41.08085256880238,41.08085256880238,0.0395
45-693,70-888,13.5,12.0,9.709830081112552,13.417434871387394,25.417434871387393,25.417434871387393,0.0385
45-693,LA4647,13.5,20.1,9.70999358253549,12.85097773301826,32.95097773301826,32.95097773301826,0.036
45-693,45-692,13.5,18.0,9.706160184952093,12.795057637153212,30.795057637153214,30.795057637153214,0.0335
45-693,LA4194,13.5,20.1,9.707317584164745,13.046032892023195,33.1460328920232,33.1460328920232,0.03
45-693,36-683,13.5,25.0,9.704805096797909,13.090026098659154,38.09002609865915,38.09002609865915,0.0295
45-693,89-414,13.5,25.0,9.767264299787119,9.880636804462869,34.88063680446287,34.88063680446287,0.029
45-693,70-886,13.5,8.0,9.722676964233473,12.801632050558124,20.801632050558126,20.801632050558126,0.028
45-693,48-024,13.5,25.0,9.704805096797909,12.942445074045214,37.94244507404521,37.94244507404521,0.0265
45-692,84-283,18.0,60.0,16.782166473788894,17.986055282748335,77.98605528274834,77.98605528274834,0.026
45-693,48-025,13.5,30.0,10.945898059920738,11.259215724804283,41.259215724804285,41.259215724804285,0.0235
45-692,LA4036,18.0,6.0,9.76474510429377,11.826158824139407,17.826158824139405,17.826158824139405,0.021
45-693,LA4036,13.5,6.0,9.702885718454786,13.0657698705332,19.065769870533202,19.065769870533202,0.0195
45-692,70-884,18.0,6.0,9.747524152337895,11.784268053331477,17.784268053331477,17.784268053331477,0.0185
45-692,LA4026,18.0,6.0,10.545897974844001,12.891795943749477,18.89179594374948,18.89179594374948,0.0185
45-693,70-884,13.5,6.0,10.563932025156001,13.673762038434948,19.673762038434948,19.673762038434948,0.0175
45-693,LA4026,13.5,6.0,9.735774757062996,12.72026273975666,18.72026273975666,18.72026273975666,0.015
45-693,70-883,13.5,6.0,10.136881053691303,13.132742384339474,19.132742384339473,19.132742384339473,0.012
45-692,70-883,18.0,6.0,9.76474510429421,11.901566396019149,17.90156639601915,17.90156639601915,0.01
45-692,LA4024,18.0,4.0,10.073762059920739,12.491796034764736,16.491796034764736,16.491796034764736,0.0095
45-693,70-882,13.5,4.0,10.563932025156001,13.745898034764739,17.74589803476474,17.74589803476474,0.009
45-692,70-882,18.0,4.0,10.455728195309476,13.255728170153473,17.255728170153475,17.255728170153475,0.006
45-693,LA4024,13.5,4.0,10.563932025156001,13.745898034764739,17.74589803476474,17.74589803476474,0.006
