lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
36-682,36-683,20.0,25.0,9.70166048602969,12.877308591565086,37.87730859156508,37.87730859156508,0.2615
36-682,49-959,20.0,30.0,10.11707424288832,15.646128441607376,45.646128441607374,45.646128441607374,0.2535
36-682,LA4002,20.0,25.0,9.729383173511032,12.91412292376174,37.91412292376174,37.91412292376174,0.253
36-682,LA4021,20.0,30.0,10.489958411593895,13.911479521576492,43.911479521576496,43.911479521576496,0.251
36-682,LA4936,20.0,30.1,9.865807788447652,20.988956103648256,51.08895610364826,51.08895610364826,0.247
36-682,48-024,20.0,25.0,9.731172108346687,12.913390372558332,37.91339037255833,37.91339037255833,0.246
36-681,LA4002,22.0,25.0,10.6499699343737,13.749146803565647,38.74914680356565,38.74914680356565,0.241
36-682,84-277,20.0,25.0,9.729449280454576,12.91457602752016,37.91457602752016,37.91457602752016,0.24
36-681,36-683,22.0,25.0,10.556878273052101,13.665410335720884,38.665410335720885,38.665410335720885,0.2395
36-682,48-025,20.0,30.0,9.97769093170169,14.251006660033946,44.251006660033944,44.251006660033944,0.239
36-681,84-277,22.0,25.0,10.667270954343078,13.89368891023217,38.89368891023217,38.89368891023217,0.2385
36-681,48-025,22.0,30.0,11.135730583632922,14.61390504166011,44.61390504166011,44.61390504166011,0.2355
36-681,84-278,22.0,30.0,11.149498373819636,14.45218376193198,44.45218376193198,44.45218376193198,0.2285
36-682,LA4647,20.0,20.1,9.701626006936108,13.007871353083932,33.10787135308394,33.10787135308394,0.227
36-681,LA4647,22.0,20.1,9.857354966692991,16.247104325464793,36.3471043254648,36.3471043254648,0.222
36-681,LA4936,22.0,30.1,11.1313681237583,14.893990536333416,44.99399053633341,44.99399053633341,0.222
36-682,84-278,20.0,30.0,9.988246509365958,14.228448124576087,44.22844812457609,44.22844812457609,0.2185
36-681,48-024,22.0,25.0,10.667742018156021,13.788192241625971,38.78819224162597,38.78819224162597,0.2175
36-681,49-959,22.0,30.0,11.328874287321138,14.60959852582289,44.60959852582289,44.60959852582289,0.2125
36-681,45-694,22.0,18.0,9.71378990972552,12.711539740436363,30.711539740436365,30.711539740436365,0.21
36-681,48-668,22.0,18.0,9.743041217768736,12.85552378228606,30.85552378228606,30.85552378228606,0.21
36-682,48-273,20.0,38.0,10.70039148918695,14.131816322526813,52.13181632252682,52.13181632252682,0.205
48-668,LA4021,18.0,30.0,9.71951894214252,14.080707398679811,44.08070739867981,44.08070739867981,0.2045
45-694,LA4021,18.0,30.0,9.705210437425553,13.035263442094102,43.035263442094106,43.035263442094106,0.204
45-694,LA4042,18.0,60.0,11.08766068217172,11.195395855496226,71.19539585549623,71.19539585549623,0.203
36-681,LA4021,22.0,30.0,11.75344855274814,15.306285758261772,45.30628575826177,45.30628575826177,0.2025
36-681,84-279,22.0,45.0,11.757659530434616,49.9976609896238,94.9976609896238,94.9976609896238,0.2015
