lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
36-681,LA4647,22.0,20.1,9.913476078565633,12.915338060669542,33.01533806066954,33.01533806066954,0.2575
36-681,36-683,22.0,25.0,10.503374464884068,13.455293085492713,38.45529308549271,38.45529308549271,0.247
36-681,84-277,22.0,25.0,10.665483379315699,13.658551654165018,38.65855165416502,38.65855165416502,0.2455
36-681,LA4002,22.0,25.0,10.587881601640202,13.44445845613312,38.44445845613312,38.44445845613312,0.241
36-681,48-024,22.0,25.0,10.570733243154843,13.449714161614382,38.44971416161438,38.44971416161438,0.23
36-681,49-959,22.0,30.0,11.270724919261768,14.236669856002418,44.23666985600242,44.23666985600242,0.224
36-681,48-025,22.0,30.0,11.091502195777943,14.698906154769906,44.69890615476991,44.69890615476991,0.2215
36-681,84-278,22.0,30.0,11.106911248050766,14.004081723562688,44.00408172356269,44.00408172356269,0.218
36-681,LA4936,22.0,30.1,11.231060632637657,14.035456930759878,44.13545693075988,44.13545693075988,0.217
36-681,48-668,22.0,18.0,9.706579348363713,12.625506292653471,30.62550629265347,30.62550629265347,0.214
36-681,45-694,22.0,18.0,9.869425714553481,12.73474345986009,30.73474345986009,30.73474345986009,0.2095
45-694,LA4021,18.0,30.0,9.701265089075124,12.63757098767989,42.637570987679894,42.637570987679894,0.204
36-681,48-273,22.0,38.0,12.016774550927638,14.934517658328742,52.934517658328744,52.934517658328744,0.2035
36-681,84-279,22.0,45.0,12.1794316513199,14.910011724412335,59.910011724412335,59.910011724412335,0.183
45-694,48-025,18.0,30.0,9.708057288972645,12.451438164778754,42.45143816477875,42.45143816477875,0.1775
45-694,48-273,18.0,38.0,9.700176325700786,12.58568708257863,50.58568708257863,50.58568708257863,0.174
45-694,49-959,18.0,30.0,9.703417665652111,13.192025737198927,43.192025737198925,43.192025737198925,0.17
45-694,LA4002,18.0,25.0,9.700309362273952,12.504513101216624,37.504513101216624,37.504513101216624,0.167
45-694,LA4966,18.0,30.1,9.707909995596072,12.501787861893407,42.601787861893406,42.601787861893406,0.167
45-694,36-683,18.0,25.0,9.705857877119733,12.457999658231833,37.457999658231834,37.457999658231834,0.16
45-694,LA4936,18.0,30.1,9.701630315524111,12.457923418237172,42.55792341823717,42.55792341823717,0.1595
