lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
36-681,LA4647,22.0,20.1,9.913476078565633,12.915338060669542,33.01533806066954,33.01533806066954,0.2575
36-681,36-683,22.0,25.0,10.503374464884068,13.455293085492713,38.45529308549271,38.45529308549271,0.247
36-681,84-277,22.0,25.0,10.665483379315699,13.658551654165018,38.65855165416502,38.65855165416502,0.2455
36-682,LA4021,20.0,30.0,10.3908728898094,13.318777723908065,43.31877772390806,43.31877772390806,0.2415
36-681,LA4002,22.0,25.0,10.587881601640202,13.44445845613312,38.44445845613312,38.44445845613312,0.241
36-682,48-024,20.0,25.0,9.700030685632179,12.577677667438337,37.57767766743834,37.57767766743834,0.239
36-682,84-277,20.0,25.0,9.713304597542928,12.557398582981834,37.55739858298183,37.55739858298183,0.2325
36-682,LA4002,20.0,25.0,9.718309046221728,12.637613406942508,37.637613406942506,37.637613406942506,0.2325
36-682,49-959,20.0,30.0,10.092493507872412,12.989553911714598,42.989553911714594,42.989553911714594,0.2315
36-681,48-024,22.0,25.0,10.570733243154843,13.449714161614382,38.44971416161438,38.44971416161438,0.23
36-682,36-683,20.0,25.0,9.730381141620873,12.525945949034613,37.525945949034615,37.525945949034615,0.2285
36-682,84-278,20.0,30.0,9.972193133042095,12.72253820460294,42.72253820460294,42.72253820460294,0.225
36-682,LA4936,20.0,30.1,9.903050749981574,16.61882094491482,46.718820944914825,46.718820944914825,0.225
36-681,49-959,22.0,30.0,11.270724919261768,14.236669856002418,44.23666985600242,44.23666985600242,0.224
36-681,48-025,22.0,30.0,11.091502195777943,14.698906154769906,44.69890615476991,44.69890615476991,0.2215
36-681,84-278,22.0,30.0,11.106911248050766,14.004081723562688,44.00408172356269,44.00408172356269,0.218
36-682,48-025,20.0,30.0,9.969756654402218,12.769930222766892,42.76993022276689,42.76993022276689,0.217
36-681,LA4936,22.0,30.1,11.231060632637657,14.035456930759878,44.13545693075988,44.13545693075988,0.217
36-681,48-668,22.0,18.0,9.706579348363713,12.625506292653471,30.62550629265347,30.62550629265347,0.214
36-681,45-694,22.0,18.0,9.869425714553481,12.73474345986009,30.73474345986009,30.73474345986009,0.2095
36-682,LA4647,20.0,20.1,9.706070167303512,12.600653444370797,32.7006534443708,32.7006534443708,0.208
