lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
84-277,36-683,25.0,25.0,11.78318648097543,21.518324482675474,46.518324482675474,46.518324482675474,0.18453382664736848
84-277,36-682,25.0,20.0,10.888425164296194,16.574825205130953,36.57482520513095,36.57482520513095,0.18342978021730946
84-277,36-681,25.0,22.0,11.263620408231695,19.36603927311123,41.36603927311123,41.36603927311123,0.17139666411932764
LA4001,48-027,15.0,50.0,9.700276433783976,9.927878110596616,59.927878110596616,59.927878110596616,0.15455034318330607
LA4001,LA4765,15.0,50.2,9.705691441466422,9.820882700136092,60.0208827001361,60.0208827001361,0.15424639065088785
84-277,45-694,25.0,18.0,9.955288419522415,19.909742050873813,37.90974205087382,37.90974205087382,0.15415512529575515
LA4001,84-280,15.0,60.0,9.70005217839051,9.842043995444264,69.84204399544427,69.84204399544427,0.1541220347688368
LA4001,36-680,15.0,36.0,10.758907027268434,12.925716275810366,48.925716275810366,48.925716275810366,0.15331848234812318
84-277,48-667,25.0,36.0,13.33032896336757,17.186193087576722,53.186193087576726,53.186193087576726,0.15245908942522626
LA4001,48-667,15.0,36.0,10.63429524092896,13.886545451157325,49.886545451157325,49.886545451157325,0.1486246140515142
84-277,45-695,25.0,27.0,12.013259367468988,21.877676661013105,48.877676661013105,48.877676661013105,0.14811586890844444
LA4001,84-279,15.0,45.0,9.700421365301795,9.82000357955567,54.820003579555674,54.820003579555674,0.14719350104894321
LA4001,84-281,15.0,75.0,9.701245837535033,9.801476565309683,84.80147656530968,84.80147656530968,0.1450222297231837
LA4001,LA4042,15.0,60.0,9.700624594507737,9.800883062663384,69.80088306266339,69.80088306266339,0.14026545826833672
LA4001,36-684,15.0,72.0,9.708798322642524,9.937969991559443,81.93796999155944,81.93796999155944,0.1388131122430332
LA4001,LA4327,15.0,75.3,9.705691441466422,9.832263818711812,85.1322638187118,85.1322638187118,0.13831246762736513
LA4001,36-685,15.0,84.0,9.703190484610577,9.820291815505312,93.82029181550531,93.82029181550531,0.13325052017572714
LA4001,48-669,15.0,36.0,10.72776277244414,13.153997039675115,49.15399703967512,49.15399703967512,0.13120599590018903
LA4001,LA4130,15.0,40.1,10.107301747259044,10.784840966412514,50.88484096641251,50.88484096641251,0.12613890059539348
84-277,LA4917,25.0,15.1,9.703744317732303,13.806357237504182,28.90635723750418,28.90635723750418,0.12434378759243164
84-277,45-693,25.0,13.5,9.729024539018278,13.878482243743571,27.37848224374357,27.37848224374357,0.12401107423381486
LA4001,48-028,15.0,100.0,9.700814726751327,9.873237207643783,109.87323720764378,109.87323720764378,0.1209799834938861
LA4001,48-026,15.0,40.0,10.143978671998877,10.654660119321544,50.65466011932155,50.65466011932155,0.10758037735693979
LA4001,LA4966,15.0,30.1,12.696602068545062,14.241891696811939,44.34189169681194,44.34189169681194,0.10345474434224798
84-277,48-666,25.0,12.0,9.772062504726426,13.96656529757377,25.96656529757377,25.96656529757377,0.10111176059417719
84-277,48-664,25.0,15.0,9.716334461219372,13.767909836863858,28.767909836863858,28.767909836863858,0.10055412432605043
84-277,36-679,25.0,21.0,11.102803380277617,15.502448090784911,36.50244809078491,36.50244809078491,0.0966353020146843
84-277,45-691,25.0,12.0,9.845279796942568,13.946211712852639,25.946211712852637,25.946211712852637,0.09355636058733582
LA4001,LA4001,15.0,15.0,9.710261414711463,15.610541762882526,30.610541762882526,30.610541762882526,0.09226614711556344
84-277,LA4194,25.0,20.1,10.359646668949331,21.85077716096722,41.95077716096722,41.95077716096722,0.08923896892910196
84-277,48-665,25.0,24.0,11.62334280491252,18.205618083430814,42.205618083430814,42.205618083430814,0.07465285855917377
LA4001,45-693,15.0,13.5,9.711212745914388,15.58141557974996,29.081415579749958,29.081415579749958,0.07447183517901036
84-277,45-692,25.0,18.0,9.815123059530361,19.39143036216193,37.39143036216193,37.39143036216193,0.0722827090746636
84-277,89-412,25.0,15.0,9.801762228051576,13.826813996502386,28.826813996502388,28.826813996502388,0.07113360030323115
LA4001,48-664,15.0,15.0,9.716334559575056,15.353295305405796,30.353295305405794,30.353295305405794,0.07111189479766448
84-277,LA4249,25.0,10.0,9.716334420516109,13.910151959440396,23.910151959440398,23.910151959440398,0.07091331904349969
LA4001,48-666,15.0,12.0,9.716334559575056,15.545566339850668,27.545566339850666,27.545566339850666,0.06938875382519569
LA4001,89-412,15.0,15.0,9.700125927395728,15.3644519145898,30.3644519145898,30.3644519145898,0.06921705232008026
LA4001,48-668,15.0,18.0,9.705122082421346,15.453768874842947,33.45376887484295,33.45376887484295,0.06904908275909548
LA4001,45-691,15.0,12.0,9.701903091809784,15.808171299035298,27.808171299035298,27.808171299035298,0.06870843426565972
LA4042,84-280,60.0,60.0,36.21304895867011,38.509681123288324,98.50968112328832,98.50968112328832,0.06414449213996468
LA4001,36-681,15.0,22.0,9.76161877780571,15.301940281514796,37.301940281514796,37.301940281514796,0.06328477794442736
84-277,LA4280,25.0,10.0,9.703178804865585,13.852348696647582,23.85234869664758,23.85234869664758,0.0630082331088327
LA4001,84-277,15.0,25.0,9.700162791511673,15.324816197307525,40.32481619730753,40.32481619730753,0.06297272871386518
LA4001,LA4647,15.0,20.1,9.700425208985543,15.447651178681747,35.54765117868175,35.54765117868175,0.06236842063652208
84-277,36-680,25.0,36.0,13.22879385231478,20.589790262982188,56.58979026298219,56.58979026298219,0.06202162556593793
LA4001,48-025,15.0,30.0,9.700346944279945,15.072312815640496,45.072312815640494,45.072312815640494,0.06016473768363154
LA4001,36-682,15.0,20.0,9.702164798286052,15.267573756653203,35.267573756653206,35.267573756653206,0.05881908307664782
84-277,89-411,25.0,10.0,9.700334436954352,13.8043617062291,23.804361706229102,23.804361706229102,0.05879303724046888
84-277,89-413,25.0,20.0,10.684919651488974,16.299728021921688,36.29972802192169,36.29972802192169,0.05861822303860665
LA4001,70-888,15.0,12.0,9.724465177338013,15.41911326406122,27.41911326406122,27.41911326406122,0.05861734195445234
LA4001,89-413,15.0,20.0,9.700649139641687,15.218214963051977,35.21821496305198,35.21821496305198,0.058142022473166154
LA4001,45-694,15.0,18.0,9.700500486575217,15.336448898438675,33.336448898438675,33.336448898438675,0.05730635967867038
LA4001,LA4003,15.0,35.0,10.802439188621182,11.201212062214566,46.201212062214566,46.201212062214566,0.05545589651115911
84-277,89-414,25.0,25.0,11.787545825356258,17.105697287658117,42.10569728765812,42.10569728765812,0.05532484140626253
LA4001,48-024,15.0,25.0,9.701365064451934,15.356945179711605,40.3569451797116,40.3569451797116,0.054884277235864025
LA4042,LA4042,60.0,60.0,36.20279897810945,38.50216866924502,98.50216866924502,98.50216866924502,0.05372839119146425
LA4001,45-692,15.0,18.0,9.702632867556806,15.243245629214732,33.243245629214734,33.243245629214734,0.0537175261421714
LA4001,36-683,15.0,25.0,9.70125956558141,15.114535871134446,40.11453587113445,40.11453587113445,0.05336160660602702
