lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
48-024,LA4002,25.0,25.0,12.147036005095917,16.58854214071802,41.58854214071802,41.58854214071802,0.2344147193335095
LA4647,48-024,20.1,25.0,9.702099256622107,14.504537757717792,39.50453775771779,39.50453775771779,0.229926362167407
LA4002,LA4002,25.0,25.0,12.249122222557247,16.50015658190966,41.500156581909664,41.500156581909664,0.2260518480048176
84-277,48-024,25.0,25.0,12.086928835297249,16.88189750051705,41.88189750051705,41.88189750051705,0.2258050801412637
LA4647,36-681,20.1,22.0,9.751842666030354,14.556818786535317,36.55681878653532,36.55681878653532,0.2229800879168786
LA4647,LA4002,20.1,25.0,9.702099256622107,14.55513954978164,39.55513954978164,39.55513954978164,0.2222829265919838
36-682,LA4002,20.0,25.0,9.70066639289685,13.209756001606427,38.20975600160643,38.20975600160643,0.2206877924028597
36-682,48-024,20.0,25.0,9.705061774774771,13.2393357304934,38.2393357304934,38.2393357304934,0.2198320227089846
36-681,84-277,22.0,25.0,10.58745097669116,14.11001638733915,39.11001638733915,39.11001638733915,0.2196923566931283
LA4647,36-683,20.1,25.0,9.765691787656104,14.566016775537136,39.566016775537136,39.566016775537136,0.215015054767441
LA4647,84-277,20.1,25.0,9.700312346692332,14.508641375576794,39.5086413755768,39.5086413755768,0.2147965671242689
84-277,LA4002,25.0,25.0,12.056454753832703,18.128024818215657,43.12802481821566,43.12802481821566,0.2147533003366126
36-681,LA4647,22.0,20.1,9.71466478136194,15.825386493587215,35.92538649358722,35.92538649358722,0.2144548107582319
36-682,36-681,20.0,22.0,9.753677061580603,13.262231901848846,35.26223190184885,35.26223190184885,0.2141364321518389
36-681,48-024,22.0,25.0,10.50097543119903,16.61989144546047,41.61989144546047,41.61989144546047,0.2139864679339312
36-682,36-683,20.0,25.0,9.705615856498726,13.22956160202578,38.22956160202578,38.22956160202578,0.2138265833672722
LA4002,48-024,25.0,25.0,12.185415528895208,16.454647929536492,41.45464792953649,41.45464792953649,0.2133534190599747
