lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
48-275,84-278,75.0,30.0,31.80831166522968,43.04953267555328,73.04953267555328,73.04953267555328,0.079
LA4022,45-694,60.0,18.0,19.688596810048136,25.597404824937605,43.597404824937605,43.597404824937605,0.078
LA4022,48-024,60.0,25.0,25.630230305322954,31.388981876116983,56.388981876116986,56.388981876116986,0.0765
LA4022,48-669,60.0,36.0,30.607464648242257,36.321158563920015,72.32115856392002,72.32115856392002,0.076
LA4022,45-691,60.0,12.0,12.399208548923871,18.07948872080734,30.07948872080734,30.07948872080734,0.07
48-275,84-280,75.0,60.0,43.519290715079464,48.65673002906845,108.65673002906846,108.65673002906846,0.0665
48-276,45-690,100.0,9.0,9.70216440668405,14.50216438153805,23.50216438153805,23.50216438153805,0.0635
LA4022,36-681,60.0,22.0,23.229489517729856,28.940353352707202,50.940353352707206,50.940353352707206,0.063
LA4022,LA4249,60.0,10.0,9.820427122927635,15.56965071466858,25.56965071466858,25.56965071466858,0.0615
LA4022,48-666,60.0,12.0,12.877851805166696,19.18996300889832,31.18996300889832,31.18996300889832,0.0605
LA4022,89-411,60.0,10.0,10.060674534543551,15.813963468291767,25.813963468291767,25.813963468291767,0.0595
LA4022,45-693,60.0,13.5,14.119318214387663,20.677046042210637,34.177046042210634,34.177046042210634,0.058
LA4022,LA4917,60.0,15.1,16.21373566168848,22.312461014956376,37.41246101495638,37.41246101495638,0.0555
48-276,45-693,100.0,13.5,17.665336410713355,22.51177567735492,36.01177567735492,36.01177567735492,0.055
48-276,LA4280,100.0,10.0,9.89949452532163,16.763366857749833,26.763366857749833,26.763366857749833,0.054
48-275,84-281,75.0,75.0,46.38761867719928,51.42442621884309,126.42442621884308,126.42442621884308,0.0535
LA4022,36-683,60.0,25.0,23.965234597195817,36.77831654705525,61.77831654705525,61.77831654705525,0.053
48-276,LA4249,100.0,10.0,11.074217673912445,15.727047073277962,25.727047073277962,25.727047073277962,0.052
LA4022,45-690,60.0,9.0,9.70161687927416,15.5355966994241,24.5355966994241,24.5355966994241,0.0485
48-276,89-411,100.0,10.0,10.233412479417959,15.373678003634195,25.373678003634197,25.373678003634197,0.047
LA4022,45-695,60.0,27.0,27.106136605548773,32.707982962775255,59.707982962775255,59.707982962775255,0.04
LA4022,48-667,60.0,36.0,30.142609408399334,35.761351646983606,71.7613516469836,71.7613516469836,0.0375
48-276,LA4039,100.0,9.0,9.712290129277784,14.386125499141368,23.386125499141368,23.386125499141368,0.029
LA4022,70-888,60.0,12.0,10.784640275001067,16.430478607419264,28.430478607419264,28.430478607419264,0.0285
48-276,LA4130,100.0,40.1,39.76799737362331,81.83605653144625,121.93605653144624,121.93605653144624,0.025
LA4022,LA4039,60.0,9.0,10.575330870230172,16.208146586163746,25.208146586163746,25.208146586163746,0.0215
48-276,70-885,100.0,9.0,9.70216440668405,14.50216438153805,23.50216438153805,23.50216438153805,0.02
LA4022,70-885,60.0,9.0,9.715157287264516,15.459429136348508,24.459429136348508,24.459429136348508,0.018
48-276,48-666,100.0,12.0,9.756927162873778,14.052825078137529,26.05282507813753,26.05282507813753,0.0145
48-276,70-886,100.0,8.0,9.725529765865629,24.488648626359755,32.488648626359755,32.488648626359755,0.014
48-276,70-888,100.0,12.0,9.956393496678682,14.356395221662027,26.356395221662027,26.356395221662027,0.013
48-276,LA4917,100.0,15.1,9.893976330930137,15.321581101683538,30.421581101683536,30.421581101683536,0.011
48-276,45-691,100.0,12.0,9.971514742023935,14.267412657287686,26.267412657287686,26.267412657287686,0.0105
48-275,84-279,75.0,45.0,61.0,66.27553665690806,111.27553665690806,111.27553665690806,0.009
LA4022,LA4024,60.0,4.0,9.737621623583683,15.923376426446566,19.923376426446566,19.923376426446566,0.0085
LA4022,89-412,60.0,15.0,9.709642149072026,15.855540032900768,30.85554003290077,30.85554003290077,0.0085
LA4022,45-692,60.0,18.0,9.70628450410788,15.361102979484365,33.361102979484365,33.361102979484365,0.0085
LA4022,36-682,60.0,20.0,49.0,54.609171217094534,74.60917121709454,74.60917121709454,0.0085
48-276,70-882,100.0,4.0,9.73124488044989,14.62141480499189,18.62141480499189,18.62141480499189,0.007
LA4022,70-882,60.0,4.0,10.050704034286518,15.669464504252463,19.669464504252463,19.669464504252463,0.007
LA4022,48-664,60.0,15.0,48.381966025156,54.317374966178,69.317374966178,69.317374966178,0.007
LA4022,48-668,60.0,18.0,49.0,54.681306966167995,72.681306966168,72.681306966168,0.007
48-276,89-413,100.0,20.0,9.728419529501554,14.163828423180842,34.163828423180846,34.163828423180846,0.0065
48-276,LA4001,100.0,15.0,10.81799221489263,15.169809061229172,30.169809061229174,30.169809061229174,0.006
LA4022,89-413,60.0,20.0,49.0,54.609171217094534,74.60917121709454,74.60917121709454,0.006
LA4022,LA4194,60.0,20.1,9.724465909559783,15.847457188743622,35.94745718874363,35.94745718874363,0.0055
48-276,45-694,100.0,18.0,9.703772000645934,14.5751892141854,32.5751892141854,32.5751892141854,0.0045
48-276,45-692,100.0,18.0,9.809407496081187,14.371807721982337,32.371807721982336,32.371807721982336,0.004
LA4022,36-679,60.0,21.0,12.896674356720666,18.613580086227962,39.61358008622796,39.61358008622796,0.004
LA4022,89-414,60.0,25.0,9.70366924961884,15.639078167365492,40.63907816736549,40.63907816736549,0.004
48-276,LA4765,100.0,50.2,81.0,85.31874772366172,135.5187477236617,135.5187477236617,0.004
48-276,48-668,100.0,18.0,9.723797603284327,18.741112917437793,36.74111291743779,36.74111291743779,0.0035
LA4022,48-665,60.0,24.0,9.705829795126924,15.943523258644074,39.94352325864408,39.94352325864408,0.0035
48-276,48-024,100.0,25.0,9.714769291426581,15.057723053629118,40.05772305362912,40.05772305362912,0.0035
48-276,LA4936,100.0,30.1,9.70433428472738,14.431220146455301,44.531220146455304,44.531220146455304,0.0035
