lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
LA4647,LA4002,20.1,25.0,9.702099266240845,14.550217912867977,39.55021791286798,39.55021791286798,0.263
84-277,48-024,25.0,25.0,12.118096474584533,16.86813716521752,41.86813716521752,41.86813716521752,0.259
36-681,36-681,22.0,22.0,10.186059122653036,13.698431731416198,35.6984317314162,35.6984317314162,0.255
36-682,48-024,20.0,25.0,9.72757075844751,13.22912492458915,38.22912492458915,38.22912492458915,0.2515
LA4647,84-277,20.1,25.0,9.713719073894442,14.514721185759502,39.5147211857595,39.5147211857595,0.2515
LA4647,48-024,20.1,25.0,9.7145154301539,14.536978034456268,39.53697803445627,39.53697803445627,0.251
84-277,LA4002,25.0,25.0,11.719043434250372,26.373588234909136,51.373588234909136,51.373588234909136,0.2505
36-681,36-683,22.0,25.0,10.492609101565023,14.01374582509472,39.013745825094716,39.013745825094716,0.25
36-683,48-024,25.0,25.0,12.108482802448119,15.670779076744884,40.670779076744886,40.670779076744886,0.2495
LA4002,48-024,25.0,25.0,12.192852737134997,16.468331943272528,41.46833194327253,41.46833194327253,0.248
LA4647,LA4936,20.1,30.1,9.981532078938335,15.800065747300879,45.90006574730088,45.90006574730088,0.248
LA4647,36-683,20.1,25.0,9.706278451991258,14.641271285445402,39.6412712854454,39.6412712854454,0.2465
LA4002,84-277,25.0,25.0,12.153558646726049,16.35692033035999,41.35692033035999,41.35692033035999,0.2465
36-682,84-277,20.0,25.0,9.727463795167909,13.227512591421865,38.22751259142186,38.22751259142186,0.2455
36-682,48-025,20.0,30.0,9.900472664278743,17.61273068135955,47.61273068135955,47.61273068135955,0.245
LA4021,84-278,30.0,30.0,15.200846684692802,27.583721610661712,57.58372161066171,57.58372161066171,0.2445
36-686,LA4003,27.0,35.0,13.056146250847528,58.90498498329395,93.90498498329396,93.90498498329396,0.2445
LA4002,48-025,25.0,30.0,12.531344222791986,26.58802329339949,56.58802329339949,56.58802329339949,0.244
36-686,84-278,27.0,30.0,13.183196884585659,36.24238016175463,66.24238016175462,66.24238016175462,0.243
48-024,LA4002,25.0,25.0,11.929196765787932,21.406331120290783,46.40633112029079,46.40633112029079,0.242
36-681,LA4002,22.0,25.0,10.621286219599057,14.1816740977023,39.1816740977023,39.1816740977023,0.2415
84-277,84-277,25.0,25.0,12.108943573571587,16.85967985968492,41.85967985968492,41.85967985968492,0.2415
36-682,LA4936,20.0,30.1,9.968590272164594,13.980451937087109,44.08045193708711,44.08045193708711,0.2415
48-025,48-025,30.0,30.0,15.358732054446776,20.20845986017685,50.208459860176845,50.208459860176845,0.241
36-681,36-682,22.0,20.0,9.728156481034157,13.2542232437681,33.2542232437681,33.2542232437681,0.24
36-682,LA4002,20.0,25.0,9.712463262718948,13.220994306816193,38.220994306816195,38.220994306816195,0.24
48-024,48-024,25.0,25.0,12.116864248780011,16.537500002264423,41.53750000226442,41.53750000226442,0.2395
84-278,LA4936,30.0,30.1,15.380193855020957,19.53010736882574,49.63010736882574,49.63010736882574,0.2395
49-959,LA4936,30.0,30.1,15.314264268409175,22.14458100802497,52.24458100802497,52.24458100802497,0.2395
