lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation
49-960,LA4003,35.0,35.0,16.736082486073034,22.5221472620111,57.5221472620111,57.5221472620111,0.2475,SfccfF
49-960,84-280,35.0,60.0,19.15394673697378,24.800322190870233,84.80032219087023,84.80032219087023,0.242,SfccfF
49-960,84-279,35.0,45.0,18.097561247768887,23.676473252796182,68.67647325279619,68.67647325279619,0.2415,SfccfF
49-960,LA4936,35.0,30.1,16.025936631035787,21.527271660506127,51.627271660506125,51.627271660506125,0.2335,SfccfF
49-960,LA4130,35.0,40.1,17.54476804658758,23.1311489450918,63.2311489450918,63.2311489450918,0.2165,SfccfF
49-960,84-278,35.0,30.0,15.609669797427276,26.2463126993268,56.2463126993268,56.2463126993268,0.2145,SfccfF
49-960,LA4765,35.0,50.2,18.48087527879898,23.98374132301222,74.18374132301223,74.18374132301223,0.214,SfccfF
49-960,84-277,35.0,25.0,14.74629859963613,20.48696761927398,45.48696761927398,45.48696761927398,0.198,SfccfF
49-960,48-024,35.0,25.0,14.88492575156588,20.38721208632114,45.38721208632114,45.38721208632114,0.196,SfccfF
49-960,LA4002,35.0,25.0,14.763679547060487,21.087414748952117,46.08741474895211,46.08741474895211,0.1945,SfccfF
49-960,48-025,35.0,30.0,16.10701803228187,21.677657650145523,51.67765765014552,51.67765765014552,0.1945,SfccfF
49-960,LA4042,35.0,60.0,19.094235163550664,24.76471336462837,84.76471336462836,84.76471336462836,0.193,SfccfF
49-960,48-026,35.0,40.0,17.48539459097153,23.65642733708999,63.656427337089994,63.656427337089994,0.19,SfccfF
49-960,LA4327,35.0,75.3,19.85100039160571,25.62147481468033,100.92147481468032,100.92147481468032,0.1845,SfccfF
49-960,36-682,35.0,20.0,12.762111814945643,18.27486279708812,38.27486279708812,38.27486279708812,0.1825,SfccfF
49-960,48-669,35.0,36.0,16.861813149222957,23.05380836928957,59.05380836928957,59.05380836928957,0.171,SfccfF
49-960,48-027,35.0,50.0,18.48564215760904,23.992071996545988,73.99207199654599,73.99207199654599,0.1615,SfccfF
49-960,LA4647,35.0,20.1,13.108736099191884,18.620899330726036,38.72089933072604,38.72089933072604,0.153,SfccfF
49-960,36-684,35.0,72.0,19.64645229168756,25.236102503533058,97.23610250353306,97.23610250353306,0.1445,SfccfF
49-963,84-278,60.0,30.0,27.289796472222122,31.32759531013733,61.327595310137326,61.327595310137326,0.13,SfccfF
49-960,36-683,35.0,25.0,14.736217276529812,20.28252238183775,45.28252238183775,45.28252238183775,0.128,SfccfF
49-960,45-694,35.0,18.0,11.837076793613628,17.357323980001908,35.35732398000191,35.35732398000191,0.125,SfccfF
49-960,48-028,35.0,100.0,20.60081294665494,26.21043547220564,126.21043547220563,126.21043547220563,0.1205,SfccfF
49-960,36-681,35.0,22.0,13.03592633982179,23.84347131974741,45.84347131974741,45.84347131974741,0.1115,SfccfF
