lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation
84-277,84-279,25.0,45.0,12.294747844967329,19.266392228707364,64.26639222870736,64.26639222870736,0.467,SfccfF
36-686,84-279,27.0,45.0,12.804882344680463,21.716216581504646,66.71621658150465,66.71621658150465,0.4285,SfccfF
LA4002,LA4936,25.0,30.1,11.603501369601089,15.807635924382712,45.90763592438272,45.90763592438272,0.427,SfccfF
84-277,84-278,25.0,30.0,11.174119408011626,16.053853539231792,46.053853539231795,46.053853539231795,0.427,SfccfF
LA4002,84-278,25.0,30.0,11.591911467995882,15.792514831415009,45.792514831415005,45.792514831415005,0.4245,SfccfF
84-277,LA4936,25.0,30.1,11.197727039999187,15.960990513795029,46.06099051379503,46.06099051379503,0.424,SfccfF
84-277,LA4003,25.0,35.0,11.637167259010049,16.45357190433622,51.453571904336215,51.453571904336215,0.4235,SfccfF
LA4002,84-279,25.0,45.0,12.728916591901626,17.004064217311498,62.004064217311495,62.004064217311495,0.4185,SfccfF
LA4002,LA4130,25.0,40.1,12.524947857119797,16.732891755540034,56.83289175554003,56.83289175554003,0.4175,SfccfF
84-277,LA4765,25.0,50.2,12.698266036467459,17.577224781720368,67.77722478172038,67.77722478172038,0.4035,SfccfF
LA4002,84-280,25.0,60.0,13.337498779592432,17.57343668054378,77.57343668054378,77.57343668054378,0.4,SfccfF
LA4002,LA4003,25.0,35.0,11.904804936253171,22.18396446780393,57.18396446780393,57.18396446780393,0.3985,SfccfF
36-686,84-278,27.0,30.0,11.499780147001108,17.50258850471608,47.50258850471608,47.50258850471608,0.3945,SfccfF
LA4002,LA4765,25.0,50.2,13.128070727232375,17.33954307245246,67.53954307245246,67.53954307245246,0.3915,SfccfF
LA4002,LA4042,25.0,60.0,13.326876032573905,17.526887899596627,77.52688789959663,77.52688789959663,0.388,SfccfF
36-686,84-280,27.0,60.0,13.492609012550833,20.620813009168916,80.62081300916891,80.62081300916891,0.384,SfccfF
84-277,84-280,25.0,60.0,12.933239835775067,18.23016044043008,78.23016044043008,78.23016044043008,0.376,SfccfF
36-686,LA4936,27.0,30.1,11.346652862016386,23.14873659175278,53.24873659175278,53.24873659175278,0.37,SfccfF
48-024,84-278,25.0,30.0,11.26655822302898,19.876747710413024,49.87674771041303,49.87674771041303,0.362,SfccfF
48-024,LA4936,25.0,30.1,11.14987098547784,24.063240277422935,54.163240277422936,54.163240277422936,0.362,SfccfF
36-686,LA4003,27.0,35.0,12.052215447067104,18.066444467238437,53.06644446723844,53.06644446723844,0.354,SfccfF
84-277,48-025,25.0,30.0,11.456618188961288,16.206726613715777,46.20672661371577,46.20672661371577,0.348,SfccfF
49-959,84-279,30.0,45.0,14.371623312955046,20.93349399998541,65.93349399998542,65.93349399998542,0.3465,SfccfF
84-278,84-279,30.0,45.0,15.884997603025552,20.01838634198923,65.01838634198923,65.01838634198923,0.345,SfccfF
LA4647,36-684,20.1,72.0,9.701139710958463,14.607719705681491,86.60771970568149,86.60771970568149,0.3415,SfccfF
LA4647,84-280,20.1,60.0,9.700449374203494,17.165213824332707,77.16521382433271,77.16521382433271,0.339,SfccfF
36-686,LA4042,27.0,60.0,13.500745350937201,19.630605666057626,79.63060566605762,79.63060566605762,0.339,SfccfF
36-682,LA4765,20.0,50.2,10.00483484348985,13.505250660841728,63.70525066084173,63.70525066084173,0.336,SfccfF
LA4002,84-281,25.0,75.0,13.734309406569754,18.271409055870578,93.27140905587058,93.27140905587058,0.336,SfccfF
48-024,48-025,25.0,30.0,11.410097004865703,15.843945151865295,45.8439451518653,45.8439451518653,0.3355,SfccfF
36-686,LA4130,27.0,40.1,12.52121524567233,18.660744115130246,58.76074411513025,58.76074411513025,0.3335,SfccfF
84-277,LA4327,25.0,75.3,13.310027853843787,18.094717636083068,93.39471763608307,93.39471763608307,0.3325,SfccfF
48-024,48-024,25.0,25.0,10.810428763018757,15.242161247432747,40.24216124743275,40.24216124743275,0.332,SfccfF
84-277,LA4002,25.0,25.0,10.613916062433042,15.371502138649538,40.37150213864954,40.37150213864954,0.3305,SfccfF
LA4002,48-024,25.0,25.0,10.875823149485464,16.62428114040669,41.624281140406694,41.624281140406694,0.3305,SfccfF
LA4647,LA4327,20.1,75.3,9.732922920660771,19.59319945314326,94.89319945314325,94.89319945314325,0.329,SfccfF
LA4002,84-277,25.0,25.0,10.947693782572363,15.18815776871458,40.18815776871458,40.18815776871458,0.3285,SfccfF
84-277,48-024,25.0,25.0,10.54915019870006,15.313352697016416,40.31335269701641,40.31335269701641,0.3285,SfccfF
LA4647,84-281,20.1,75.0,9.752254929048265,14.553274772525393,89.5532747725254,89.5532747725254,0.3285,SfccfF
LA4936,LA4936,30.1,30.1,14.573422123861711,18.49102593239191,48.591025932391915,48.591025932391915,0.3275,SfccfF
LA4021,84-279,30.0,45.0,11.530224272169695,23.662006645535808,68.66200664553581,68.66200664553581,0.3275,SfccfF
36-682,84-277,20.0,25.0,9.706816121705552,13.220994306816193,38.220994306816195,38.220994306816195,0.327,SfccfF
36-682,LA4002,20.0,25.0,9.716334521140109,13.231639951033213,38.231639951033216,38.231639951033216,0.3265,SfccfF
49-959,84-280,30.0,60.0,15.373887624653932,21.9545960798565,81.9545960798565,81.9545960798565,0.3265,SfccfF
36-682,48-024,20.0,25.0,9.700080294333773,13.260155630703672,38.26015563070367,38.26015563070367,0.326,SfccfF
LA4936,84-278,30.1,30.0,14.470722334869896,18.510789269918142,48.51078926991814,48.51078926991814,0.326,SfccfF
48-024,48-669,25.0,36.0,11.92112467790469,16.357380381724884,52.35738038172488,52.35738038172488,0.325,SfccfF
