lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
36-686,48-273,27.0,38.0,12.586057664888346,18.599961126981547,56.59996112698155,30.599961126981547,0.5045,SfccfF,focal_length
36-686,36-687,27.0,36.0,12.252119791113124,18.354754173169624,54.35475417316962,28.354754173169617,0.4965,SfccfF,focal_length
36-686,49-960,27.0,35.0,12.187815942812136,18.21453681739355,53.21453681739355,27.21453681739355,0.4825,SfccfF,focal_length
36-686,36-689,27.0,35.0,12.4736175924333,18.768745295750087,53.76874529575009,27.768745295750087,0.442,SfccfF,focal_length
LA4021,48-273,30.0,38.0,11.280304090322534,22.450300899000467,60.45030089900047,34.45030089900047,0.439,SfccfF,focal_length
49-959,48-273,30.0,38.0,14.147558120103092,20.662055054442924,58.66205505444293,32.66205505444293,0.4355,SfccfF,focal_length
LA4021,36-687,30.0,36.0,10.879836367551544,22.065697911350178,58.06569791135018,32.06569791135018,0.4165,SfccfF,focal_length
36-686,LA4052,27.0,35.1,12.460786922371495,18.479948253492573,53.579948253492574,27.579948253492574,0.415,SfccfF,focal_length
49-959,36-687,30.0,36.0,13.664278416004317,20.168136162260478,56.16813616226048,30.16813616226048,0.4095,SfccfF,focal_length
LA4021,49-960,30.0,35.0,10.781623679341225,21.86398936553452,56.86398936553452,30.863989365534522,0.3865,SfccfF,focal_length
49-959,49-960,30.0,35.0,13.579029679827814,20.222217472451227,55.22221747245123,29.222217472451227,0.3845,SfccfF,focal_length
36-686,49-959,27.0,30.0,11.731589129818058,17.759863135177916,47.75986313517792,21.759863135177923,0.378,SfccfF,focal_length
49-959,36-689,30.0,35.0,14.040423176886472,20.56948824964212,55.56948824964212,29.56948824964212,0.378,SfccfF,focal_length
LA4021,LA4052,30.0,35.1,11.140368703331053,22.142530866257736,57.24253086625774,31.242530866257738,0.3665,SfccfF,focal_length
49-959,LA4052,30.0,35.1,13.95721330806257,20.457825937940115,55.55782593794012,29.557825937940123,0.3595,SfccfF,focal_length
LA4021,36-689,30.0,35.0,11.174496001289585,22.19296862834008,57.19296862834008,31.192968628340083,0.356,SfccfF,focal_length
49-960,48-273,35.0,38.0,17.66520945262784,23.16625479875932,61.16625479875932,35.16625479875932,0.342,SfccfF,focal_length
36-686,36-686,27.0,27.0,11.262652087935562,17.367166485361537,44.36716648536154,18.367166485361537,0.334,SfccfF,focal_length
36-686,LA4021,27.0,30.0,12.296621476971769,18.40342850868231,48.40342850868231,22.40342850868231,0.3255,SfccfF,focal_length
LA4052,48-273,35.1,38.0,15.710185747168168,24.681628682125613,62.68162868212561,36.68162868212561,0.323,SfccfF,focal_length
LA4021,49-959,30.0,30.0,10.239299555650389,21.306533720800036,51.30653372080003,25.306533720800033,0.3195,SfccfF,focal_length
LA4052,36-687,35.1,36.0,15.20334697000653,23.96453322107032,59.96453322107032,33.96453322107032,0.3175,SfccfF,focal_length
36-689,48-273,35.0,38.0,15.551723880731137,24.75389735776424,62.75389735776424,36.75389735776424,0.3175,SfccfF,focal_length
36-689,49-960,35.0,35.0,14.754972369623673,23.78231512151452,58.78231512151452,32.78231512151452,0.317,SfccfF,focal_length
49-959,49-959,30.0,30.0,13.05301775932729,19.56261771690727,49.56261771690727,23.56261771690727,0.314,SfccfF,focal_length
49-960,49-960,35.0,35.0,16.98774228154574,22.502576826149145,57.502576826149145,31.502576826149145,0.3135,SfccfF,focal_length
49-960,36-687,35.0,36.0,17.15999798453921,22.783157076664367,58.78315707666437,32.78315707666437,0.311,SfccfF,focal_length
36-689,36-687,35.0,36.0,14.86650680874159,23.965040116239905,59.96504011623991,33.96504011623991,0.308,SfccfF,focal_length
36-687,48-273,36.0,38.0,18.57323396962403,23.614515285318056,61.614515285318056,35.614515285318056,0.308,SfccfF,focal_length
LA4052,49-960,35.1,35.0,15.018302486971724,23.74175686471853,58.74175686471853,32.74175686471853,0.3025,SfccfF,focal_length
LA4052,36-689,35.1,35.0,15.481701830994208,24.255602641304076,59.25560264130407,33.25560264130407,0.296,SfccfF,focal_length
49-960,LA4052,35.0,35.1,17.45730456730795,23.080008439140173,58.180008439140174,32.180008439140174,0.295,SfccfF,focal_length
36-689,36-689,35.0,35.0,15.252245944262812,24.322890705186083,59.32289070518608,33.32289070518608,0.29,SfccfF,focal_length
LA4052,LA4052,35.1,35.1,15.438434164913737,24.759633635481343,59.85963363548135,33.85963363548135,0.287,SfccfF,focal_length
36-689,LA4052,35.0,35.1,15.2115685296902,24.22648857472816,59.32648857472816,33.32648857472816,0.2865,SfccfF,focal_length
48-273,36-687,38.0,36.0,17.260259670488086,25.11102708959119,61.11102708959119,35.11102708959119,0.2855,SfccfF,focal_length
48-273,48-273,38.0,38.0,17.980075809823404,25.926731760526053,63.92673176052605,37.92673176052605,0.284,SfccfF,focal_length
49-959,36-686,30.0,27.0,12.574582641310686,19.096414216240586,46.09641421624058,20.096414216240582,0.2825,SfccfF,focal_length
36-687,36-687,36.0,36.0,17.96509240640748,23.08319328362719,59.08319328362719,33.08319328362719,0.2825,SfccfF,focal_length
49-959,LA4021,30.0,30.0,13.759105310189886,20.436179024769345,50.43617902476935,24.436179024769352,0.281,SfccfF,focal_length
LA4021,36-686,30.0,27.0,9.703944751136142,20.98149212460616,47.98149212460616,21.981492124606163,0.2745,SfccfF,focal_length
49-960,36-689,35.0,35.0,17.472990617099242,23.01454929926365,58.01454929926365,32.01454929926365,0.273,SfccfF,focal_length
36-687,49-960,36.0,35.0,17.84396074627562,22.86656204617062,57.86656204617062,31.86656204617062,0.27,SfccfF,focal_length
LA4021,LA4021,30.0,30.0,10.915636810886353,21.986465464637497,51.9864654646375,25.986465464637497,0.2685,SfccfF,focal_length
36-687,LA4052,36.0,35.1,18.302435504444198,23.67876376460252,58.77876376460252,32.77876376460252,0.2665,SfccfF,focal_length
48-273,49-960,38.0,35.0,17.21991697969076,24.9964357668943,59.9964357668943,33.9964357668943,0.2645,SfccfF,focal_length
36-687,36-689,36.0,35.0,18.465145518835257,23.49030910793634,58.49030910793634,32.49030910793634,0.257,SfccfF,focal_length
48-273,36-689,38.0,35.0,17.687188156770546,25.449325880853927,60.44932588085393,34.44932588085393,0.255,SfccfF,focal_length
48-273,LA4052,38.0,35.1,17.651949435875295,25.43948292914064,60.53948292914064,34.53948292914064,0.2495,SfccfF,focal_length
36-689,49-959,35.0,30.0,14.075673618109033,23.09084896352616,53.09084896352616,27.090848963526163,0.2455,SfccfF,focal_length
LA4052,49-959,35.1,30.0,14.27132793662631,23.056106154779734,53.05610615477973,27.056106154779727,0.2395,SfccfF,focal_length
36-687,49-959,36.0,30.0,17.16373191336212,22.193695664064087,52.19369566406409,26.193695664064087,0.239,SfccfF,focal_length
49-960,49-959,35.0,30.0,16.263988829890756,21.78204685393755,51.78204685393755,25.78204685393755,0.2375,SfccfF,focal_length
36-689,LA4021,35.0,30.0,15.05877867241718,24.179694558326297,54.1796945583263,28.179694558326297,0.219,SfccfF,focal_length
LA4052,LA4021,35.1,30.0,15.180234563911586,23.97741362120212,53.97741362120212,27.977413621202118,0.2175,SfccfF,focal_length
36-687,LA4021,36.0,30.0,18.01110290623192,23.09600719735017,53.09600719735017,27.09600719735017,0.215,SfccfF,focal_length
36-689,36-686,35.0,27.0,13.338193145847796,22.470876215821814,49.47087621582182,23.470876215821818,0.212,SfccfF,focal_length
49-960,36-686,35.0,27.0,15.600687582651757,21.60861585894731,48.60861585894731,22.60861585894731,0.206,SfccfF,focal_length
49-960,LA4021,35.0,30.0,17.178052156882966,22.71848563397253,52.71848563397253,26.718485633972527,0.2055,SfccfF,focal_length
LA4052,36-686,35.1,27.0,13.583432169216469,22.31091975297774,49.31091975297774,23.31091975297774,0.202,SfccfF,focal_length
48-273,49-959,38.0,30.0,16.292583671374,24.317028175474647,54.31702817547465,28.317028175474647,0.202,SfccfF,focal_length
36-687,36-686,36.0,27.0,16.314122516930112,21.36867242905459,48.36867242905459,22.36867242905459,0.1925,SfccfF,focal_length
48-273,LA4021,38.0,30.0,17.303831010739998,25.08552213847306,55.08552213847306,29.08552213847306,0.186,SfccfF,focal_length
48-273,36-686,38.0,27.0,15.443592186942013,23.298666793300256,50.29866679330026,24.298666793300256,0.177,SfccfF,focal_length
36-687,72-487,36.0,16.0,10.106946442575628,15.302822301319535,35.525741618746075,9.525741618746075,0.15,SfccfF,optimized
22-842,22-842,8.3,8.3,9.869830738002216,26.09278114517809,33.413103672120585,7.4131036721205845,0.148,SfccfF,optimized
36-687,19-518,36.0,16.0,9.703314318875254,14.703966163981145,36.36960458139927,10.369604581399273,0.148,SfccfF,optimized
22-842,23-813,8.3,8.3,9.708890503955804,25.8104549564982,33.130780271275555,7.130780271275555,0.1445,SfccfF,optimized
72-494,22-842,8.3,8.3,9.768075482364983,25.848087297887435,33.16841208132226,7.168412081322259,0.1405,SfccfF,optimized
49-960,72-507,35.0,16.0,9.785729685238334,15.378861438187954,35.60178075561449,9.601780755614492,0.1385,SfccfF,optimized
22-842,72-514,8.3,8.3,9.700959483628752,21.52013370353337,29.820133703533376,3.820133703533376,0.136,SfccfF,focal_length
49-960,72-487,35.0,16.0,9.810068206028802,15.501653434626071,35.72457275205261,9.724572752052609,0.136,SfccfF,optimized
36-687,21-199,36.0,16.0,10.52589144673732,15.8388607709309,36.06178008835744,10.061780088357438,0.134,SfccfF,optimized
72-494,23-813,8.3,8.3,9.828297558369734,25.738279560119636,34.03827956011963,8.038279560119634,0.133,SfccfF,focal_length
36-687,72-507,36.0,16.0,9.83137193241679,15.261039192992854,36.92667761041098,10.926677610410977,0.133,SfccfF,optimized
72-514,22-842,8.3,8.3,9.743009771825877,25.511445386946573,33.81144538694657,7.811445386946573,0.127,SfccfF,focal_length
23-813,23-813,8.3,8.3,9.711947949686682,25.759701796270136,33.08002560204659,7.0800256020465895,0.1265,SfccfF,optimized
23-813,22-842,8.3,8.3,9.804052417361335,25.66770295841295,33.96770295841295,7.96770295841295,0.1245,SfccfF,focal_length
72-514,72-494,8.3,8.3,9.703897483471136,21.36431406459921,29.66431406459921,3.6643140645992105,0.123,SfccfF,focal_length
72-494,72-494,8.3,8.3,9.742929454769635,21.789373019477623,30.089373019477623,4.089373019477623,0.1215,SfccfF,focal_length
48-273,72-507,38.0,16.0,9.701157140823993,18.11395042901932,38.336869746445856,12.336869746445856,0.12,SfccfF,optimized
49-960,21-199,35.0,16.0,9.837813208677254,15.811476759965949,36.034396077392486,10.034396077392486,0.1195,SfccfF,optimized
23-813,72-494,8.3,8.3,9.747989678370104,21.420438660789795,29.7204386607898,3.7204386607897995,0.119,SfccfF,focal_length
72-514,23-813,8.3,8.3,10.345280586363373,25.838297762343878,34.138297762343875,8.138297762343875,0.119,SfccfF,focal_length
49-959,72-507,30.0,16.0,9.82403276416277,16.683175499659765,36.90609481708631,10.906094817086313,0.117,SfccfF,optimized
22-842,72-494,8.3,8.3,9.835071669183897,21.807297567699504,30.107297567699504,4.107297567699504,0.1145,SfccfF,focal_length
72-494,72-514,8.3,8.3,9.70645123471838,21.360145823783974,29.66014582378397,3.660145823783971,0.113,SfccfF,focal_length
72-514,72-514,8.3,8.3,9.740792294614584,21.76470826136258,30.06470826136258,4.064708261362579,0.1125,SfccfF,focal_length
19-518,72-494,16.0,8.3,9.730061823546546,34.85816422302536,43.158164223025366,17.158164223025366,0.112,SfccfF,focal_length
21-199,22-842,16.0,8.3,9.745430888195298,39.41785769892981,47.717857698929805,21.717857698929805,0.111,SfccfF,focal_length
19-518,22-842,16.0,8.3,9.863917963140803,38.68092754427538,46.980927544275374,20.980927544275374,0.11,SfccfF,focal_length
48-273,21-199,38.0,16.0,10.050899840063902,17.829530381339183,38.05244969876572,12.05244969876572,0.1095,SfccfF,optimized
21-199,23-813,16.0,8.3,9.708256111759614,38.72961236528616,47.02961236528616,21.029612365286162,0.1085,SfccfF,focal_length
48-273,19-518,38.0,16.0,9.883083711063003,17.656736776461585,37.87965609388812,11.879656093888123,0.1075,SfccfF,optimized
72-487,23-813,16.0,8.3,9.70579057093804,38.62190002563448,46.92190002563447,20.92190002563447,0.1065,SfccfF,focal_length
72-507,23-813,16.0,8.3,9.776758081353368,38.89310478123709,47.193104781237096,21.193104781237096,0.1065,SfccfF,focal_length
48-273,72-487,38.0,16.0,9.709623226908132,17.827437726031377,38.05035704345792,12.050357043457922,0.106,SfccfF,optimized
72-507,72-494,16.0,8.3,9.814752425881563,34.469237712448894,42.7692377124489,16.7692377124489,0.105,SfccfF,focal_length
21-199,72-514,16.0,8.3,9.878982980066116,34.81922548066119,43.11922548066119,17.119225480661193,0.105,SfccfF,focal_length
