lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
72-507,36-689,16.0,35.0,9.85572811023274,25.580647947903266,43.11998052364132,43.11998052364132,0.0705,SfccfF,optimized
21-199,LA4021,16.0,30.0,10.022912500851682,26.927264955062224,42.96052465933777,42.96052465933777,0.068,SfccfF,optimized
19-518,49-959,16.0,30.0,9.76334227946158,25.66722585093589,41.06189849580637,41.06189849580637,0.066,SfccfF,optimized
72-487,49-959,16.0,30.0,9.704805118400104,25.886052382251567,41.52463546176859,41.52463546176859,0.066,SfccfF,optimized
21-199,49-959,16.0,30.0,9.709830131718526,26.18891158664886,41.552786761545114,41.552786761545114,0.0655,SfccfF,optimized
72-507,LA4021,16.0,30.0,9.781043051680133,25.596551306988168,41.62981103100138,41.62981103100138,0.062,SfccfF,optimized
19-518,LA4021,16.0,30.0,9.709830131718526,26.18891158664886,42.222171301875946,42.222171301875946,0.0615,SfccfF,optimized
19-518,36-689,16.0,35.0,9.724172053689625,25.979698203460497,43.521222075824284,43.521222075824284,0.0615,SfccfF,optimized
72-487,36-689,16.0,35.0,9.709830131718526,26.81671594423306,44.42541805857794,44.42541805857794,0.0615,SfccfF,optimized
72-487,LA4052,16.0,35.1,9.855728147265788,26.9237281838426,44.50853411753856,44.50853411753856,0.0585,SfccfF,optimized
19-518,21-200,16.0,23.5,9.855728172421788,26.583592056240533,41.76220211532128,41.76220211532128,0.058,SfccfF,optimized
72-487,LA4021,16.0,30.0,9.85572808507674,25.655009374074194,41.688269097220335,41.688269097220335,0.057,SfccfF,optimized
72-487,21-200,16.0,23.5,9.703252361091788,25.810797254771053,40.989407325314204,40.989407325314204,0.056,SfccfF,optimized
21-199,36-689,16.0,35.0,9.85572811023274,25.580647947903266,43.12217182618592,43.12217182618592,0.056,SfccfF,optimized
19-518,36-686,16.0,27.0,9.706541267899489,25.392763254761057,39.82270056209589,39.82270056209589,0.0545,SfccfF,optimized
72-487,72-508,16.0,23.5,9.703252361091788,25.810797254771053,40.989407325314204,40.989407325314204,0.053,SfccfF,optimized
72-487,19-519,16.0,23.5,9.705991359553146,25.69550226582041,40.87411233807366,40.87411233807366,0.0525,SfccfF,optimized
72-507,72-488,16.0,23.5,9.768847064370814,25.45011737567348,40.62872745156638,40.62872745156638,0.0515,SfccfF,optimized
19-518,72-508,16.0,23.5,9.810643222167478,25.991137128991053,41.16974719685933,41.16974719685933,0.05,SfccfF,optimized
21-199,36-686,16.0,27.0,9.706541267899489,25.392763254761057,39.82270056209589,39.82270056209589,0.0495,SfccfF,optimized
72-507,19-520,16.0,21.6,9.756947707072525,25.449490219063566,44.45245721026941,44.45245721026941,0.0485,SfccfF,optimized
19-518,LA4052,16.0,35.1,10.057354353585898,27.057035078281377,44.66301112528721,44.66301112528721,0.0485,SfccfF,optimized
19-518,19-519,16.0,23.5,9.748337222352006,26.046865116247577,41.22547518328927,41.22547518328927,0.048,SfccfF,optimized
19-518,19-520,16.0,21.6,9.704805077570434,25.77070296139917,44.82117314380818,44.82117314380818,0.048,SfccfF,optimized
21-199,LA4052,16.0,35.1,9.704805159113368,26.767955182370603,44.49433935609648,44.49433935609648,0.0475,SfccfF,optimized
72-487,72-509,16.0,21.6,9.703252272880318,25.50521814413105,44.51049248778414,44.51049248778414,0.047,SfccfF,optimized
19-518,21-201,16.0,21.6,9.726845441881036,25.396845331988775,44.44731583628268,44.44731583628268,0.0455,SfccfF,optimized
19-518,72-488,16.0,23.5,9.700435609678184,25.689946515945447,40.8685565882811,40.8685565882811,0.0445,SfccfF,optimized
19-518,36-687,16.0,36.0,9.709830131718526,26.75506900875191,44.86687889579391,44.86687889579391,0.044,SfccfF,optimized
21-199,LA4306,16.0,40.1,9.75162620386679,25.510537586648855,45.580243361418866,45.580243361418866,0.0435,SfccfF,optimized
72-507,72-509,16.0,21.6,9.709830077295075,25.449490071797783,44.458502734091,44.458502734091,0.043,SfccfF,optimized
