lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
36-686,49-961,27.0,40.0,12.544253599335105,18.749199228070015,58.74919922807001,58.74919922807001,0.4975,SfccfF,focal_length
36-686,48-273,27.0,38.0,12.593217223840933,18.604127104124107,56.6041271041241,56.6041271041241,0.486,SfccfF,focal_length
36-686,36-690,27.0,40.0,12.505955435093924,34.26159725262668,74.26159725262667,74.26159725262667,0.4845,SfccfF,focal_length
36-686,36-687,27.0,36.0,12.246410827130047,18.345746720254496,54.345746720254496,54.345746720254496,0.483,SfccfF,focal_length
36-686,LA4306,27.0,40.1,12.730096456694337,18.95417113610359,59.05417113610359,59.05417113610359,0.4825,SfccfF,focal_length
36-686,49-960,27.0,35.0,12.180336197212497,18.184758966366548,53.184758966366545,53.184758966366545,0.4765,SfccfF,focal_length
LA4021,49-961,30.0,40.0,11.224406829474322,22.91319926132096,62.913199261320955,62.913199261320955,0.471,SfccfF,focal_length
LA4021,LA4306,30.0,40.1,11.421105325688423,24.92106256319965,65.02106256319965,65.02106256319965,0.4655,SfccfF,focal_length
49-959,LA4306,30.0,40.1,14.261410596974862,21.110362377771448,61.210362377771446,61.210362377771446,0.4595,SfccfF,focal_length
LA4021,36-690,30.0,40.0,11.531994939085337,22.534057744607427,62.53405774460742,62.53405774460742,0.4515,SfccfF,focal_length
49-959,36-690,30.0,40.0,14.284542483523055,20.89662586023419,60.896625860234195,60.896625860234195,0.45,SfccfF,focal_length
LA4021,48-273,30.0,38.0,11.283916752635195,22.289897187636072,60.28989718763607,60.28989718763607,0.4465,SfccfF,focal_length
49-959,49-961,30.0,40.0,13.895787823324527,27.285836398753098,67.2858363987531,67.2858363987531,0.4455,SfccfF,focal_length
49-959,48-273,30.0,38.0,14.100382939030828,20.609978800634632,58.609978800634636,58.609978800634636,0.4445,SfccfF,focal_length
LA4021,36-687,30.0,36.0,10.857488723154459,21.903332611166256,57.903332611166256,57.903332611166256,0.429,SfccfF,focal_length
36-686,36-689,27.0,35.0,12.47468206261803,18.52098301910516,53.52098301910516,53.52098301910516,0.4285,SfccfF,focal_length
36-686,LA4052,27.0,35.1,12.464091653808028,18.464807834306548,53.56480783430655,53.56480783430655,0.4175,SfccfF,focal_length
LA4021,49-960,30.0,35.0,10.795069385212466,21.804619037878055,56.804619037878055,56.804619037878055,0.3835,SfccfF,focal_length
49-959,36-687,30.0,36.0,13.586359848932378,22.996202258751094,58.9962022587511,58.9962022587511,0.383,SfccfF,focal_length
36-689,49-961,35.0,40.0,15.370783693207903,24.371655548007617,64.37165554800762,64.37165554800762,0.378,SfccfF,focal_length
49-959,LA4052,30.0,35.1,13.925999242274418,20.444191076492825,55.54419107649282,55.54419107649282,0.3745,SfccfF,focal_length
