displacement_mm,coupling,coupling_drop
-1.0,0.0678,0.3022
-0.95,0.077,0.293
-0.9,0.0864,0.28359999999999996
-0.85,0.0944,0.2756
-0.8,0.1018,0.2682
-0.75,0.111,0.259
-0.7,0.1192,0.2508
-0.6499999999999999,0.1304,0.2396
-0.6,0.1392,0.2308
-0.55,0.1512,0.2188
-0.5,0.1616,0.2084
-0.44999999999999996,0.171,0.19899999999999998
-0.3999999999999999,0.1816,0.18839999999999998
-0.35,0.1944,0.1756
-0.29999999999999993,0.2104,0.1596
-0.25,0.2236,0.1464
-0.19999999999999996,0.238,0.132
-0.1499999999999999,0.2546,0.1154
-0.09999999999999998,0.2756,0.09439999999999998
-0.04999999999999993,0.302,0.068
0.0,0.37,0.0
0.050000000000000044,0.3684,0.0015999999999999903
0.10000000000000009,0.366,0.0040000000000000036
0.15000000000000013,0.3614,0.008599999999999997
0.20000000000000018,0.3588,0.011199999999999988
0.25,0.354,0.016000000000000014
0.30000000000000004,0.3506,0.019399999999999973
0.3500000000000001,0.3484,0.021600000000000008
0.40000000000000013,0.346,0.02400000000000002
0.4500000000000002,0.3438,0.0262
0.5,0.3408,0.029200000000000004
0.55,0.336,0.033999999999999975
0.6000000000000001,0.3288,0.041200000000000014
0.6500000000000001,0.3204,0.04959999999999998
0.7000000000000002,0.3118,0.058199999999999974
0.75,0.305,0.065
0.8,0.2994,0.0706
0.8500000000000001,0.292,0.07800000000000001
0.9000000000000001,0.2838,0.0862
0.9500000000000002,0.2782,0.09179999999999999
1.0,0.2698,0.10020000000000001
