displacement_mm,coupling,coupling_drop
-1.0,0.0725,0.307
-0.9,0.094,0.2855
-0.8,0.112,0.2675
-0.7,0.1285,0.251
-0.6,0.148,0.2315
-0.5,0.1745,0.20500000000000002
-0.3999999999999999,0.199,0.1805
-0.29999999999999993,0.2215,0.158
-0.19999999999999996,0.2555,0.124
-0.09999999999999998,0.302,0.07750000000000001
0.0,0.3795,0.0
0.10000000000000009,0.371,0.008500000000000008
0.20000000000000018,0.3665,0.013000000000000012
0.30000000000000004,0.36,0.019500000000000017
0.40000000000000013,0.353,0.026500000000000024
0.5,0.346,0.03350000000000003
0.6000000000000001,0.3335,0.045999999999999985
0.7000000000000002,0.3165,0.063
0.8,0.3055,0.07400000000000001
0.9000000000000001,0.2905,0.08900000000000002
1.0,0.2725,0.10699999999999998
