displacement_mm,coupling,coupling_drop
-1.0,0.331,0.03799999999999998
-0.9,0.34,0.02899999999999997
-0.8,0.3475,0.02150000000000002
-0.7,0.3605,0.008500000000000008
-0.6,0.371,-0.0020000000000000018
-0.5,0.371,-0.0020000000000000018
-0.3999999999999999,0.3705,-0.0015000000000000013
-0.29999999999999993,0.37,-0.0010000000000000009
-0.19999999999999996,0.37,-0.0010000000000000009
-0.09999999999999998,0.3695,-0.0005000000000000004
0.0,0.369,0.0
0.10000000000000009,0.3295,0.03949999999999998
0.20000000000000018,0.292,0.07700000000000001
0.30000000000000004,0.2705,0.09849999999999998
0.40000000000000013,0.2565,0.11249999999999999
0.5,0.2375,0.1315
0.6000000000000001,0.223,0.146
0.7000000000000002,0.208,0.161
0.8,0.1985,0.17049999999999998
0.9000000000000001,0.1865,0.1825
1.0,0.1735,0.1955
