lens_pair,lens1,lens2,baseline_coupling,original_coupling,orientation,L1_tolerance_1pct_mm,L1_max_drop,L1_sensitivity_per_mm,L2_tolerance_1pct_mm,L2_max_drop,L2_sensitivity_per_mm,worse_lens,total_len_mm,z_l1_mm,z_l2_mm,z_fiber_mm
36-686+49-961,36-686,49-961,0.5148,0.4975,SfccfF,1.0,0.33480000000000004,0.33480000000000004,1.0,0.16260000000000002,0.16260000000000002,L1,58.74919922807001,12.544253599335104,18.74919922807001,58.74919922807001
36-686+LA4306,36-686,LA4306,0.4902,0.4825,SfccfF,1.0,0.3116,0.3116,1.0,0.14540000000000003,0.14540000000000003,L1,59.05417113610359,12.730096456694335,18.95417113610359,59.05417113610359
36-686+48-273,36-686,48-273,0.4836,0.486,SfccfF,1.0,0.3334,0.3334,1.0,0.1886,0.1886,L1,56.6041271041241,12.593217223840933,18.604127104124107,56.6041271041241
36-686+36-687,36-686,36-687,0.4832,0.483,SfccfF,1.0,0.36920000000000003,0.36920000000000003,1.0,0.20180000000000003,0.20180000000000003,L1,54.345746720254496,12.246410827130047,18.345746720254496,54.345746720254496
36-686+36-690,36-686,36-690,0.4786,0.4845,SfccfF,1.0,0.36760000000000004,0.36760000000000004,1.0,0.19,0.19,L1,74.26159725262667,12.505955435093924,34.26159725262668,74.26159725262667
LA4021+49-961,LA4021,49-961,0.464,0.471,SfccfF,1.0,0.34,0.34,1.0,0.19260000000000005,0.19260000000000005,L1,62.91319926132096,11.224406829474322,22.91319926132096,62.91319926132096
36-686+49-960,36-686,49-960,0.462,0.4765,SfccfF,1.0,0.3618,0.3618,1.0,0.2056,0.2056,L1,53.18475896636655,12.180336197212496,18.184758966366548,53.18475896636655
LA4021+LA4306,LA4021,LA4306,0.4602,0.4655,SfccfF,1.0,0.34099999999999997,0.34099999999999997,0.050000000000000044,0.1926,0.1926,L1,65.02106256319965,11.421105325688425,24.92106256319965,65.02106256319965
LA4021+36-690,LA4021,36-690,0.457,0.4515,SfccfF,1.0,0.328,0.328,1.0,0.18020000000000003,0.18020000000000003,L1,62.53405774460742,11.531994939085337,22.534057744607427,62.53405774460742
49-959+LA4306,49-959,LA4306,0.4546,0.4595,SfccfF,1.0,0.313,0.313,1.0,0.19080000000000003,0.19080000000000003,L1,61.210362377771446,14.261410596974862,21.110362377771448,61.210362377771446
49-959+36-690,49-959,36-690,0.447,0.45,SfccfF,1.0,0.315,0.315,1.0,0.1844,0.1844,L1,60.8966258602342,14.284542483523056,20.89662586023419,60.8966258602342
49-959+49-961,49-959,49-961,0.4464,0.4455,SfccfF,1.0,0.33340000000000003,0.33340000000000003,1.0,0.1824,0.1824,L1,67.2858363987531,13.895787823324529,27.285836398753094,67.2858363987531
