lens_pair,lens1,lens2,baseline_coupling,original_coupling,orientation,L1_tolerance_1pct_mm,L1_max_drop,L1_sensitivity_per_mm,L2_tolerance_1pct_mm,L2_max_drop,L2_sensitivity_per_mm,worse_lens,total_len_mm,z_l1_mm,z_l2_mm,z_fiber_mm
36-686+36-687,36-686,36-687,0.4802,0.4965,SfccfF,1.0,0.3646,0.3646,1.0,0.1934,0.1934,L1,28.354754173169617,12.252119791113124,18.354754173169624,54.35475417316962
36-686+48-273,36-686,48-273,0.4796,0.5045,SfccfF,1.0,0.3344,0.3344,1.0,0.1878,0.1878,L1,30.599961126981547,12.586057664888346,18.599961126981547,56.59996112698155
36-686+49-960,36-686,49-960,0.4602,0.4825,SfccfF,1.0,0.3562,0.3562,1.0,0.2036,0.2036,L1,27.21453681739355,12.187815942812136,18.21453681739355,53.21453681739355
36-686+36-689,36-686,36-689,0.4342,0.442,SfccfF,1.0,0.3359999999999999,0.3359999999999999,1.0,0.2023999999999999,0.2023999999999999,L1,27.768745295750087,12.4736175924333,18.768745295750087,53.76874529575009
36-686+LA4052,36-686,LA4052,0.4328,0.415,SfccfF,1.0,0.3368,0.3368,1.0,0.2064,0.2064,L1,27.579948253492574,12.460786922371495,18.479948253492573,53.579948253492574
LA4021+48-273,LA4021,48-273,0.4288,0.439,SfccfF,1.0,0.3346,0.3346,1.0,0.199,0.199,L1,34.45030089900047,11.280304090322534,22.450300899000467,60.45030089900047
LA4021+36-687,LA4021,36-687,0.4216,0.4165,SfccfF,1.0,0.3389999999999999,0.3389999999999999,1.0,0.205,0.205,L1,32.06569791135018,10.879836367551544,22.065697911350178,58.06569791135018
49-959+48-273,49-959,48-273,0.4156,0.4355,SfccfF,1.0,0.2914,0.2914,1.0,0.166,0.166,L1,32.66205505444293,14.147558120103092,20.662055054442924,58.66205505444293
49-959+36-687,49-959,36-687,0.4094,0.4095,SfccfF,1.0,0.3279999999999999,0.3279999999999999,1.0,0.1929999999999999,0.1929999999999999,L1,30.16813616226048,13.664278416004317,20.16813616226048,56.16813616226048
LA4021+49-960,LA4021,49-960,0.3958,0.3865,SfccfF,1.0,0.3266,0.3266,1.0,0.2103999999999999,0.2103999999999999,L1,30.863989365534522,10.781623679341225,21.86398936553452,56.86398936553452
49-959+49-960,49-959,49-960,0.3906,0.3845,SfccfF,1.0,0.3136,0.3136,1.0,0.1948,0.1948,L1,29.222217472451227,13.579029679827814,20.222217472451227,55.22221747245123
36-686+49-959,36-686,49-959,0.3792,0.378,SfccfF,1.0,0.3461999999999999,0.3461999999999999,1.0,0.2304,0.2304,L1,21.759863135177923,11.731589129818058,17.759863135177916,47.75986313517792
LA4021+LA4052,LA4021,LA4052,0.3714,0.3665,SfccfF,1.0,0.3126,0.3126,1.0,0.1988,0.1988,L1,31.242530866257738,11.140368703331053,22.142530866257736,57.24253086625774
LA4021+36-689,LA4021,36-689,0.3656,0.356,SfccfF,1.0,0.3066,0.3066,1.0,0.1969999999999999,0.1969999999999999,L1,31.192968628340083,11.174496001289585,22.19296862834008,57.19296862834008
49-959+LA4052,49-959,LA4052,0.3652,0.3595,SfccfF,1.0,0.2894,0.2894,1.0,0.1808,0.1808,L1,29.557825937940123,13.95721330806257,20.457825937940115,55.55782593794012
49-959+36-689,49-959,36-689,0.361,0.378,SfccfF,1.0,0.2716,0.2716,1.0,0.1679999999999999,0.1679999999999999,L1,29.56948824964212,14.040423176886472,20.56948824964212,55.56948824964212
