lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
70-891,LA4306,150.0,40.1,27.061971622251903,48.00583870537042,105.02188733481265,105.02188733481265,0.097395,SfccfF,optimized
70-891,LA4052,150.0,35.1,27.021111655775215,48.60849911668606,93.73430730909813,93.73430730909813,0.090085,SfccfF,optimized
70-892,23-816,200.0,39.8,27.006159433404832,46.6082096477343,96.70079554393931,96.70079554393931,0.08428000000000001,SfccfF,optimized
70-892,22-846,200.0,39.8,27.115650126145425,49.16555428962525,98.90459529957259,98.90459529957259,0.07482,SfccfF,optimized
70-892,19-522,200.0,32.0,27.190594782142625,46.828370618664195,89.34291043485142,89.34291043485142,0.07396,SfccfF,optimized
70-892,19-523,200.0,32.0,27.01725104993278,46.44386607226738,89.77513585475218,89.77513585475218,0.067725,SfccfF,optimized
70-891,LA4021,150.0,30.0,27.774338267090812,49.02555439005077,85.27168042738934,85.27168042738934,0.060415,SfccfF,optimized
70-892,21-202,200.0,32.0,27.31279110089673,46.659544659070036,89.94906523370959,89.94906523370959,0.059985000000000004,SfccfF,optimized
70-892,21-203,200.0,32.0,27.03902836517301,46.929841616301616,90.26111126234498,90.26111126234498,0.056975000000000005,SfccfF,optimized
70-891,LA4130,150.0,40.1,27.230192240899072,48.13513112297119,104.66932226947144,104.66932226947144,0.05117,SfccfF,optimized
70-891,LA4936,150.0,30.1,27.032650283094213,47.799357634955086,84.37709126791813,84.37709126791813,0.04902,SfccfF,optimized
70-892,22-845,200.0,29.5,27.3370814998855,46.6551612346106,79.48703469172433,79.48703469172433,0.042570000000000004,SfccfF,optimized
70-892,21-200,200.0,23.5,27.001199740456855,46.55899455152175,76.26140447446542,76.26140447446542,0.0387,SfccfF,optimized
70-892,23-815,200.0,29.5,32.73365993547441,51.98915848356981,81.48915848356981,81.48915848356981,0.03311,SfccfF,focal_length
70-891,LA4148,150.0,50.2,27.25036627365354,48.24015871664872,119.02346598919814,119.02346598919814,0.03311,SfccfF,optimized
