displacement_mm,coupling,coupling_drop
-1.0,0.328,0.3454
-0.95,0.3362,0.3372
-0.9,0.346,0.3274
-0.85,0.3598,0.3136
-0.8,0.3666,0.3068
-0.75,0.3764,0.297
-0.7,0.389,0.2844
-0.6499999999999999,0.401,0.2724
-0.6,0.414,0.2594
-0.55,0.4252,0.24819999999999998
-0.5,0.4362,0.23720000000000002
-0.44999999999999996,0.4502,0.2232
-0.3999999999999999,0.4674,0.20600000000000002
-0.35,0.4824,0.191
-0.29999999999999993,0.497,0.1764
-0.25,0.5102,0.1632
-0.19999999999999996,0.5344,0.139
-0.1499999999999999,0.553,0.12039999999999995
-0.09999999999999998,0.5742,0.09919999999999995
-0.04999999999999993,0.5996,0.07379999999999998
0.0,0.6734,0.0
0.050000000000000044,0.662,0.011399999999999966
0.10000000000000009,0.6542,0.019199999999999995
0.15000000000000013,0.6462,0.027200000000000002
0.20000000000000018,0.6362,0.03720000000000001
0.25,0.6288,0.04459999999999997
0.30000000000000004,0.6182,0.05520000000000003
0.3500000000000001,0.6084,0.06499999999999995
0.40000000000000013,0.6012,0.07220000000000004
0.4500000000000002,0.5912,0.08220000000000005
0.5,0.5826,0.09079999999999999
0.55,0.5708,0.10260000000000002
0.6000000000000001,0.5606,0.11280000000000001
0.6500000000000001,0.5486,0.12480000000000002
0.7000000000000002,0.533,0.14039999999999997
0.75,0.5198,0.15359999999999996
0.8,0.5048,0.16859999999999997
0.8500000000000001,0.4878,0.1856
0.9000000000000001,0.4716,0.20179999999999998
0.9500000000000002,0.4568,0.21660000000000001
1.0,0.444,0.2294
