displacement_mm,coupling,coupling_drop
-1.0,0.302,0.3672
-0.95,0.3182,0.35100000000000003
-0.9,0.3318,0.33740000000000003
-0.85,0.3448,0.3244
-0.8,0.3558,0.3134
-0.75,0.3692,0.30000000000000004
-0.7,0.3844,0.2848
-0.6499999999999999,0.3984,0.27080000000000004
-0.6,0.4162,0.253
-0.55,0.4342,0.23500000000000004
-0.5,0.4466,0.22260000000000002
-0.44999999999999996,0.457,0.2122
-0.3999999999999999,0.4666,0.2026
-0.35,0.4762,0.193
-0.29999999999999993,0.484,0.18520000000000003
-0.25,0.5,0.16920000000000002
-0.19999999999999996,0.516,0.1532
-0.1499999999999999,0.5358,0.13339999999999996
-0.09999999999999998,0.5596,0.10960000000000003
-0.04999999999999993,0.587,0.08220000000000005
0.0,0.6692,0.0
0.050000000000000044,0.6616,0.007600000000000051
0.10000000000000009,0.656,0.01319999999999999
0.15000000000000013,0.6464,0.022800000000000042
0.20000000000000018,0.638,0.031200000000000006
0.25,0.6286,0.04059999999999997
0.30000000000000004,0.62,0.04920000000000002
0.3500000000000001,0.6106,0.058599999999999985
0.40000000000000013,0.6028,0.06640000000000001
0.4500000000000002,0.5956,0.0736
0.5,0.588,0.08120000000000005
0.55,0.579,0.09020000000000006
0.6000000000000001,0.5696,0.09960000000000002
0.6500000000000001,0.5552,0.11399999999999999
0.7000000000000002,0.5428,0.12640000000000007
0.75,0.5292,0.14
0.8,0.5156,0.15360000000000007
0.8500000000000001,0.5014,0.16780000000000006
0.9000000000000001,0.4884,0.18080000000000002
0.9500000000000002,0.4728,0.19640000000000002
1.0,0.4592,0.21000000000000002
