displacement_mm,coupling,coupling_drop
-1.0,0.5476,0.03820000000000001
-0.95,0.549,0.036799999999999944
-0.9,0.551,0.03479999999999994
-0.85,0.5532,0.03259999999999996
-0.8,0.556,0.029799999999999938
-0.75,0.5578,0.028000000000000025
-0.7,0.5606,0.0252
-0.6499999999999999,0.5628,0.02300000000000002
-0.6,0.565,0.02080000000000004
-0.55,0.5672,0.01859999999999995
-0.5,0.5688,0.017000000000000015
-0.44999999999999996,0.572,0.013800000000000034
-0.3999999999999999,0.5752,0.010599999999999943
-0.35,0.5774,0.008399999999999963
-0.29999999999999993,0.5792,0.006599999999999939
-0.25,0.581,0.0048000000000000265
-0.19999999999999996,0.5828,0.0030000000000000027
-0.1499999999999999,0.5844,0.0013999999999999568
-0.09999999999999998,0.586,-0.00019999999999997797
-0.04999999999999993,0.586,-0.00019999999999997797
0.0,0.5858,0.0
0.050000000000000044,0.5856,0.00019999999999997797
0.10000000000000009,0.5856,0.00019999999999997797
0.15000000000000013,0.5854,0.00039999999999995595
0.20000000000000018,0.5486,0.03720000000000001
0.25,0.5306,0.05520000000000003
0.30000000000000004,0.5172,0.0686
0.3500000000000001,0.505,0.08079999999999998
0.40000000000000013,0.494,0.09179999999999999
0.4500000000000002,0.484,0.1018
0.5,0.4736,0.11219999999999997
0.55,0.4642,0.12159999999999999
0.6000000000000001,0.456,0.12979999999999997
0.6500000000000001,0.4488,0.137
0.7000000000000002,0.4396,0.1462
0.75,0.4342,0.1516
0.8,0.427,0.1588
0.8500000000000001,0.4198,0.16599999999999998
0.9000000000000001,0.4136,0.17219999999999996
0.9500000000000002,0.4056,0.18019999999999997
1.0,0.3988,0.187
