lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
48-274,48-670,50.0,60.0,27.022574587724957,33.40118799775627,92.9257812603709,92.9257812603709,0.26527395436701395,SfccfF,optimized
48-274,LA4022,50.0,60.0,27.01077076158292,33.43546640128574,93.17866332488882,93.17866332488882,0.2633622081794515,SfccfF,optimized
48-274,84-283,50.0,60.0,27.04461169935572,33.40921379541143,93.40323300667372,93.40323300667372,0.2589702673296896,SfccfF,optimized
48-274,LA4725,50.0,75.3,28.10607354980057,34.78572778361007,109.78254079784017,109.78254079784017,0.2523307358496263,SfccfF,optimized
48-274,48-275,50.0,75.0,28.05684008804952,34.51077034178577,109.44912660099875,109.44912660099875,0.24261412098046092,SfccfF,optimized
48-274,84-284,50.0,90.0,28.904945859729256,37.102083483396996,126.83050155113797,126.83050155113797,0.22079688015360419,SfccfF,optimized
48-670,LA4022,60.0,60.0,33.59174032069595,38.86680539214272,98.8174532404865,98.8174532404865,0.2165382798635665,SfccfF,optimized
48-670,84-283,60.0,60.0,33.88208265744818,39.129606835587566,98.8066576955752,98.8066576955752,0.21551908684653664,SfccfF,optimized
48-274,LA4148,50.0,50.2,27.119920959374042,33.94105840230527,81.700858257322,81.700858257322,0.20593037138203651,SfccfF,optimized
48-670,LA4725,60.0,75.3,35.1335511657678,40.41276942468383,115.69912535113745,115.69912535113745,0.20400668652900586,SfccfF,optimized
48-670,48-670,60.0,60.0,33.61240954208295,38.852968731523035,98.57478650952488,98.57478650952488,0.2023574076345305,SfccfF,optimized
48-274,48-274,50.0,50.0,27.012507894673373,33.64051205966561,81.41716057708346,81.41716057708346,0.2012919434519652,SfccfF,optimized
48-274,84-282,50.0,50.0,27.02344761362098,33.44940003873232,81.62811561475522,81.62811561475522,0.20099347797781078,SfccfF,optimized
48-670,48-275,60.0,75.0,35.648005228911686,41.549492704373435,114.87824696151897,114.87824696151897,0.19558004096280707,SfccfF,optimized
48-274,49-962,50.0,50.0,27.03230172892333,33.6464426480141,80.7293977788779,80.7293977788779,0.18929377856928414,SfccfF,optimized
36-690,84-284,40.0,90.0,27.087814528694278,35.596329702967935,93.35847364856816,93.35847364856816,0.18473728995780916,SfccfF,optimized
48-670,84-284,60.0,90.0,36.31487971399175,41.51859455343029,131.41084745214576,131.41084745214576,0.1842235951535983,SfccfF,optimized
48-274,49-963,50.0,60.0,27.04839300369772,33.39027436242172,92.48317844341925,92.48317844341925,0.18291625162232514,SfccfF,optimized
36-690,LA4725,40.0,75.3,27.267558263328038,35.36039150864924,84.65609832451372,84.65609832451372,0.18269419682236362,SfccfF,optimized
48-670,48-274,60.0,50.0,32.265394054436555,37.30194278127816,87.1434293456136,87.1434293456136,0.17429630542006408,SfccfF,optimized
48-670,LA4148,60.0,50.2,32.26408499634927,37.35278943876912,87.40227006386807,87.40227006386807,0.17346106757788426,SfccfF,optimized
36-690,84-283,40.0,60.0,27.008636502006198,35.2162105391489,76.89253795659803,76.89253795659803,0.1698494027376021,SfccfF,optimized
48-274,49-964,50.0,80.0,28.562361230386678,35.66182330259039,113.99899181415154,113.99899181415154,0.16557439104705532,SfccfF,optimized
36-690,LA4022,40.0,60.0,27.05985633781023,35.27885393764525,76.54760131451185,76.54760131451185,0.163517747174181,SfccfF,optimized
48-670,84-282,60.0,50.0,32.507407460984425,37.88472362975563,87.74575606426014,87.74575606426014,0.16222802371791636,SfccfF,optimized
48-275,48-670,75.0,60.0,41.68754466751544,46.648449985785405,106.40748608611754,106.40748608611754,0.15133242934395383,SfccfF,optimized
48-670,49-962,60.0,50.0,31.871398972565487,37.324086268380896,87.11059187400888,87.11059187400888,0.1488729816218088,SfccfF,optimized
48-274,36-688,50.0,54.0,27.007466746685417,33.462822044772295,85.19644353857002,85.19644353857002,0.14208794610668793,SfccfF,optimized
48-275,36-689,75.0,35.0,27.01080335426611,33.03461892803709,75.96600880444161,75.96600880444161,0.13140506737843333,SfccfF,optimized
