lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
84-282,LA4022,50.0,60.0,27.00519020129313,34.64671515078385,92.29482281616286,92.29482281616286,0.2692152216695464,SfccfF,optimized
84-282,48-670,50.0,60.0,27.005838656315596,34.51964702976801,91.98312077664474,91.98312077664474,0.2690322203327183,SfccfF,optimized
LA4148,LA4022,50.2,60.0,27.06056131528277,33.37097879770421,93.36073238754886,93.36073238754886,0.26560469022941685,SfccfF,optimized
48-274,48-670,50.0,60.0,27.022574587724957,33.40118799775627,92.9257812603709,92.9257812603709,0.26527395436701395,SfccfF,optimized
48-274,LA4022,50.0,60.0,27.01077076158292,33.43546640128574,93.17866332488882,93.17866332488882,0.2633622081794515,SfccfF,optimized
LA4148,84-283,50.2,60.0,27.188911346449537,33.57560730244222,93.52466786650687,93.52466786650687,0.2628028421824128,SfccfF,optimized
LA4148,48-670,50.2,60.0,27.012123935487647,33.36744046237041,93.3159734448193,93.3159734448193,0.2620532757884289,SfccfF,optimized
84-282,84-283,50.0,60.0,27.039984722154873,34.58812039471631,92.49366276713317,92.49366276713317,0.26175190451681324,SfccfF,optimized
48-274,84-283,50.0,60.0,27.04461169935572,33.40921379541143,93.40323300667372,93.40323300667372,0.2589702673296896,SfccfF,optimized
84-282,48-275,50.0,75.0,27.302842732405345,34.810209267574294,109.80855069211675,109.80855069211675,0.2540288044274386,SfccfF,optimized
48-274,LA4725,50.0,75.3,28.10607354980057,34.78572778361007,109.78254079784017,109.78254079784017,0.2523307358496263,SfccfF,optimized
84-282,LA4725,50.0,75.3,27.312739062185347,35.025745212845734,110.26528653136658,110.26528653136658,0.25085373691057206,SfccfF,optimized
LA4148,48-275,50.2,75.0,28.23358123710086,34.67237098147642,109.42764131907617,109.42764131907617,0.24544128471005577,SfccfF,optimized
LA4148,LA4725,50.2,75.3,28.209374304998356,34.818693744608126,109.97242650039362,109.97242650039362,0.24433715321258948,SfccfF,optimized
48-274,48-275,50.0,75.0,28.05684008804952,34.51077034178577,109.44912660099875,109.44912660099875,0.24261412098046092,SfccfF,optimized
84-282,84-284,50.0,90.0,28.17606446237008,35.85645618802488,125.59245258902622,125.59245258902622,0.22407050653622412,SfccfF,optimized
84-283,LA4022,60.0,60.0,32.642677044870915,39.51136844532786,99.4302266494026,99.4302266494026,0.2225216840474038,SfccfF,optimized
LA4022,LA4725,60.0,75.3,34.760322091428975,40.36195476099253,115.5855946111401,115.5855946111401,0.22209788362292693,SfccfF,optimized
