lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
84-282,48-670,50.0,60.0,27.00059295570891,34.51541120299683,91.99300118182535,91.99300118182535,0.26746868039112837,SfccfF,optimized
48-274,48-670,50.0,60.0,27.000845684596342,33.38052937719431,92.97048110511619,92.97048110511619,0.2660259834247138,SfccfF,optimized
LA4148,84-283,50.2,60.0,27.12527794867464,35.77282535790585,95.77249815991763,95.77249815991763,0.26479870495824837,SfccfF,optimized
LA4148,48-670,50.2,60.0,27.000243917638777,33.3065307792278,93.29464912158237,93.29464912158237,0.2636016441892167,SfccfF,optimized
48-274,84-283,50.0,60.0,27.01672311499558,34.703644054714175,94.70050443048773,94.70050443048773,0.26263120890663394,SfccfF,optimized
48-274,LA4022,50.0,60.0,27.000002517882148,33.34027624129954,93.12112060668778,93.12112060668778,0.26067973374942566,SfccfF,optimized
LA4148,LA4022,50.2,60.0,27.057450690543412,33.373955300929325,93.37277766631732,93.37277766631732,0.2605938288717917,SfccfF,optimized
84-282,84-283,50.0,60.0,27.000511704369256,34.50562617069304,92.51880524806697,92.51880524806697,0.25941783300695975,SfccfF,optimized
84-282,LA4022,50.0,60.0,27.001290974587125,34.58269717861118,92.24371087094397,92.24371087094397,0.2589846027754678,SfccfF,optimized
LA4148,LA4725,50.2,75.3,28.2006320694748,34.50333410501533,109.71634410993947,109.71634410993947,0.2542458862578864,SfccfF,optimized
48-274,LA4725,50.0,75.3,28.016635284879182,36.44059473496445,111.74037261316201,111.74037261316201,0.24779627121549722,SfccfF,optimized
48-274,48-275,50.0,75.0,27.990244490391312,38.442132544232294,113.4344184286899,113.4344184286899,0.24464904335882276,SfccfF,optimized
LA4148,48-275,50.2,75.0,28.177066878035088,34.92297545125631,109.9167606102306,109.9167606102306,0.24454947237943395,SfccfF,optimized
84-282,48-275,50.0,75.0,27.286490852431385,35.97906415678725,110.97846242059242,110.97846242059242,0.24420396537802913,SfccfF,optimized
84-282,LA4725,50.0,75.3,27.020672965757164,54.01033925380767,129.30944321061529,129.30944321061529,0.24200930216679556,SfccfF,optimized
LA4022,84-283,60.0,60.0,33.3383802115468,39.07149699924953,99.06928136135583,99.06928136135583,0.22759288178378811,SfccfF,optimized
48-670,LA4022,60.0,60.0,33.57444979402216,38.68682490802187,98.68603321533286,98.68603321533286,0.22749457168015597,SfccfF,optimized
LA4148,84-284,50.2,90.0,29.023659699127865,35.32885151630148,125.31365835879988,125.31365835879988,0.22528511567508425,SfccfF,optimized
84-282,84-284,50.0,90.0,27.22398514358492,34.729592606905335,131.17254314015054,131.17254314015054,0.21962514519181753,SfccfF,optimized
48-274,84-284,50.0,90.0,28.868287098178797,36.40597897098091,126.4055280365938,126.4055280365938,0.21943463718329548,SfccfF,optimized
LA4022,LA4022,60.0,60.0,33.1676043142887,39.212249045732584,99.2121071951361,99.2121071951361,0.21826515966158572,SfccfF,optimized
48-670,84-283,60.0,60.0,33.730452351002,39.01502107332089,99.01323003555932,99.01323003555932,0.2166062369495512,SfccfF,optimized
