lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
36-681,84-277,22.0,25.0,10.58844534933602,13.484283657219422,38.48428365721942,38.48428365721942,0.22200560943609537
36-682,84-277,20.0,25.0,9.710084101103543,12.564767387954099,37.5647673879541,37.5647673879541,0.22130358212153856
36-681,48-024,22.0,25.0,10.578192111655357,13.635354295821898,38.6353542958219,38.6353542958219,0.21697635726807585
36-681,36-683,22.0,25.0,10.503099826828965,13.32673552822088,38.32673552822088,38.32673552822088,0.2128775095809204
36-681,LA4647,22.0,20.1,9.841603720309834,12.766412776451752,32.86641277645175,32.86641277645175,0.2089143777941945
36-682,48-024,20.0,25.0,9.707881061169127,12.553222130587017,37.55322213058702,37.55322213058702,0.20840043060360836
36-682,LA4021,20.0,30.0,10.38960263995185,13.289522748633622,43.28952274863362,43.28952274863362,0.20688055053954396
36-682,LA4002,20.0,25.0,9.705118805748807,12.526849996186819,37.52684999618682,37.52684999618682,0.2031804755275544
36-682,49-959,20.0,30.0,10.116032183303192,13.10624370026349,43.10624370026349,43.10624370026349,0.1988287849936525
36-681,LA4002,22.0,25.0,10.581376644916206,13.636227768525906,38.636227768525906,38.636227768525906,0.1973514302459111
