lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
36-682,48-024,20.0,25.0,9.736208038572961,12.579783885329768,37.57978388532977,37.57978388532977,0.22711172943632668
36-682,84-277,20.0,25.0,9.770759933055405,12.567303731600937,37.56730373160094,37.56730373160094,0.2248064505559421
36-681,LA4647,22.0,20.1,9.861137716732529,12.762204208187924,32.862204208187926,32.862204208187926,0.21483686618511139
36-681,84-277,22.0,25.0,10.611976664066907,13.446085583905578,38.44608558390558,38.44608558390558,0.21058522248572858
36-681,48-024,22.0,25.0,10.58548360501312,13.459684009222713,38.45968400922271,38.45968400922271,0.21055983415336796
36-682,LA4002,20.0,25.0,9.791099101845111,12.616048197775106,37.61604819777511,37.61604819777511,0.2103045415307521
36-682,49-959,20.0,30.0,10.139016182479587,13.034026388545623,43.03402638854563,43.03402638854563,0.20990490386341218
36-681,LA4002,22.0,25.0,10.668794708018345,13.51472898273553,38.514728982735534,38.514728982735534,0.20567532330560648
36-681,36-683,22.0,25.0,10.524706661081176,13.341414310271052,38.34141431027105,38.34141431027105,0.19867443244602406
36-682,LA4021,20.0,30.0,10.423294565420669,13.333605948194906,43.33360594819491,43.33360594819491,0.18960784662945945
