z_l1,z_l2,z_fiber,coupling,lens1,lens2,f1_mm,f2_mm,total_len_mm
9.7,64.7,94.7,0.24561169054852053,36-682,LA4021,20.0,30.0,94.7
9.7,44.7,74.7,0.2294316054524217,36-682,49-959,20.0,30.0,74.7
9.7,22.2,47.2,0.21778828236831818,36-682,48-024,20.0,25.0,47.2
9.7,38.86666666666667,63.86666666666667,0.21617849407227402,36-681,48-024,22.0,25.0,63.86666666666667
9.7,22.2,47.2,0.21603780977770756,36-682,LA4002,20.0,25.0,47.2
9.7,13.433333333333334,38.43333333333334,0.21344517340265293,36-682,84-277,20.0,25.0,38.43333333333334
9.7,19.75,39.85,0.209076110914551,36-681,LA4647,22.0,20.1,39.85
10.670833333333333,22.2,47.2,0.20400190454418535,36-681,LA4002,22.0,25.0,47.2
10.670833333333333,22.2,47.2,0.1986709197554377,36-681,36-683,22.0,25.0,47.2
10.670833333333333,22.2,47.2,0.1970873011332414,36-681,84-277,22.0,25.0,47.2
