lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
36-681,LA4647,22.0,20.1,9.83414799893267,12.769368763687105,32.869368763687106,32.869368763687106,0.235222186443906
36-682,LA4002,20.0,25.0,9.703220773488308,12.521083597466308,37.52108359746631,37.52108359746631,0.23077756736068114
36-682,48-024,20.0,25.0,9.70980900430874,12.535532727492662,37.535532727492665,37.535532727492665,0.2267113935101845
36-682,84-277,20.0,25.0,9.70054364504032,12.527508795978008,37.52750879597801,37.52750879597801,0.2141901742037672
36-681,84-277,22.0,25.0,10.583781798736268,13.477216055190194,38.4772160551902,38.4772160551902,0.21178486842479832
36-682,LA4021,20.0,30.0,10.42703080456124,13.359536715171963,43.35953671517196,43.35953671517196,0.20329506183143292
36-682,49-959,20.0,30.0,10.16184521836892,13.061929153720737,43.06192915372074,43.06192915372074,0.19854630047989097
36-681,48-024,22.0,25.0,10.570366386633054,13.43177995977145,38.43177995977145,38.43177995977145,0.19648565111926022
36-681,36-683,22.0,25.0,9.700049674143834,9.921731951271994,34.921731951271994,34.921731951271994,0.00952314379288456
36-681,LA4002,22.0,25.0,9.700049674143834,9.921731951271994,34.921731951271994,34.921731951271994,0.004746669543517437
