lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
36-682,84-277,20.0,25.0,9.700459013754553,12.589477690823589,37.589477690823585,37.589477690823585,0.23064117857667787
36-681,LA4002,22.0,25.0,10.590346594616694,13.420209740805506,38.420209740805504,38.420209740805504,0.22710134716963745
36-681,36-683,22.0,25.0,10.494274812995915,13.350316347354529,38.35031634735453,38.35031634735453,0.22523412069173826
36-682,48-024,20.0,25.0,9.706124968130718,12.512412174175045,37.51241217417505,37.51241217417505,0.22189847016005995
36-681,48-024,22.0,25.0,9.866042971123429,32.97808299947875,57.97808299947875,57.97808299947875,0.21828176038066613
36-681,LA4647,22.0,20.1,9.910149744752959,12.832312283183526,32.93231228318353,32.93231228318353,0.21752280624003223
36-682,LA4002,20.0,25.0,9.709996058398465,12.514133913118735,37.514133913118734,37.514133913118734,0.2173305997871145
36-682,49-959,20.0,30.0,10.053808660091825,15.458979481868214,45.45897948186821,45.45897948186821,0.20511992440634935
36-681,84-277,22.0,25.0,10.580490173103744,13.533150580671085,38.533150580671084,38.533150580671084,0.2041184505556676
36-682,LA4021,20.0,30.0,10.389894893811677,13.33640092456629,43.33640092456629,43.33640092456629,0.20153680406164273
