lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
36-682,LA4021,20.0,30.0,9.7,74.7,104.7,104.7,0.273
36-681,LA4002,22.0,25.0,9.7,38.86666666666666,63.86666666666666,63.86666666666666,0.255
36-681,36-683,22.0,25.0,10.494755031162356,13.300981301614534,38.300981301614534,38.300981301614534,0.2535
36-681,LA4647,22.0,20.1,9.823523520807623,12.962692811213415,33.06269281121342,33.06269281121342,0.2505
36-681,84-277,22.0,25.0,9.7,38.86666666666667,63.86666666666667,63.86666666666667,0.25
36-681,LA4647,22.0,20.1,9.839199038148124,12.760445036619156,32.860445036619154,32.860445036619154,0.244
36-681,LA4647,22.0,20.1,9.912676567135021,12.90251419461587,33.00251419461587,33.00251419461587,0.244
36-681,36-683,22.0,25.0,10.506787770997107,13.333406313348767,38.33340631334877,38.33340631334877,0.244
36-682,LA4021,20.0,30.0,10.406540115270738,13.348716651741352,43.348716651741356,43.348716651741356,0.241
36-681,LA4002,22.0,25.0,10.753049249780567,13.60084354803981,38.60084354803981,38.60084354803981,0.2405
36-681,36-683,22.0,25.0,10.513916888414627,13.314753850627612,38.31475385062761,38.31475385062761,0.2395
36-681,LA4647,22.0,20.1,9.7,19.75,39.85,39.85,0.238
36-681,LA4002,22.0,25.0,10.586111232400427,13.457224790223634,38.457224790223634,38.457224790223634,0.2375
36-681,LA4647,22.0,20.1,10.115048033865293,12.996784121821372,33.09678412182137,33.09678412182137,0.233
36-682,LA4021,20.0,30.0,10.413677087335312,13.414285227319125,43.41428522731913,43.41428522731913,0.2325
36-681,84-277,22.0,25.0,10.628594828761868,13.502780037129199,38.5027800371292,38.5027800371292,0.232
36-681,36-683,22.0,25.0,10.670833333333333,13.866666666666664,38.86666666666666,38.86666666666666,0.232
36-681,84-277,22.0,25.0,10.817216545605103,13.68664739655174,38.68664739655174,38.68664739655174,0.229
36-681,84-277,22.0,25.0,10.58892547221188,13.457651197634549,38.45765119763455,38.45765119763455,0.228
36-681,84-277,22.0,25.0,10.580199169454573,13.547717545102262,38.54771754510226,38.54771754510226,0.225
36-682,LA4021,20.0,30.0,10.392292067238301,13.324958531572683,43.32495853157268,43.32495853157268,0.2235
36-681,LA4002,22.0,25.0,10.602303278964678,13.46355111949756,38.46355111949756,38.46355111949756,0.217
36-682,LA4021,20.0,30.0,10.414483365987522,13.24416512441838,43.24416512441838,43.24416512441838,0.2075
36-681,36-683,22.0,25.0,9.700210577090516,9.827261528413235,34.82726152841323,34.82726152841323,0.008
36-681,LA4002,22.0,25.0,9.700049674143834,9.921731951271994,34.921731951271994,34.921731951271994,0.0045
