lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
36-681,LA4647,22.0,20.1,9.839174487584312,12.768085358502901,32.8680853585029,32.8680853585029,0.24164880957852497
36-681,LA4647,22.0,20.1,9.846735332820652,12.763652374099912,32.863652374099914,32.863652374099914,0.22984764765428867
36-681,LA4647,22.0,20.1,9.7,15.6375,35.7375,35.7375,0.22354494984011947
36-681,LA4647,22.0,20.1,9.762276281103558,14.337140645795209,34.43714064579521,34.43714064579521,0.22181703343540032
36-682,LA4021,20.0,30.0,9.7,64.7,94.7,94.7,0.2188216755409268
36-681,36-683,22.0,25.0,10.237354503464987,28.72454550712114,53.724545507121135,53.724545507121135,0.21859272864037335
36-681,84-277,22.0,25.0,9.7,38.86666666666667,63.86666666666667,63.86666666666667,0.214409803029522
36-681,LA4002,22.0,25.0,10.586111232400427,13.419179672032739,38.41917967203274,38.41917967203274,0.2123137800815969
36-681,84-277,22.0,25.0,10.237354503464987,28.72454550712114,53.724545507121135,53.724545507121135,0.21152113444680717
36-681,84-277,22.0,25.0,10.632114231807078,13.51547596729759,38.51547596729759,38.51547596729759,0.21040862092043713
36-681,LA4002,22.0,25.0,10.237354503464987,28.72454550712114,53.724545507121135,53.724545507121135,0.2098518198240394
36-681,LA4002,22.0,25.0,10.586264896486668,13.526341671339175,38.526341671339175,38.526341671339175,0.20898095399466454
36-681,LA4002,22.0,25.0,10.635508977832934,13.466587341436853,38.46658734143685,38.46658734143685,0.20849198522005188
36-681,36-683,22.0,25.0,10.801515772612873,13.61782525311607,38.61782525311607,38.61782525311607,0.20599038594966373
36-681,84-277,22.0,25.0,10.598648871769488,13.494145226915638,38.494145226915634,38.494145226915634,0.20332807268011413
36-682,LA4021,20.0,30.0,10.389324746890935,13.349991181160556,43.349991181160554,43.349991181160554,0.19891789353633005
36-681,36-683,22.0,25.0,10.504824290628733,13.327659694834962,38.32765969483496,38.32765969483496,0.19831108819603221
36-681,84-277,22.0,25.0,10.615375766565364,13.510616806207148,38.510616806207146,38.510616806207146,0.19758449810512724
36-681,LA4647,22.0,20.1,9.992478069643653,12.930474015844796,33.030474015844796,33.030474015844796,0.1965629553177152
36-682,LA4021,20.0,30.0,10.70885530803353,13.558278539217973,43.55827853921797,43.55827853921797,0.19611041138731128
36-681,36-683,22.0,25.0,10.49509655602839,13.295086549920931,38.29508654992093,38.29508654992093,0.19464548376219112
36-681,LA4002,22.0,25.0,10.670833333333333,22.2,47.2,47.2,0.194493859922828
36-681,84-277,22.0,25.0,10.608352658533656,13.499711709488277,38.49971170948828,38.49971170948828,0.194406176083876
36-682,LA4021,20.0,30.0,10.40203961378824,13.247044371936383,43.24704437193638,43.24704437193638,0.19365934120871606
36-682,LA4021,20.0,30.0,10.436982469478915,13.349393128092824,43.34939312809283,43.34939312809283,0.1874017532666931
36-681,LA4647,22.0,20.1,10.07201367673099,17.784862171687593,37.884862171687594,37.884862171687594,0.18722327023549154
36-681,36-683,22.0,25.0,10.670833333333333,22.2,47.2,47.2,0.17448565207560468
36-682,LA4021,20.0,30.0,10.218445267872495,20.28003666864356,50.28003666864356,50.28003666864356,0.16248466677193296
36-681,36-683,22.0,25.0,9.740161355766176,9.840839669005028,34.84083966900503,34.84083966900503,0.009049457057589153
36-681,LA4002,22.0,25.0,9.700049674143834,9.921731951271994,34.921731951271994,34.921731951271994,0.0033227431921225657
