lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
LA4647,84-277,20.1,25.0,9.700410689592053,13.983653558251504,38.983653558251504,38.983653558251504,0.251
36-681,36-681,22.0,22.0,10.089670936655262,12.92807676092162,34.92807676092162,34.92807676092162,0.248
84-277,LA4002,25.0,25.0,12.138466820924613,16.160442894745074,41.160442894745074,41.160442894745074,0.2475
36-682,48-024,20.0,25.0,9.702365094240054,12.56618509900482,37.56618509900482,37.56618509900482,0.2435
LA4002,LA4002,25.0,25.0,12.226906740431366,15.841577801203748,40.84157780120375,40.84157780120375,0.24
LA4002,84-277,25.0,25.0,12.186969805798133,15.735034542392327,40.73503454239233,40.73503454239233,0.2385
LA4647,48-024,20.1,25.0,9.70341254669707,13.832481848306315,38.832481848306315,38.832481848306315,0.2365
LA4002,48-024,25.0,25.0,12.162797100417656,15.755463451957787,40.75546345195779,40.75546345195779,0.2335
LA4002,LA4936,25.0,30.1,12.8395909063394,16.341259659513568,46.44125965951357,46.44125965951357,0.231
36-682,45-695,20.0,27.0,9.700203256223261,12.684686022892123,39.68468602289212,39.68468602289212,0.229
