lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
LA4002,84-277,25.0,25.0,11.965493229602739,21.29555874255373,46.29555874255373,46.29555874255373,0.2555
36-682,48-024,20.0,25.0,9.735873087210805,12.584077935294953,37.58407793529496,37.58407793529496,0.253
LA4647,48-024,20.1,25.0,9.704497887634854,13.795707096755986,38.79570709675599,38.79570709675599,0.2515
LA4002,48-024,25.0,25.0,12.268508607010784,15.845384344535638,40.84538434453564,40.84538434453564,0.2515
36-682,45-695,20.0,27.0,9.760237116440692,12.522021917590981,39.52202191759098,39.52202191759098,0.249
LA4002,LA4002,25.0,25.0,12.179988741752553,17.11919616699044,42.11919616699044,42.11919616699044,0.243
LA4647,84-277,20.1,25.0,9.700570885243177,14.238485631280874,39.238485631280874,39.238485631280874,0.2395
84-277,LA4002,25.0,25.0,12.123461256132117,16.15475678158326,41.15475678158326,41.15475678158326,0.237
36-681,36-681,22.0,22.0,10.080505511627333,12.915904643164215,34.91590464316421,34.91590464316421,0.234
LA4002,LA4936,25.0,30.1,12.749644556911111,18.78464509904681,48.88464509904681,48.88464509904681,0.233
