lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
LA4002,48-024,25.0,25.0,12.166264768989969,15.722850331416844,40.72285033141684,40.72285033141684,0.254
36-682,48-024,20.0,25.0,9.707182309738663,12.55508325724106,37.55508325724106,37.55508325724106,0.252
36-681,36-681,22.0,22.0,10.078879114186847,12.893368998228615,34.89336899822862,34.89336899822862,0.248
LA4002,84-277,25.0,25.0,12.184242781869028,15.774762354751964,40.774762354751964,40.774762354751964,0.2465
LA4647,84-277,20.1,25.0,9.700406449575281,13.860636911105702,38.8606369111057,38.8606369111057,0.246
84-277,LA4002,25.0,25.0,12.114008470999496,16.43186960225222,41.43186960225222,41.43186960225222,0.243
36-682,45-695,20.0,27.0,9.701552938284433,12.470880229513302,39.4708802295133,39.4708802295133,0.2355
LA4002,LA4002,25.0,25.0,12.210505583746194,15.825941766544915,40.825941766544915,40.825941766544915,0.2295
LA4647,48-024,20.1,25.0,9.70726866778415,13.939473302221272,38.93947330222127,38.93947330222127,0.2265
LA4002,LA4936,25.0,30.1,12.804636937378877,16.765102047866705,46.865102047866706,46.865102047866706,0.2235
