lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
LA4647,84-277,20.1,25.0,9.7,18.356898731395738,43.35689873139574,43.35689873139574,0.2575
36-681,36-683,22.0,25.0,10.237354503464987,28.72454550712114,53.724545507121135,53.724545507121135,0.249
LA4647,48-024,20.1,25.0,9.7,18.356884373781128,43.35688437378113,43.35688437378113,0.2485
LA4647,LA4936,20.1,30.1,9.97859616075182,18.43631991780215,48.53631991780215,48.53631991780215,0.2475
36-682,48-024,20.0,25.0,9.7,21.372160450407986,46.37216045040799,46.37216045040799,0.247
36-682,LA4002,20.0,25.0,9.7,21.372160630504403,46.3721606305044,46.3721606305044,0.246
LA4002,48-025,25.0,30.0,12.218858880012418,36.357728194789594,66.35772819478959,66.35772819478959,0.246
36-682,48-025,20.0,30.0,9.97655397625097,18.38925818389294,48.38925818389294,48.38925818389294,0.2455
36-682,84-277,20.0,25.0,9.7,21.3721594590522,46.3721594590522,46.3721594590522,0.2375
36-682,LA4936,20.0,30.1,9.976552432824759,18.4010217443099,48.5010217443099,48.5010217443099,0.2375
36-681,36-681,22.0,22.0,10.07201367673099,18.004211306028637,40.00421130602864,40.00421130602864,0.234
36-681,LA4002,22.0,25.0,10.237354503464987,28.72454550712114,53.724545507121135,53.724545507121135,0.2325
LA4647,LA4002,20.1,25.0,9.7,18.356898896679432,43.35689889667943,43.35689889667943,0.229
LA4647,36-683,20.1,25.0,9.7,18.35689872207061,43.35689872207061,43.35689872207061,0.225
36-681,36-682,22.0,20.0,9.7,18.44486289485303,38.44486289485303,38.44486289485303,0.222
36-686,LA4003,27.0,35.0,14.100297991995777,41.31246900695517,76.31246900695517,76.31246900695517,0.2205
84-277,84-277,25.0,25.0,12.218858880012418,34.811763171456874,59.811763171456874,59.811763171456874,0.2165
LA4002,84-277,25.0,25.0,12.218858880012418,34.811763171456874,59.811763171456874,59.811763171456874,0.212
48-024,LA4002,25.0,25.0,12.218858880012418,34.811763171456874,59.811763171456874,59.811763171456874,0.212
LA4002,48-024,25.0,25.0,12.218858880012418,34.811763171456874,59.811763171456874,59.811763171456874,0.2115
LA4021,84-278,30.0,30.0,14.74319867264451,42.61424595285288,72.61424595285288,72.61424595285288,0.201
36-686,84-278,27.0,30.0,14.100297991995777,39.68524782458304,69.68524782458303,69.68524782458303,0.1995
36-683,48-024,25.0,25.0,12.218858880012418,34.811763171456874,59.811763171456874,59.811763171456874,0.1955
84-277,48-024,25.0,25.0,12.218858880012418,34.811763171456874,59.811763171456874,59.811763171456874,0.1935
84-277,LA4002,25.0,25.0,12.218858880012418,34.811763171456874,59.811763171456874,59.811763171456874,0.192
48-025,48-025,30.0,30.0,14.74319867264451,42.61424595285288,72.61424595285288,72.61424595285288,0.1815
