lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
36-682,48-024,20.0,25.0,9.7,22.2,47.2,47.2,0.276
LA4647,84-277,20.1,25.0,9.7,22.2,47.2,47.2,0.272
LA4647,LA4936,20.1,30.1,9.7,34.78333333333333,64.88333333333333,64.88333333333333,0.27
LA4647,LA4002,20.1,25.0,9.7,22.2,47.2,47.2,0.268
36-682,LA4002,20.0,25.0,9.742535123703087,13.243140973450508,38.24314097345051,38.24314097345051,0.2665
84-277,84-277,25.0,25.0,12.104760410191616,16.854994045588043,41.85499404558804,41.85499404558804,0.262
36-682,LA4936,20.0,30.1,9.7,29.766666666666662,59.86666666666666,59.86666666666666,0.262
36-681,36-682,22.0,20.0,9.700373994408292,13.417262103922607,33.41726210392261,33.41726210392261,0.261
36-681,36-681,22.0,22.0,10.064891536287968,13.603159466507677,35.60315946650768,35.60315946650768,0.261
36-682,48-024,20.0,25.0,9.701503372192413,21.132730579376215,46.132730579376215,46.132730579376215,0.26
LA4647,36-683,20.1,25.0,9.7,22.2,47.2,47.2,0.26
84-277,LA4002,25.0,25.0,12.10168933140212,16.85420548691191,41.85420548691191,41.85420548691191,0.259
36-681,36-681,22.0,22.0,10.067659377801519,13.587078983173045,35.58707898317304,35.58707898317304,0.2575
LA4647,84-277,20.1,25.0,9.714313724426246,14.559459374080607,39.5594593740806,39.5594593740806,0.2575
48-024,LA4002,25.0,25.0,12.155549732673945,16.577305368663342,41.577305368663346,41.577305368663346,0.2575
LA4647,84-277,20.1,25.0,9.7,18.356898731395738,43.35689873139574,43.35689873139574,0.2575
LA4647,36-683,20.1,25.0,9.701572593296518,14.506336816630265,39.50633681663027,39.50633681663027,0.257
48-024,LA4002,25.0,25.0,12.052485730337139,18.115173368570748,43.11517336857075,43.11517336857075,0.257
48-024,LA4002,25.0,25.0,12.119003736011578,16.543967605068204,41.543967605068204,41.543967605068204,0.2565
LA4002,48-024,25.0,25.0,12.143517776227625,16.343552653627825,41.343552653627825,41.343552653627825,0.256
36-682,48-025,20.0,30.0,9.7,34.7,64.7,64.7,0.256
36-686,LA4003,27.0,35.0,13.103268929762558,57.609882883023204,92.6098828830232,92.6098828830232,0.2555
84-277,84-277,25.0,25.0,12.088442992109927,17.051764075745382,42.05176407574538,42.05176407574538,0.254
36-682,84-277,20.0,25.0,9.7,22.2,47.2,47.2,0.254
LA4647,LA4002,20.1,25.0,9.700369209380462,14.510365384611184,39.510365384611184,39.510365384611184,0.2535
LA4647,84-277,20.1,25.0,9.723446845342107,14.523464597824105,39.5234645978241,39.5234645978241,0.2535
84-277,84-277,25.0,25.0,12.131061429943502,17.014950474720266,42.014950474720266,42.014950474720266,0.253
36-682,LA4002,20.0,25.0,9.710591451966655,13.27458431465844,38.27458431465844,38.27458431465844,0.2515
LA4002,48-024,25.0,25.0,12.165724736869748,16.365755739961596,41.3657557399616,41.3657557399616,0.251
36-682,48-025,20.0,30.0,9.961553002372927,14.1314520588756,44.1314520588756,44.1314520588756,0.251
LA4647,84-277,20.1,25.0,9.701933262149662,14.505493965360827,39.50549396536083,39.50549396536083,0.2505
36-682,LA4002,20.0,25.0,9.7,13.433333333333334,38.43333333333334,38.43333333333334,0.25
LA4647,LA4002,20.1,25.0,9.732430090106295,14.534410108050329,39.53441010805033,39.53441010805033,0.25
48-024,LA4002,25.0,25.0,12.12853242946403,16.54929296591945,41.54929296591945,41.54929296591945,0.25
LA4647,48-024,20.1,25.0,9.7,22.2,47.2,47.2,0.25
36-682,84-277,20.0,25.0,9.712595309624199,13.212680515046996,38.212680515047,38.212680515047,0.2495
LA4647,LA4002,20.1,25.0,9.71587249919946,14.51610706232534,39.51610706232534,39.51610706232534,0.2495
36-681,36-683,22.0,25.0,10.504889024973636,14.664086982011312,39.66408698201131,39.66408698201131,0.2495
36-681,LA4002,22.0,25.0,10.588819640391414,14.088876813986245,39.088876813986246,39.088876813986246,0.249
LA4647,48-024,20.1,25.0,9.707156004464128,14.507305135401644,39.507305135401644,39.507305135401644,0.249
LA4002,48-024,25.0,25.0,12.15119298040054,16.40611333201781,41.40611333201781,41.40611333201781,0.249
36-681,36-683,22.0,25.0,10.237354503464987,28.72454550712114,53.724545507121135,53.724545507121135,0.249
LA4647,48-024,20.1,25.0,9.7,18.356884373781128,43.35688437378113,43.35688437378113,0.2485
36-682,84-277,20.0,25.0,9.727470942202375,13.228130464980849,38.22813046498085,38.22813046498085,0.248
LA4647,48-024,20.1,25.0,9.711569549469985,14.51570373019458,39.51570373019458,39.51570373019458,0.2475
36-683,48-024,25.0,25.0,12.114381238893657,15.622794387372778,40.62279438737278,40.62279438737278,0.2475
84-277,84-277,25.0,25.0,11.912186079434036,21.696009312169053,46.69600931216905,46.69600931216905,0.2475
LA4647,LA4936,20.1,30.1,9.97859616075182,18.43631991780215,48.53631991780215,48.53631991780215,0.2475
84-277,48-024,25.0,25.0,12.167975309851915,16.918049803492316,41.918049803492316,41.918049803492316,0.247
36-682,48-024,20.0,25.0,9.7,21.372160450407986,46.37216045040799,46.37216045040799,0.247
84-277,LA4002,25.0,25.0,12.110417997919404,17.241516230621677,42.24151623062168,42.24151623062168,0.2465
36-682,LA4002,20.0,25.0,9.7,21.372160630504403,46.3721606305044,46.3721606305044,0.246
LA4002,48-025,25.0,30.0,12.218858880012418,36.357728194789594,66.35772819478959,66.35772819478959,0.246
36-682,48-024,20.0,25.0,9.71865037126676,13.225696084981095,38.225696084981095,38.225696084981095,0.2455
36-682,48-025,20.0,30.0,9.97655397625097,18.38925818389294,48.38925818389294,48.38925818389294,0.2455
LA4647,36-683,20.1,25.0,9.755782603675152,14.856377900127661,39.85637790012766,39.85637790012766,0.245
36-682,LA4002,20.0,25.0,9.741891641109927,13.620056672205012,38.62005667220501,38.62005667220501,0.2445
LA4002,48-025,25.0,30.0,12.794367880617822,17.011904102724476,47.01190410272447,47.01190410272447,0.244
36-686,LA4003,27.0,35.0,13.55,49.93333333333332,84.93333333333332,84.93333333333332,0.244
36-681,36-681,22.0,22.0,10.091368961434025,13.591480542616079,35.59148054261608,35.59148054261608,0.243
36-682,84-277,20.0,25.0,9.717157166430907,13.466272557862403,38.4662725578624,38.4662725578624,0.243
LA4647,84-277,20.1,25.0,9.700097511536859,14.604663773888802,39.6046637738888,39.6046637738888,0.243
48-025,48-025,30.0,30.0,15.384419810771984,19.532432913780212,49.53243291378021,49.53243291378021,0.243
LA4647,36-683,20.1,25.0,9.711199461957708,14.511230375420835,39.51123037542084,39.51123037542084,0.2425
LA4647,48-024,20.1,25.0,9.71401219350096,14.515167785022655,39.515167785022655,39.515167785022655,0.242
36-686,84-278,27.0,30.0,13.6675574441472,23.184067464041654,53.184067464041654,53.184067464041654,0.2415
36-681,36-683,22.0,25.0,10.494722072277135,14.11323032477866,39.11323032477866,39.11323032477866,0.241
