z_l1,z_l2,z_fiber,coupling,lens1,lens2,f1_mm,f2_mm,total_len_mm
9.7,22.2,47.2,0.276,36-682,48-024,20.0,25.0,47.2
9.7,22.2,47.2,0.272,LA4647,84-277,20.1,25.0,47.2
9.7,34.78333333333333,64.88333333333333,0.27,LA4647,LA4936,20.1,30.1,64.88333333333333
9.7,22.2,47.2,0.268,LA4647,LA4002,20.1,25.0,47.2
9.7,29.766666666666662,59.86666666666666,0.262,36-682,LA4936,20.0,30.1,59.86666666666666
9.7,22.2,47.2,0.26,LA4647,36-683,20.1,25.0,47.2
9.7,34.7,64.7,0.256,36-682,48-025,20.0,30.0,64.7
9.7,22.2,47.2,0.254,36-682,84-277,20.0,25.0,47.2
9.7,13.433333333333334,38.43333333333334,0.25,36-682,LA4002,20.0,25.0,38.43333333333334
9.7,22.2,47.2,0.25,LA4647,48-024,20.1,25.0,47.2
13.55,49.93333333333332,84.93333333333332,0.244,36-686,LA4003,27.0,35.0,84.93333333333332
9.7,38.86666666666666,63.86666666666666,0.241,36-681,LA4002,22.0,25.0,63.86666666666666
10.670833333333333,16.191666666666666,38.19166666666666,0.236,36-681,36-681,22.0,22.0,38.19166666666666
10.670833333333333,22.2,47.2,0.235,36-681,36-683,22.0,25.0,47.2
11.4375,35.166666666666664,60.166666666666664,0.234,84-277,84-277,25.0,25.0,60.166666666666664
11.4375,31.0,56.0,0.224,84-277,48-024,25.0,25.0,56.0
11.4375,31.0,56.0,0.223,36-683,48-024,25.0,25.0,56.0
13.55,29.833333333333332,59.83333333333333,0.22,36-686,84-278,27.0,30.0,59.83333333333333
11.4375,35.166666666666664,60.166666666666664,0.216,LA4002,48-024,25.0,25.0,60.166666666666664
11.4375,35.166666666666664,60.166666666666664,0.215,48-024,LA4002,25.0,25.0,60.166666666666664
9.7,15.608333333333333,35.608333333333334,0.214,36-681,36-682,22.0,20.0,35.608333333333334
15.583333333333332,30.583333333333332,60.58333333333333,0.212,48-025,48-025,30.0,30.0,60.58333333333333
11.4375,35.166666666666664,60.166666666666664,0.198,LA4002,84-277,25.0,25.0,60.166666666666664
11.4375,35.166666666666664,60.166666666666664,0.196,84-277,LA4002,25.0,25.0,60.166666666666664
13.175,19.68333333333333,49.68333333333333,0.19,LA4002,48-025,25.0,30.0,49.68333333333333
15.583333333333332,30.583333333333332,60.58333333333333,0.178,LA4021,84-278,30.0,30.0,60.58333333333333
