lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
36-682,LA4002,20.0,25.0,9.742535123703087,13.243140973450508,38.24314097345051,38.24314097345051,0.2665
36-682,48-024,20.0,25.0,9.701503372192413,21.132730579376215,46.132730579376215,46.132730579376215,0.26
84-277,LA4002,25.0,25.0,12.10168933140212,16.85420548691191,41.85420548691191,41.85420548691191,0.259
LA4647,36-683,20.1,25.0,9.701572593296518,14.506336816630265,39.50633681663027,39.50633681663027,0.257
LA4002,48-024,25.0,25.0,12.143517776227625,16.343552653627825,41.343552653627825,41.343552653627825,0.256
LA4647,LA4002,20.1,25.0,9.700369209380462,14.510365384611184,39.510365384611184,39.510365384611184,0.2535
36-682,48-025,20.0,30.0,9.961553002372927,14.1314520588756,44.1314520588756,44.1314520588756,0.251
LA4647,84-277,20.1,25.0,9.701933262149662,14.505493965360827,39.50549396536083,39.50549396536083,0.2505
48-024,LA4002,25.0,25.0,12.12853242946403,16.54929296591945,41.54929296591945,41.54929296591945,0.25
36-683,48-024,25.0,25.0,12.114381238893657,15.622794387372778,40.62279438737278,40.62279438737278,0.2475
84-277,84-277,25.0,25.0,11.912186079434036,21.696009312169053,46.69600931216905,46.69600931216905,0.2475
LA4002,48-025,25.0,30.0,12.794367880617822,17.011904102724476,47.01190410272447,47.01190410272447,0.244
36-681,36-681,22.0,22.0,10.091368961434025,13.591480542616079,35.59148054261608,35.59148054261608,0.243
48-025,48-025,30.0,30.0,15.384419810771984,19.532432913780212,49.53243291378021,49.53243291378021,0.243
LA4647,48-024,20.1,25.0,9.71401219350096,14.515167785022655,39.515167785022655,39.515167785022655,0.242
36-681,36-683,22.0,25.0,10.494722072277135,14.11323032477866,39.11323032477866,39.11323032477866,0.241
36-681,36-682,22.0,20.0,9.704001767090503,13.20993861708779,33.209938617087786,33.209938617087786,0.2355
LA4647,LA4936,20.1,30.1,10.03982140428368,14.940320515831367,45.04032051583137,45.04032051583137,0.2325
LA4002,84-277,25.0,25.0,12.163835844295441,16.364666111351298,41.3646661113513,41.3646661113513,0.232
LA4021,84-278,30.0,30.0,15.200919868284945,27.552580547053367,57.55258054705337,57.55258054705337,0.231
36-681,LA4002,22.0,25.0,10.5841886380245,14.172678750544376,39.17267875054438,39.17267875054438,0.2305
36-682,84-277,20.0,25.0,9.770973589328397,13.271770719841118,38.271770719841115,38.271770719841115,0.2275
36-686,84-278,27.0,30.0,13.75434124852914,20.43164333335941,50.43164333335941,50.43164333335941,0.2255
36-682,LA4936,20.0,30.1,9.969064703764145,13.870194691243741,43.97019469124374,43.97019469124374,0.2245
84-277,48-024,25.0,25.0,12.083279615356041,16.83758762303289,41.83758762303289,41.83758762303289,0.223
36-686,LA4003,27.0,35.0,14.298539677603703,21.189316086675635,56.18931608667563,56.18931608667563,0.2015
