lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
LA4647,LA4002,20.1,25.0,9.7,18.35689902383304,43.35689902383304,43.35689902383304,0.22611924393659516
LA4647,84-277,20.1,25.0,9.7,18.35689876353262,43.35689876353262,43.35689876353262,0.2260987784869182
36-681,LA4002,22.0,25.0,10.237354503464987,28.72454550712114,53.724545507121135,53.724545507121135,0.22550960305209883
LA4647,36-681,20.1,22.0,9.7,17.979846530319442,39.97984653031944,39.97984653031944,0.2235933664732051
36-681,36-682,22.0,20.0,9.7,18.444877332145545,38.444877332145545,38.444877332145545,0.21724667257512953
LA4647,36-683,20.1,25.0,9.7,18.356893472110205,43.3568934721102,43.3568934721102,0.21280335740960898
36-681,48-024,22.0,25.0,10.237354503464987,28.72454550712114,53.724545507121135,53.724545507121135,0.20864309289720465
36-682,36-681,20.0,22.0,9.7,17.942135976456814,39.94213597645681,39.94213597645681,0.2069121222052078
36-682,36-683,20.0,25.0,9.976553798579047,17.80094804275487,42.80094804275487,42.80094804275487,0.20671672584497747
36-682,LA4002,20.0,25.0,9.976552568079606,17.800946597842774,42.800946597842774,42.800946597842774,0.20469316364685092
LA4647,48-024,20.1,25.0,9.7,18.356884471811142,43.35688447181114,43.35688447181114,0.2024950748277057
36-681,LA4647,22.0,20.1,9.7,18.45744500970708,38.55744500970708,38.55744500970708,0.2015003699697822
LA4647,LA4936,20.1,30.1,9.978596073396707,18.436319656274485,48.536319656274486,48.536319656274486,0.19683842654209865
36-681,84-277,22.0,25.0,10.237354503464987,28.72454550712114,53.724545507121135,53.724545507121135,0.19460553974220154
36-682,48-024,20.0,25.0,9.9765524879186,17.80094684469727,42.800946844697265,42.800946844697265,0.19377340450889624
36-682,LA4936,20.0,30.1,9.97655263111506,18.401021418650693,48.501021418650694,48.501021418650694,0.18752354657469636
84-277,48-024,25.0,25.0,12.218858880012418,34.811763171456874,59.811763171456874,59.811763171456874,0.17063655728470004
48-024,48-024,25.0,25.0,12.218858880012418,34.811763171456874,59.811763171456874,59.811763171456874,0.16776559544324246
LA4002,48-024,25.0,25.0,12.218858880012418,34.811763171456874,59.811763171456874,59.811763171456874,0.16689609599911173
84-277,LA4002,25.0,25.0,12.218858880012418,34.811763171456874,59.811763171456874,59.811763171456874,0.16436628993185853
LA4002,LA4002,25.0,25.0,12.218858880012418,34.811763171456874,59.811763171456874,59.811763171456874,0.16436302985664014
48-024,LA4002,25.0,25.0,12.218858880012418,34.811763171456874,59.811763171456874,59.811763171456874,0.16274732645226664
