lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
LA4647,LA4002,20.1,25.0,9.764122864333563,14.566095564384206,39.566095564384206,39.566095564384206,0.2240570763167995
36-681,36-682,22.0,20.0,9.700200422049031,13.20234795752954,33.20234795752954,33.20234795752954,0.22325875520786764
36-681,84-277,22.0,25.0,10.589434330686405,14.277547529012487,39.27754752901249,39.27754752901249,0.22134783782930154
LA4647,48-024,20.1,25.0,9.700909417775476,14.56169765902434,39.56169765902434,39.56169765902434,0.22012284950382324
LA4647,36-681,20.1,22.0,9.739749015252393,14.591621239399686,36.591621239399686,36.591621239399686,0.2175795434713822
48-024,LA4002,25.0,25.0,12.115685516224673,16.55497823427907,41.55497823427907,41.55497823427907,0.217256250158694
36-682,LA4002,20.0,25.0,9.767557191236444,13.423053053659714,38.423053053659714,38.423053053659714,0.2169672886943898
48-024,48-024,25.0,25.0,12.109849396925792,16.646844517215676,41.646844517215676,41.646844517215676,0.21371404641124478
84-277,LA4002,25.0,25.0,12.12193510595802,16.897572277816636,41.897572277816636,41.897572277816636,0.21341716381340178
36-682,36-683,20.0,25.0,9.706673894645625,13.717891621236802,38.7178916212368,38.7178916212368,0.21171747899201773
LA4002,LA4002,25.0,25.0,12.274033067552304,16.825994143240592,41.82599414324059,41.82599414324059,0.20995660317406756
36-682,48-024,20.0,25.0,9.701605342030787,13.287362193793037,38.28736219379304,38.28736219379304,0.20957247881180346
LA4647,36-683,20.1,25.0,9.75375948133144,14.621049897218938,39.62104989721894,39.62104989721894,0.20831002112993943
LA4647,84-277,20.1,25.0,9.725837904829252,14.560440247528241,39.56044024752824,39.56044024752824,0.20721252452716807
36-682,36-681,20.0,22.0,9.713646765071594,13.284119554241634,35.284119554241634,35.284119554241634,0.2069426278609966
84-277,48-024,25.0,25.0,12.079644552256207,17.112595622859274,42.112595622859274,42.112595622859274,0.206294080946009
36-681,48-024,22.0,25.0,10.602697043484877,14.414129393939348,39.41412939393935,39.41412939393935,0.20222885821554962
LA4002,48-024,25.0,25.0,12.13475423194276,16.503612187721693,41.50361218772169,41.50361218772169,0.20142176525708777
36-681,LA4647,22.0,20.1,10.054798194589289,14.432030971908205,34.532030971908206,34.532030971908206,0.1947037256548847
36-681,LA4002,22.0,25.0,10.657587780054294,14.40895501256093,39.40895501256093,39.40895501256093,0.19287620611357717
LA4647,LA4936,20.1,30.1,10.005910424606832,15.001916057864811,45.10191605786481,45.10191605786481,0.18948273065305105
36-682,LA4936,20.0,30.1,9.979345195484372,13.705377998722547,43.80537799872255,43.80537799872255,0.18911131973280926
