lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
36-681,36-682,22.0,20.0,9.71263162853223,13.212676203579605,33.212676203579605,33.212676203579605,0.23364929532400433
36-682,36-683,20.0,25.0,9.723173315727207,14.741776493526915,39.74177649352691,39.74177649352691,0.22914210279398525
LA4647,36-681,20.1,22.0,9.708729734869477,14.509432757352277,36.50943275735228,36.50943275735228,0.22570485301632137
LA4647,36-683,20.1,25.0,9.7279115134492,14.52793630607415,39.52793630607415,39.52793630607415,0.22478065858473473
LA4002,LA4002,25.0,25.0,12.159218336720315,16.359262735631233,41.35926273563123,41.35926273563123,0.22395784450087622
36-681,84-277,22.0,25.0,10.580605400967901,14.22834775911412,39.22834775911412,39.22834775911412,0.22050314334097298
LA4647,48-024,20.1,25.0,9.72870879363514,14.528896756973651,39.52889675697365,39.52889675697365,0.2197005797785892
36-682,LA4002,20.0,25.0,9.786811265653073,13.286840666785663,38.286840666785665,38.286840666785665,0.21884661763750057
36-682,36-681,20.0,22.0,9.710477815694036,13.210779693002166,35.210779693002166,35.210779693002166,0.2164235765946578
84-277,LA4002,25.0,25.0,12.285335067305502,17.03543627000653,42.03543627000653,42.03543627000653,0.2163958408586974
84-277,48-024,25.0,25.0,12.214958773011887,17.05672261143813,42.05672261143813,42.05672261143813,0.21555991577718578
LA4647,84-277,20.1,25.0,9.779850290713117,14.579869297988928,39.57986929798893,39.57986929798893,0.21427334768482073
LA4647,LA4002,20.1,25.0,9.72142047027035,14.521548569334328,39.52154856933433,39.52154856933433,0.2129851821412847
36-681,LA4647,22.0,20.1,9.829668323935508,13.32978239108455,33.42978239108455,33.42978239108455,0.2116841934024272
36-681,LA4002,22.0,25.0,10.601234808125856,14.10182838428472,39.10182838428472,39.10182838428472,0.20947292510677426
48-024,48-024,25.0,25.0,12.123118505066444,16.54338318951871,41.54338318951871,41.54338318951871,0.20893484305955853
48-024,LA4002,25.0,25.0,12.241366056824472,16.661629818174436,41.66162981817443,41.66162981817443,0.20880170877025614
36-682,48-024,20.0,25.0,9.70026363165816,13.258576012497226,38.25857601249723,38.25857601249723,0.20514311863150678
LA4002,48-024,25.0,25.0,12.22701209667337,16.905082313334844,41.905082313334844,41.905082313334844,0.20511963023873622
LA4647,LA4936,20.1,30.1,10.01432155360783,14.814353355936749,44.914353355936754,44.914353355936754,0.2044107616734605
36-681,48-024,22.0,25.0,10.608485398089464,14.108540137990529,39.10854013799053,39.10854013799053,0.20421392048766998
36-682,LA4936,20.0,30.1,10.027710758646503,13.527777195373222,43.62777719537323,43.62777719537323,0.19359171364023894
