z_l1,z_l2,z_fiber,coupling,lens1,lens2,f1_mm,f2_mm,total_len_mm
9.7,13.433333333333334,38.43333333333334,0.23901221888744326,36-682,36-683,20.0,25.0,38.43333333333334
9.7,13.433333333333334,38.43333333333334,0.2311942325917793,36-682,LA4002,20.0,25.0,38.43333333333334
9.7,20.7,42.7,0.2278329955913126,36-682,36-681,20.0,22.0,42.7
9.7,29.766666666666662,59.86666666666666,0.22625327730179384,36-682,LA4936,20.0,30.1,59.86666666666666
9.7,15.608333333333333,35.608333333333334,0.22600050772304653,36-681,36-682,22.0,20.0,35.608333333333334
9.7,22.2,47.2,0.22328366935580007,LA4647,LA4002,20.1,25.0,47.2
9.7,17.066666666666666,42.06666666666666,0.2180967680271628,LA4647,36-683,20.1,25.0,42.06666666666666
9.7,13.433333333333334,38.43333333333334,0.2179300343146758,36-682,48-024,20.0,25.0,38.43333333333334
9.7,18.55625,38.65625,0.21700272258684067,36-681,LA4647,22.0,20.1,38.65625
9.7,22.2,47.2,0.21635994352313925,LA4647,84-277,20.1,25.0,47.2
10.670833333333333,22.2,47.2,0.20571831901098203,36-681,84-277,22.0,25.0,47.2
9.7,16.191666666666666,38.19166666666666,0.20486535058714117,LA4647,36-681,20.1,22.0,38.19166666666666
9.7,17.066666666666666,42.06666666666666,0.2033679784864077,LA4647,48-024,20.1,25.0,42.06666666666666
10.670833333333333,22.2,47.2,0.2023303050556563,36-681,48-024,22.0,25.0,47.2
10.670833333333333,22.2,47.2,0.19881462014071372,36-681,LA4002,22.0,25.0,47.2
9.7,34.78333333333333,64.88333333333333,0.1959715901117347,LA4647,LA4936,20.1,30.1,64.88333333333333
11.4375,35.166666666666664,60.166666666666664,0.18081549719569795,48-024,LA4002,25.0,25.0,60.166666666666664
11.4375,31.0,56.0,0.17912514126876158,48-024,48-024,25.0,25.0,56.0
11.4375,35.166666666666664,60.166666666666664,0.1732981646763472,LA4002,LA4002,25.0,25.0,60.166666666666664
13.175,18.5,43.5,0.16989048173109228,84-277,48-024,25.0,25.0,43.5
11.4375,35.166666666666664,60.166666666666664,0.1666772472772321,84-277,LA4002,25.0,25.0,60.166666666666664
13.175,18.5,43.5,0.1620296758061543,LA4002,48-024,25.0,25.0,43.5
