lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
LA4647,48-024,20.1,25.0,9.702424782455646,14.504221730266789,39.50422173026679,39.50422173026679,0.2330268378066834
48-024,48-024,25.0,25.0,12.094297429064003,16.51453178559481,41.51453178559481,41.51453178559481,0.2288028179450024
36-682,48-024,20.0,25.0,9.703346347808836,13.310168957710061,38.31016895771006,38.31016895771006,0.22824365426147292
36-681,LA4647,22.0,20.1,9.867182116433924,13.37485117646304,33.47485117646304,33.47485117646304,0.22704875130713373
LA4002,48-024,25.0,25.0,12.162242051674184,16.370170537720696,41.370170537720696,41.370170537720696,0.22400348029400627
48-024,LA4002,25.0,25.0,12.113705828159553,16.539078975205697,41.5390789752057,41.5390789752057,0.22344040010511257
36-682,LA4002,20.0,25.0,9.725241025059946,13.234077773449673,38.23407777344967,38.23407777344967,0.22288524807141163
36-681,36-682,22.0,20.0,9.701621068021286,13.205836190108354,33.20583619010836,33.20583619010836,0.2228062788743125
LA4647,LA4002,20.1,25.0,9.702127065050625,14.502570934256283,39.50257093425628,39.50257093425628,0.21920937651373654
LA4647,36-683,20.1,25.0,9.71401219350096,14.515167785022655,39.515167785022655,39.515167785022655,0.21903351475781702
36-681,84-277,22.0,25.0,10.624566107173955,14.12684312401855,39.12684312401855,39.12684312401855,0.21834911735974838
LA4002,LA4002,25.0,25.0,12.19867709780641,16.3998889330486,41.3998889330486,41.3998889330486,0.2155412358900976
LA4647,84-277,20.1,25.0,9.70065741109347,14.506025226596778,39.506025226596776,39.506025226596776,0.21522747271541634
36-681,48-024,22.0,25.0,10.524558574892549,16.09154742810863,41.091547428108626,41.091547428108626,0.21479504484464154
84-277,LA4002,25.0,25.0,12.101098062645178,16.852026641718112,41.85202664171811,41.85202664171811,0.21344951283723348
84-277,48-024,25.0,25.0,12.08390993490655,16.837498488617925,41.837498488617925,41.837498488617925,0.21000013489948743
36-682,36-681,20.0,22.0,9.721798158097043,13.221848177744597,35.2218481777446,35.2218481777446,0.2083309541852815
LA4647,LA4936,20.1,30.1,9.948714843750016,17.59201171875017,47.69201171875017,47.69201171875017,0.20731260689027697
36-681,LA4002,22.0,25.0,10.600877302890206,14.102546755285534,39.10254675528553,39.10254675528553,0.20371944567489791
36-682,36-683,20.0,25.0,9.809449796833999,13.311445240539074,38.31144524053907,38.31144524053907,0.20087823196233093
LA4647,36-681,20.1,22.0,9.701925590928916,14.516681059128832,36.51668105912883,36.51668105912883,0.2001738270601268
36-682,LA4936,20.0,30.1,10.000106022797976,13.503324500648521,43.603324500648526,43.603324500648526,0.18092974097786277
