lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
LA4647,48-024,20.1,25.0,9.702099256622107,14.504537757717792,39.50453775771779,39.50453775771779,0.22858683905667684
LA4647,84-277,20.1,25.0,9.70096296781892,14.502618379374669,39.50261837937467,39.50261837937467,0.22588668347029772
84-277,LA4002,25.0,25.0,12.094235144520649,17.045240691453703,42.0452406914537,42.0452406914537,0.2221106691355516
48-024,LA4002,25.0,25.0,12.110496387321703,16.56122319453206,41.56122319453206,41.56122319453206,0.22122361692061207
LA4002,48-024,25.0,25.0,12.14689574074276,16.475053249186576,41.47505324918657,41.47505324918657,0.22039744112990373
LA4002,LA4002,25.0,25.0,12.235929538507223,16.508766945467517,41.508766945467514,41.508766945467514,0.21811489658705435
36-682,36-681,20.0,22.0,9.715558104654685,13.225198511772957,35.22519851177296,35.22519851177296,0.2177525318809954
36-681,36-682,22.0,20.0,9.807371797695518,13.309401065340811,33.30940106534081,33.30940106534081,0.21596062584541303
36-682,48-024,20.0,25.0,9.700570065692062,13.209756001606427,38.20975600160643,38.20975600160643,0.21451042332639086
LA4647,36-681,20.1,22.0,9.71429519655549,14.522572021154847,36.52257202115484,36.52257202115484,0.213155504192318
36-682,LA4002,20.0,25.0,9.700666383278111,13.21497655821836,38.21497655821836,38.21497655821836,0.2131177044554494
LA4647,36-683,20.1,25.0,9.702099256622107,14.504537757717792,39.50453775771779,39.50453775771779,0.21238433830680797
LA4647,LA4002,20.1,25.0,9.702099256622107,14.504537757717792,39.50453775771779,39.50453775771779,0.20946322293979686
36-681,84-277,22.0,25.0,10.584924991325513,14.085012159975609,39.085012159975605,39.085012159975605,0.20862855512803968
36-681,LA4002,22.0,25.0,10.627294551613794,14.21031374465354,39.21031374465354,39.21031374465354,0.20852004078409017
36-682,36-683,20.0,25.0,9.743226179473076,13.244197851536848,38.244197851536846,38.244197851536846,0.20671177603452606
36-681,LA4647,22.0,20.1,9.878640393958216,13.379752814623963,33.479752814623964,33.479752814623964,0.20667816285570537
LA4647,LA4936,20.1,30.1,9.9894589048977,15.311675234733233,45.41167523473324,45.41167523473324,0.20539941155055488
84-277,48-024,25.0,25.0,12.092004435719273,16.853351434500517,41.85335143450052,41.85335143450052,0.2025043462427981
36-682,LA4936,20.0,30.1,9.967094373653914,13.990082300401276,44.09008230040128,44.09008230040128,0.20071344632881105
36-681,48-024,22.0,25.0,10.614691102010609,14.11773995032408,39.11773995032408,39.11773995032408,0.19798936590956323
48-024,48-024,25.0,25.0,11.291062806481266,33.93246897213602,58.93246897213602,58.93246897213602,0.17992425899280157
