lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation
84-277,84-279,25.0,45.0,12.304763291115037,18.343962943915553,63.34396294391556,63.34396294391556,0.397612095158944,SfccfF
LA4002,LA4936,25.0,30.1,11.596865087721245,15.824818221431007,45.92481822143101,45.92481822143101,0.3876998688918591,SfccfF
84-277,84-279,25.0,45.0,12.24963485172236,22.97661701777459,67.97661701777459,67.97661701777459,0.38594897645538445,SfccfF
LA4002,84-278,25.0,30.0,11.580447390994749,15.836658941513917,45.83665894151392,45.83665894151392,0.3858974161867419,SfccfF
84-277,LA4936,25.0,30.1,11.20087120798339,15.95774421126174,46.05774421126174,46.05774421126174,0.3848781137918685,SfccfF
LA4002,LA4936,25.0,30.1,11.602518522270842,15.805584058363529,45.90558405836353,45.90558405836353,0.3842691550711661,SfccfF
LA4002,84-278,25.0,30.0,11.582652818308803,15.78293782918729,45.78293782918729,45.78293782918729,0.38380348004965936,SfccfF
84-277,84-279,25.0,45.0,12.319200995523993,17.26754233128505,62.26754233128505,62.26754233128505,0.3825443837042735,SfccfF
84-277,84-278,25.0,30.0,11.185460233158665,15.935542343324027,45.93554234332403,45.93554234332403,0.38128540338573114,SfccfF
84-277,LA4936,25.0,30.1,11.221934445464285,15.975877520194068,46.07587752019407,46.07587752019407,0.37616967049771755,SfccfF
84-277,84-278,25.0,30.0,11.196875359897714,15.946921723557521,45.94692172355752,45.94692172355752,0.37572989791903555,SfccfF
LA4002,LA4003,25.0,35.0,12.103970728172971,16.329758456045013,51.32975845604501,51.32975845604501,0.37485068327582144,SfccfF
84-277,84-278,25.0,30.0,11.184474767579102,15.971661240448455,45.971661240448455,45.971661240448455,0.37305673625949526,SfccfF
84-277,84-278,25.0,30.0,11.16740946430779,16.319998609890714,46.31999860989072,46.31999860989072,0.37087317881758564,SfccfF
84-277,LA4936,25.0,30.1,11.188399469440593,16.283596428804966,46.383596428804964,46.383596428804964,0.3688321980111706,SfccfF
LA4002,84-278,25.0,30.0,11.593748153370306,15.79374963502739,45.79374963502739,45.79374963502739,0.36812645749081696,SfccfF
84-277,LA4003,25.0,35.0,11.64942364743117,16.410542642684547,51.41054264268455,51.41054264268455,0.36785706471466595,SfccfF
84-277,LA4003,25.0,35.0,11.710401838508725,16.46046864139413,51.46046864139413,51.46046864139413,0.36519499546389605,SfccfF
LA4002,LA4936,25.0,30.1,11.622166219816872,15.891158055633532,45.991158055633534,45.991158055633534,0.36376824857345863,SfccfF
LA4002,LA4003,25.0,35.0,12.046137357177022,16.24614072121854,51.24614072121854,51.24614072121854,0.36345368644803144,SfccfF
84-277,LA4003,25.0,35.0,11.63350844980664,16.38857824621334,51.38857824621334,51.38857824621334,0.3631561900217023,SfccfF
LA4002,LA4130,25.0,40.1,12.45655576266075,16.657470785859203,56.757470785859205,56.757470785859205,0.36151314140662105,SfccfF
36-686,84-279,27.0,45.0,12.915664610141693,18.916291656990573,63.91629165699057,63.91629165699057,0.36082911545326246,SfccfF
LA4002,84-278,25.0,30.0,11.579196961478374,15.784675280578082,45.784675280578085,45.784675280578085,0.35816322332742295,SfccfF
84-277,LA4003,25.0,35.0,11.639320137780839,16.474913424868006,51.47491342486801,51.47491342486801,0.3507022345913748,SfccfF
LA4002,LA4130,25.0,40.1,12.466540182534755,16.80393673624266,56.90393673624266,56.90393673624266,0.35038885044984963,SfccfF
LA4002,LA4130,25.0,40.1,12.456960130080688,16.659714969122227,56.75971496912223,56.75971496912223,0.35020430096517224,SfccfF
84-277,LA4936,25.0,30.1,11.356708439284496,18.59552405742626,48.69552405742626,48.69552405742626,0.34847279464442626,SfccfF
36-686,84-279,27.0,45.0,12.80637432537015,18.80732526632115,63.80732526632115,63.80732526632115,0.3466638137318007,SfccfF
36-686,84-278,27.0,30.0,11.529139759164355,17.53132029285375,47.53132029285375,47.53132029285375,0.3459955797249027,SfccfF
36-686,84-279,27.0,45.0,12.806528941687889,19.0217569738617,64.0217569738617,64.0217569738617,0.3455804055121558,SfccfF
LA4002,LA4936,25.0,30.1,11.708354579674133,16.01886150019791,46.11886150019791,46.11886150019791,0.34370651288940846,SfccfF
36-686,84-279,27.0,45.0,12.766201645496675,21.541283523793382,66.54128352379338,66.54128352379338,0.3431639298943807,SfccfF
LA4002,84-279,25.0,45.0,12.522838911097171,32.851485170178364,77.85148517017836,77.85148517017836,0.341539396345008,SfccfF
LA4002,LA4003,25.0,35.0,12.032602235993773,16.34584030011723,51.34584030011723,51.34584030011723,0.34030024973973333,SfccfF
36-686,LA4936,27.0,30.1,11.535677166685751,17.537025044090726,47.63702504409073,47.63702504409073,0.3331261274738937,SfccfF
LA4002,LA4130,25.0,40.1,12.595890485282485,17.344456884757825,57.44445688475783,57.44445688475783,0.33231058755127085,SfccfF
36-686,84-278,27.0,30.0,11.4864288022141,17.585813135463788,47.58581313546379,47.58581313546379,0.3312647836625228,SfccfF
84-277,LA4765,25.0,50.2,12.563952094262058,17.410672353451446,67.61067235345145,67.61067235345145,0.33012805825430425,SfccfF
36-686,LA4936,27.0,30.1,11.554782276416995,17.554850018212655,47.654850018212656,47.654850018212656,0.3279105179511799,SfccfF
LA4002,84-279,25.0,45.0,12.737429518627257,17.259634385388935,62.259634385388935,62.259634385388935,0.3277118321427594,SfccfF
36-686,LA4003,27.0,35.0,12.080002299571765,18.080757926441894,53.08075792644189,53.08075792644189,0.32547476050602064,SfccfF
36-686,LA4003,27.0,35.0,12.098049616087287,18.11111920565554,53.11111920565554,53.11111920565554,0.32245989842906747,SfccfF
36-686,LA4936,27.0,30.1,11.517907108261294,17.623702087827866,47.72370208782787,47.72370208782787,0.31963766932431475,SfccfF
LA4002,LA4765,25.0,50.2,13.021262582346157,17.22140529904589,67.42140529904589,67.42140529904589,0.31830872965297763,SfccfF
36-686,84-280,27.0,60.0,13.478234170751975,21.811000582328774,81.81100058232877,81.81100058232877,0.3180747780895135,SfccfF
36-686,LA4936,27.0,30.1,11.496674293334216,18.12488463165892,48.224884631658924,48.224884631658924,0.3177910756727131,SfccfF
