lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation
LA4002,84-278,25.0,30.0,11.580447390994749,15.836658941513917,45.83665894151392,45.83665894151392,0.3858974161867419,SfccfF
84-277,LA4936,25.0,30.1,11.20087120798339,15.95774421126174,46.05774421126174,46.05774421126174,0.3848781137918685,SfccfF
84-277,84-279,25.0,45.0,12.319200995523993,17.26754233128505,62.26754233128505,62.26754233128505,0.3825443837042735,SfccfF
LA4002,LA4003,25.0,35.0,12.103970728172971,16.329758456045013,51.32975845604501,51.32975845604501,0.37485068327582144,SfccfF
84-277,84-278,25.0,30.0,11.184474767579102,15.971661240448455,45.971661240448455,45.971661240448455,0.37305673625949526,SfccfF
84-277,LA4003,25.0,35.0,11.64942364743117,16.410542642684547,51.41054264268455,51.41054264268455,0.36785706471466595,SfccfF
LA4002,LA4936,25.0,30.1,11.622166219816872,15.891158055633532,45.991158055633534,45.991158055633534,0.36376824857345863,SfccfF
LA4002,LA4130,25.0,40.1,12.466540182534755,16.80393673624266,56.90393673624266,56.90393673624266,0.35038885044984963,SfccfF
36-686,84-279,27.0,45.0,12.806528941687889,19.0217569738617,64.0217569738617,64.0217569738617,0.3455804055121558,SfccfF
84-277,LA4765,25.0,50.2,12.563952094262058,17.410672353451446,67.61067235345145,67.61067235345145,0.33012805825430425,SfccfF
LA4002,84-279,25.0,45.0,12.737429518627257,17.259634385388935,62.259634385388935,62.259634385388935,0.3277118321427594,SfccfF
36-686,LA4003,27.0,35.0,12.098049616087287,18.11111920565554,53.11111920565554,53.11111920565554,0.32245989842906747,SfccfF
36-686,LA4936,27.0,30.1,11.517907108261294,17.623702087827866,47.72370208782787,47.72370208782787,0.31963766932431475,SfccfF
36-686,84-278,27.0,30.0,11.774187301105286,18.21258872075373,48.21258872075373,48.21258872075373,0.3133269437061795,SfccfF
LA4002,LA4765,25.0,50.2,13.068120198158969,17.375164875835566,67.57516487583557,67.57516487583557,0.31125814826601433,SfccfF
48-024,84-278,25.0,30.0,11.395530210021047,15.969242432404094,45.969242432404094,45.969242432404094,0.3062177492987632,SfccfF
84-277,84-280,25.0,60.0,12.932493103332302,17.690246124186217,77.69024612418622,77.69024612418622,0.301420231733562,SfccfF
LA4002,LA4042,25.0,60.0,13.339790652893749,18.29713785994946,78.29713785994946,78.29713785994946,0.30093942119560346,SfccfF
LA4002,84-280,25.0,60.0,13.338346922366663,17.57198130691708,77.57198130691708,77.57198130691708,0.29814050036881407,SfccfF
48-024,LA4936,25.0,30.1,11.410954709273499,15.985234921439385,46.08523492143939,46.08523492143939,0.29540381144142486,SfccfF
36-686,84-280,27.0,60.0,13.497808935637188,19.770846662725717,79.77084666272572,79.77084666272572,0.29176154002764476,SfccfF
