lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation
84-277,84-279,25.0,45.0,12.304763291115037,18.343962943915553,63.34396294391556,63.34396294391556,0.397612095158944,SfccfF
84-277,84-278,25.0,30.0,11.196875359897714,15.946921723557521,45.94692172355752,45.94692172355752,0.37572989791903555,SfccfF
LA4002,84-278,25.0,30.0,11.593748153370306,15.79374963502739,45.79374963502739,45.79374963502739,0.36812645749081696,SfccfF
84-277,LA4003,25.0,35.0,11.710401838508725,16.46046864139413,51.46046864139413,51.46046864139413,0.36519499546389605,SfccfF
LA4002,LA4003,25.0,35.0,12.046137357177022,16.24614072121854,51.24614072121854,51.24614072121854,0.36345368644803144,SfccfF
36-686,84-279,27.0,45.0,12.915664610141693,18.916291656990573,63.91629165699057,63.91629165699057,0.36082911545326246,SfccfF
84-277,LA4936,25.0,30.1,11.356708439284496,18.59552405742626,48.69552405742626,48.69552405742626,0.34847279464442626,SfccfF
LA4002,LA4936,25.0,30.1,11.708354579674133,16.01886150019791,46.11886150019791,46.11886150019791,0.34370651288940846,SfccfF
LA4002,LA4130,25.0,40.1,12.595890485282485,17.344456884757825,57.44445688475783,57.44445688475783,0.33231058755127085,SfccfF
36-686,LA4936,27.0,30.1,11.554782276416995,17.554850018212655,47.654850018212656,47.654850018212656,0.3279105179511799,SfccfF
36-686,LA4003,27.0,35.0,12.080002299571765,18.080757926441894,53.08075792644189,53.08075792644189,0.32547476050602064,SfccfF
LA4002,LA4765,25.0,50.2,13.021262582346157,17.22140529904589,67.42140529904589,67.42140529904589,0.31830872965297763,SfccfF
LA4002,84-279,25.0,45.0,12.798952921306274,16.999010085549138,61.99901008554914,61.99901008554914,0.3173398960892371,SfccfF
36-686,84-278,27.0,30.0,11.601406603446172,17.601441708073793,47.60144170807379,47.60144170807379,0.3165219733482508,SfccfF
48-024,LA4936,25.0,30.1,11.459890552175006,15.879894390877613,45.97989439087762,45.97989439087762,0.3128692195631908,SfccfF
36-686,84-280,27.0,60.0,13.494429191087283,19.538809684085898,79.53880968408589,79.53880968408589,0.3091269890533266,SfccfF
84-277,LA4765,25.0,50.2,12.568418961938564,17.318432200710866,67.51843220071086,67.51843220071086,0.3067275559072689,SfccfF
48-024,84-278,25.0,30.0,11.385184794973897,15.927735529782366,45.92773552978237,45.92773552978237,0.30494259356522513,SfccfF
84-277,84-280,25.0,60.0,12.945194977166238,17.695775730930745,77.69577573093075,77.69577573093075,0.30105064623634625,SfccfF
LA4002,LA4042,25.0,60.0,13.337197772112297,17.537257583220878,77.53725758322088,77.53725758322088,0.2957988895083485,SfccfF
LA4002,84-280,25.0,60.0,13.323212235033887,19.918802154790455,79.91880215479046,79.91880215479046,0.29433549133138204,SfccfF
