z_l1,z_l2,z_fiber,coupling,lens1,lens2,f1_mm,f2_mm,total_len_mm,orientation
13.175,24.05833333333333,69.05833333333334,0.2989483451608292,LA4002,84-279,25.0,45.0,69.05833333333334,SfccfF
11.4375,26.8125,61.8125,0.2918534327831274,84-277,LA4003,25.0,35.0,61.8125,SfccfF
13.175,47.06666666666667,107.06666666666666,0.2881747470349411,LA4002,84-280,25.0,60.0,107.06666666666666,SfccfF
13.175,17.6875,67.8875,0.2863765105240153,LA4002,LA4765,25.0,50.2,67.8875,SfccfF
13.55,28.558333333333337,88.55833333333334,0.2790115690934547,36-686,84-280,27.0,60.0,88.55833333333334,SfccfF
13.175,19.116666666666667,79.11666666666667,0.2748324164706396,84-277,84-280,25.0,60.0,79.11666666666667,SfccfF
13.175,22.629166666666663,62.729166666666664,0.27253147795099963,LA4002,LA4130,25.0,40.1,62.729166666666664,SfccfF
10.858333333333333,34.7,64.7,0.26613399108824387,48-024,84-278,25.0,30.0,64.7,SfccfF
10.858333333333333,34.78333333333333,64.88333333333333,0.26370541336504655,48-024,LA4936,25.0,30.1,64.88333333333333,SfccfF
10.858333333333333,34.7,64.7,0.2523660764687557,84-277,84-278,25.0,30.0,64.7,SfccfF
11.625,32.73333333333333,67.73333333333332,0.24805414222848163,36-686,LA4003,27.0,35.0,67.73333333333332,SfccfF
10.858333333333333,34.78333333333333,64.88333333333333,0.24502116971369878,84-277,LA4936,25.0,30.1,64.88333333333333,SfccfF
13.175,25.575000000000003,75.775,0.24167264107503503,84-277,LA4765,25.0,50.2,75.775,SfccfF
13.175,21.141666666666666,56.141666666666666,0.2416578717489434,LA4002,LA4003,25.0,35.0,56.141666666666666,SfccfF
13.175,24.05833333333333,69.05833333333334,0.24063189114578984,84-277,84-279,25.0,45.0,69.05833333333334,SfccfF
13.55,24.18333333333333,69.18333333333334,0.23608574408412136,36-686,84-279,27.0,45.0,69.18333333333334,SfccfF
12.016666666666666,34.7,64.7,0.23417924635175505,LA4002,84-278,25.0,30.0,64.7,SfccfF
12.016666666666666,34.78333333333333,64.88333333333333,0.2309179508810581,LA4002,LA4936,25.0,30.1,64.88333333333333,SfccfF
10.983333333333333,34.7,64.7,0.22838573003383048,36-686,84-278,27.0,30.0,64.7,SfccfF
10.983333333333333,34.78333333333333,64.88333333333333,0.222652115461571,36-686,LA4936,27.0,30.1,64.88333333333333,SfccfF
13.175,47.06666666666667,107.06666666666666,0.21940941820423115,LA4002,LA4042,25.0,60.0,107.06666666666666,SfccfF
13.175,19.7125,49.8125,0.17406357953534618,84-277,LA4936,25.0,30.1,49.8125,ScffcF
13.175,19.7125,49.8125,0.1706785537044487,48-024,LA4936,25.0,30.1,49.8125,ScffcF
13.175,24.668750000000003,54.768750000000004,0.16957692937391303,LA4002,LA4936,25.0,30.1,54.768750000000004,ScffcF
13.175,24.625,54.625,0.167153312232356,84-277,84-278,25.0,30.0,54.625,ScffcF
13.175,24.625,54.625,0.1663030266059444,LA4002,84-278,25.0,30.0,54.625,ScffcF
13.175,24.625,54.625,0.15962990212608585,48-024,84-278,25.0,30.0,54.625,ScffcF
13.175,38.15416666666667,73.15416666666667,0.15957936347772228,LA4002,LA4003,25.0,35.0,73.15416666666667,ScffcF
13.175,38.15416666666667,73.15416666666667,0.1580094449754144,84-277,LA4003,25.0,35.0,73.15416666666667,ScffcF
13.175,61.11666666666666,101.21666666666667,0.1563823357031496,LA4002,LA4130,25.0,40.1,101.21666666666667,ScffcF
13.55,44.93333333333334,75.03333333333333,0.14064570727893952,36-686,LA4936,27.0,30.1,75.03333333333333,ScffcF
13.55,55.66666666666666,90.66666666666666,0.136474696047244,36-686,LA4003,27.0,35.0,90.66666666666666,ScffcF
14.833333333333332,29.833333333333332,59.83333333333333,0.13130188686493585,36-686,84-278,27.0,30.0,59.83333333333333,ScffcF
14.333333333333332,36.83333333333333,81.83333333333333,0.1281840501034335,84-277,84-279,25.0,45.0,81.83333333333333,ScffcF
15.475,37.33333333333333,82.33333333333333,0.12346049102575467,36-686,84-279,27.0,45.0,82.33333333333333,ScffcF
14.333333333333332,39.43333333333334,89.63333333333334,0.12188444608150342,LA4002,LA4765,25.0,50.2,89.63333333333334,ScffcF
14.9125,25.575000000000003,75.775,0.11022911596143714,84-277,LA4765,25.0,50.2,75.775,ScffcF
14.9125,44.333333333333336,104.33333333333334,0.10836809701871981,84-277,84-280,25.0,60.0,104.33333333333334,ScffcF
14.333333333333332,36.83333333333333,81.83333333333333,0.1080853395304545,LA4002,84-279,25.0,45.0,81.83333333333333,ScffcF
15.475,104.83333333333334,164.83333333333334,0.10430656194841853,36-686,84-280,27.0,60.0,164.83333333333334,ScffcF
14.333333333333332,84.33333333333334,144.33333333333334,0.10187405201532991,LA4002,LA4042,25.0,60.0,144.33333333333334,ScffcF
14.333333333333332,104.33333333333334,164.33333333333334,0.0907700234884395,LA4002,84-280,25.0,60.0,164.33333333333334,ScffcF
