lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation
LA4002,LA4936,25.0,30.1,11.602518522270842,15.805584058363529,45.90558405836353,45.90558405836353,0.3842691550711661,SfccfF
84-277,84-278,25.0,30.0,11.185460233158665,15.935542343324027,45.93554234332403,45.93554234332403,0.38128540338573114,SfccfF
84-277,LA4936,25.0,30.1,11.221934445464285,15.975877520194068,46.07587752019407,46.07587752019407,0.37616967049771755,SfccfF
84-277,LA4003,25.0,35.0,11.63350844980664,16.38857824621334,51.38857824621334,51.38857824621334,0.3631561900217023,SfccfF
LA4002,84-278,25.0,30.0,11.579196961478374,15.784675280578082,45.784675280578085,45.784675280578085,0.35816322332742295,SfccfF
LA4002,LA4130,25.0,40.1,12.456960130080688,16.659714969122227,56.75971496912223,56.75971496912223,0.35020430096517224,SfccfF
36-686,84-279,27.0,45.0,12.80637432537015,18.80732526632115,63.80732526632115,63.80732526632115,0.3466638137318007,SfccfF
36-686,84-278,27.0,30.0,11.529139759164355,17.53132029285375,47.53132029285375,47.53132029285375,0.3459955797249027,SfccfF
36-686,LA4936,27.0,30.1,11.535677166685751,17.537025044090726,47.63702504409073,47.63702504409073,0.3331261274738937,SfccfF
36-686,84-280,27.0,60.0,13.478234170751975,21.811000582328774,81.81100058232877,81.81100058232877,0.3180747780895135,SfccfF
36-686,LA4003,27.0,35.0,12.028395497887082,18.029414208570508,53.02941420857051,53.02941420857051,0.3170157388297157,SfccfF
84-277,LA4765,25.0,50.2,12.58931836127158,17.341653974669534,67.54165397466954,67.54165397466954,0.3136192339804312,SfccfF
LA4002,LA4765,25.0,50.2,12.968976245324093,17.16933506047081,67.36933506047082,67.36933506047082,0.30787381282736026,SfccfF
LA4002,84-280,25.0,60.0,13.34099912045259,17.55221396563018,77.55221396563019,77.55221396563019,0.302851800948134,SfccfF
48-024,LA4936,25.0,30.1,11.297624306524085,19.600355921712644,49.70035592171264,49.70035592171264,0.29924073690392056,SfccfF
LA4002,LA4042,25.0,60.0,13.327573627422112,17.527665498495516,77.52766549849551,77.52766549849551,0.29814335442529605,SfccfF
84-277,84-280,25.0,60.0,12.927896343257014,18.48109606473914,78.48109606473915,78.48109606473915,0.2932573112634006,SfccfF
48-024,84-278,25.0,30.0,11.39227652781237,15.819939413639737,45.81993941363974,45.81993941363974,0.29074717221150276,SfccfF
LA4002,LA4003,25.0,35.0,21.30915690602799,25.50960261717112,60.50960261717112,60.50960261717112,0.0033178392700148845,SfccfF
84-277,84-279,25.0,45.0,24.744064206432085,29.49567654007111,74.49567654007112,74.49567654007112,0.0007930662225984724,SfccfF
LA4002,84-279,25.0,45.0,24.5029296875,28.703906249999967,73.70390624999996,73.70390624999996,0.00039724820019693054,SfccfF
