lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation
LA4002,LA4936,25.0,30.1,11.596865087721245,15.824818221431007,45.92481822143101,45.92481822143101,0.3876998688918591,SfccfF
84-277,84-279,25.0,45.0,12.24963485172236,22.97661701777459,67.97661701777459,67.97661701777459,0.38594897645538445,SfccfF
LA4002,84-278,25.0,30.0,11.582652818308803,15.78293782918729,45.78293782918729,45.78293782918729,0.38380348004965936,SfccfF
84-277,84-278,25.0,30.0,11.16740946430779,16.319998609890714,46.31999860989072,46.31999860989072,0.37087317881758564,SfccfF
84-277,LA4936,25.0,30.1,11.188399469440593,16.283596428804966,46.383596428804964,46.383596428804964,0.3688321980111706,SfccfF
LA4002,LA4130,25.0,40.1,12.45655576266075,16.657470785859203,56.757470785859205,56.757470785859205,0.36151314140662105,SfccfF
84-277,LA4003,25.0,35.0,11.639320137780839,16.474913424868006,51.47491342486801,51.47491342486801,0.3507022345913748,SfccfF
36-686,84-279,27.0,45.0,12.766201645496675,21.541283523793382,66.54128352379338,66.54128352379338,0.3431639298943807,SfccfF
LA4002,84-279,25.0,45.0,12.522838911097171,32.851485170178364,77.85148517017836,77.85148517017836,0.341539396345008,SfccfF
LA4002,LA4003,25.0,35.0,12.032602235993773,16.34584030011723,51.34584030011723,51.34584030011723,0.34030024973973333,SfccfF
36-686,84-278,27.0,30.0,11.4864288022141,17.585813135463788,47.58581313546379,47.58581313546379,0.3312647836625228,SfccfF
36-686,LA4936,27.0,30.1,11.496674293334216,18.12488463165892,48.224884631658924,48.224884631658924,0.3177910756727131,SfccfF
84-277,84-280,25.0,60.0,12.781163292416661,38.893735829894595,98.8937358298946,98.8937358298946,0.31262898412339823,SfccfF
36-686,LA4003,27.0,35.0,12.017960615864807,18.020303580511563,53.020303580511566,53.020303580511566,0.3097824429470501,SfccfF
LA4002,LA4765,25.0,50.2,12.978016658132736,17.178197067822246,67.37819706782224,67.37819706782224,0.30619112638591645,SfccfF
LA4002,LA4042,25.0,60.0,13.335203978606339,17.538532429297153,77.53853242929715,77.53853242929715,0.30516137504246915,SfccfF
48-024,LA4936,25.0,30.1,11.245924449928742,21.19910566746752,51.29910566746752,51.29910566746752,0.30279006210264503,SfccfF
LA4002,84-280,25.0,60.0,13.337098448154153,17.785081255928308,77.7850812559283,77.7850812559283,0.2979495394314009,SfccfF
84-277,LA4765,25.0,50.2,12.490140280825843,24.30373158455881,74.5037315845588,74.5037315845588,0.2947594489996057,SfccfF
48-024,84-278,25.0,30.0,11.38657724714824,15.89646403594408,45.89646403594408,45.89646403594408,0.2885029599878869,SfccfF
36-686,84-280,27.0,60.0,12.503251944313,18.524709030649138,78.52470903064913,78.52470903064913,0.012153544399421819,SfccfF
