lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation
84-277,84-279,25.0,45.0,12.32628723712119,17.42590376378797,62.42590376378797,62.42590376378797,0.4925,SfccfF
84-277,84-279,25.0,45.0,12.325334658320571,17.076284620566362,62.07628462056636,62.07628462056636,0.4875,SfccfF
84-277,84-279,25.0,45.0,12.289904606593277,19.5770060964369,64.5770060964369,64.5770060964369,0.485,SfccfF
84-277,84-279,25.0,45.0,12.317442085027052,17.394069851295676,62.394069851295676,62.394069851295676,0.4795,SfccfF
84-277,LA4936,25.0,30.1,11.201386425322143,15.96901214488014,46.06901214488014,46.06901214488014,0.4505,SfccfF
84-277,LA4936,25.0,30.1,11.246856513909039,16.041069106500437,46.14106910650044,46.14106910650044,0.4455,SfccfF
LA4002,84-278,25.0,30.0,11.603325164429357,15.807819127867303,45.807819127867305,45.807819127867305,0.4435,SfccfF
36-686,84-279,27.0,45.0,12.989112133599765,18.989309815423262,63.98930981542326,63.98930981542326,0.4425,SfccfF
LA4002,84-278,25.0,30.0,11.600126099173565,15.800734084139789,45.80073408413979,45.80073408413979,0.4405,SfccfF
LA4002,LA4130,25.0,40.1,12.45041699660942,16.652270954581834,56.75227095458183,56.75227095458183,0.4385,SfccfF
LA4002,LA4936,25.0,30.1,11.598234831384616,15.807981882273918,45.907981882273916,45.907981882273916,0.438,SfccfF
84-277,LA4003,25.0,35.0,11.685626720095891,16.772760904441178,51.77276090444118,51.77276090444118,0.4365,SfccfF
LA4002,84-278,25.0,30.0,11.569523926575926,16.01260705178889,46.01260705178889,46.01260705178889,0.4325,SfccfF
LA4002,LA4936,25.0,30.1,11.599319860140314,15.871314708407532,45.97131470840753,45.97131470840753,0.432,SfccfF
84-277,LA4003,25.0,35.0,11.643380866385996,16.3955650353802,51.3955650353802,51.3955650353802,0.4315,SfccfF
LA4002,84-278,25.0,30.0,11.58153013546942,15.938438303817435,45.938438303817435,45.938438303817435,0.4305,SfccfF
84-277,84-278,25.0,30.0,11.28646893719339,16.04080695832712,46.040806958327124,46.040806958327124,0.4295,SfccfF
84-277,LA4936,25.0,30.1,11.220859644552547,15.977666089441811,46.07766608944181,46.07766608944181,0.4285,SfccfF
84-277,84-278,25.0,30.0,11.193643054760269,16.086714244678852,46.08671424467885,46.08671424467885,0.4285,SfccfF
LA4002,LA4936,25.0,30.1,11.669226384782782,15.869239289774976,45.969239289774976,45.969239289774976,0.427,SfccfF
LA4002,LA4936,25.0,30.1,11.593329281362838,15.871749164191996,45.971749164192,45.971749164192,0.4265,SfccfF
84-277,LA4003,25.0,35.0,11.671385815159649,16.421416812727188,51.42141681272719,51.42141681272719,0.4265,SfccfF
84-277,84-278,25.0,30.0,11.21474410567377,15.965146922584207,45.96514692258421,45.96514692258421,0.4255,SfccfF
84-277,LA4003,25.0,35.0,11.641599645497942,16.407845161183047,51.40784516118305,51.40784516118305,0.4245,SfccfF
LA4002,LA4130,25.0,40.1,12.467636242174637,16.6788255838831,56.778825583883105,56.778825583883105,0.4245,SfccfF
36-686,84-279,27.0,45.0,12.903749380980212,18.90381114385891,63.90381114385891,63.90381114385891,0.4235,SfccfF
36-686,84-279,27.0,45.0,12.812226165816446,19.723937315619857,64.72393731561985,64.72393731561985,0.4235,SfccfF
84-277,84-278,25.0,30.0,11.181677237917555,16.121825351710342,46.12182535171034,46.12182535171034,0.4205,SfccfF
36-686,84-279,27.0,45.0,12.811762755340396,18.918354094084663,63.91835409408466,63.91835409408466,0.42,SfccfF
LA4002,LA4003,25.0,35.0,12.167112174556603,16.367218555193404,51.3672185551934,51.3672185551934,0.4175,SfccfF
LA4002,84-279,25.0,45.0,12.72336337249726,17.462866641208286,62.46286664120829,62.46286664120829,0.4165,SfccfF
LA4002,84-279,25.0,45.0,12.863041469691794,17.064655386598346,62.064655386598346,62.064655386598346,0.4125,SfccfF
LA4002,LA4003,25.0,35.0,12.073156233974586,16.284194333372163,51.28419433337216,51.28419433337216,0.412,SfccfF
LA4002,84-279,25.0,45.0,12.785084983697,16.98509658933607,61.98509658933607,61.98509658933607,0.411,SfccfF
LA4002,LA4042,25.0,60.0,13.327741322299822,17.529455484632066,77.52945548463207,77.52945548463207,0.411,SfccfF
LA4002,LA4130,25.0,40.1,12.457190530338583,17.1342483651079,57.2342483651079,57.2342483651079,0.409,SfccfF
84-277,LA4936,25.0,30.1,11.277959077055918,16.028434849702272,46.12843484970227,46.12843484970227,0.406,SfccfF
LA4002,84-279,25.0,45.0,12.790617805811436,17.267807092020576,62.267807092020576,62.267807092020576,0.4045,SfccfF
LA4002,LA4130,25.0,40.1,12.453955752940374,16.66166578925673,56.76166578925673,56.76166578925673,0.402,SfccfF
36-686,LA4936,27.0,30.1,11.52575231356813,17.530146078695275,47.630146078695276,47.630146078695276,0.4,SfccfF
LA4002,LA4765,25.0,50.2,13.175,17.6875,67.8875,67.8875,0.4,SfccfF
84-277,LA4765,25.0,50.2,12.579656535540124,17.337015864806574,67.53701586480658,67.53701586480658,0.3995,SfccfF
36-686,84-280,27.0,60.0,13.496772454017277,19.502061074051404,79.5020610740514,79.5020610740514,0.398,SfccfF
36-686,84-278,27.0,30.0,11.48842769818711,17.488655446308076,47.48865544630807,47.48865544630807,0.3975,SfccfF
LA4002,LA4042,25.0,60.0,13.344758060361102,17.544937278467234,77.54493727846723,77.54493727846723,0.3965,SfccfF
LA4002,LA4003,25.0,35.0,12.136324781696642,16.372211731532392,51.37221173153239,51.37221173153239,0.396,SfccfF
84-277,84-280,25.0,60.0,12.925764338126761,17.846346872267148,77.84634687226715,77.84634687226715,0.3955,SfccfF
LA4002,LA4765,25.0,50.2,12.963775982680232,17.18423870957877,67.38423870957877,67.38423870957877,0.395,SfccfF
36-686,84-280,27.0,60.0,13.462462324936958,23.70691206623397,83.70691206623397,83.70691206623397,0.3945,SfccfF
84-277,84-279,25.0,45.0,12.218858880012418,40.99562326478775,85.99562326478775,85.99562326478775,0.3935,SfccfF
84-277,LA4765,25.0,50.2,12.65180761985745,17.405799409064617,67.60579940906462,67.60579940906462,0.392,SfccfF
84-277,LA4765,25.0,50.2,12.558239890765435,17.314787364003465,67.51478736400347,67.51478736400347,0.391,SfccfF
LA4002,LA4042,25.0,60.0,13.327832530639867,17.548668709907055,77.54866870990705,77.54866870990705,0.39,SfccfF
84-277,LA4765,25.0,50.2,12.604893657260556,17.365108291015005,67.56510829101501,67.56510829101501,0.3895,SfccfF
