lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation
84-277,84-279,25.0,45.0,12.317442085027052,17.394069851295676,62.394069851295676,62.394069851295676,0.4795,SfccfF
84-277,LA4936,25.0,30.1,11.201386425322143,15.96901214488014,46.06901214488014,46.06901214488014,0.4505,SfccfF
84-277,LA4003,25.0,35.0,11.685626720095891,16.772760904441178,51.77276090444118,51.77276090444118,0.4365,SfccfF
LA4002,84-278,25.0,30.0,11.58153013546942,15.938438303817435,45.938438303817435,45.938438303817435,0.4305,SfccfF
LA4002,LA4936,25.0,30.1,11.593329281362838,15.871749164191996,45.971749164192,45.971749164192,0.4265,SfccfF
84-277,84-278,25.0,30.0,11.181677237917555,16.121825351710342,46.12182535171034,46.12182535171034,0.4205,SfccfF
36-686,84-279,27.0,45.0,12.811762755340396,18.918354094084663,63.91835409408466,63.91835409408466,0.42,SfccfF
LA4002,LA4003,25.0,35.0,12.073156233974586,16.284194333372163,51.28419433337216,51.28419433337216,0.412,SfccfF
LA4002,84-279,25.0,45.0,12.790617805811436,17.267807092020576,62.267807092020576,62.267807092020576,0.4045,SfccfF
LA4002,LA4130,25.0,40.1,12.453955752940374,16.66166578925673,56.76166578925673,56.76166578925673,0.402,SfccfF
84-277,LA4765,25.0,50.2,12.604893657260556,17.365108291015005,67.56510829101501,67.56510829101501,0.3895,SfccfF
84-277,84-280,25.0,60.0,12.95148143700628,17.821378900163282,77.82137890016328,77.82137890016328,0.388,SfccfF
36-686,84-278,27.0,30.0,11.490592398900981,17.50891519281396,47.50891519281396,47.50891519281396,0.386,SfccfF
LA4002,LA4765,25.0,50.2,12.965034303903263,17.331580442575046,67.53158044257505,67.53158044257505,0.379,SfccfF
36-686,LA4003,27.0,35.0,12.014644941330445,18.055491955806723,53.05549195580672,53.05549195580672,0.3785,SfccfF
36-686,LA4936,27.0,30.1,11.519671713979742,17.54659636046344,47.64659636046344,47.64659636046344,0.3745,SfccfF
LA4002,LA4042,25.0,60.0,13.358975741087727,18.12469045471248,78.12469045471248,78.12469045471248,0.372,SfccfF
LA4002,84-280,25.0,60.0,13.335745721881747,18.557435862891182,78.55743586289118,78.55743586289118,0.371,SfccfF
36-686,84-280,27.0,60.0,13.491100480990225,19.89513679618618,79.89513679618618,79.89513679618618,0.369,SfccfF
48-024,84-278,25.0,30.0,11.427920362502254,15.96353971989138,45.96353971989138,45.96353971989138,0.368,SfccfF
48-024,LA4936,25.0,30.1,11.411165896443197,16.05552872599697,46.15552872599697,46.15552872599697,0.335,SfccfF
