lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation
84-277,84-279,25.0,45.0,12.32628723712119,17.42590376378797,62.42590376378797,62.42590376378797,0.4925,SfccfF
36-686,84-279,27.0,45.0,12.989112133599765,18.989309815423262,63.98930981542326,63.98930981542326,0.4425,SfccfF
LA4002,84-278,25.0,30.0,11.600126099173565,15.800734084139789,45.80073408413979,45.80073408413979,0.4405,SfccfF
LA4002,LA4936,25.0,30.1,11.669226384782782,15.869239289774976,45.969239289774976,45.969239289774976,0.427,SfccfF
84-277,LA4003,25.0,35.0,11.671385815159649,16.421416812727188,51.42141681272719,51.42141681272719,0.4265,SfccfF
84-277,84-278,25.0,30.0,11.21474410567377,15.965146922584207,45.96514692258421,45.96514692258421,0.4255,SfccfF
LA4002,LA4003,25.0,35.0,12.167112174556603,16.367218555193404,51.3672185551934,51.3672185551934,0.4175,SfccfF
LA4002,84-279,25.0,45.0,12.785084983697,16.98509658933607,61.98509658933607,61.98509658933607,0.411,SfccfF
LA4002,LA4130,25.0,40.1,12.457190530338583,17.1342483651079,57.2342483651079,57.2342483651079,0.409,SfccfF
84-277,LA4936,25.0,30.1,11.277959077055918,16.028434849702272,46.12843484970227,46.12843484970227,0.406,SfccfF
36-686,84-278,27.0,30.0,11.48842769818711,17.488655446308076,47.48865544630807,47.48865544630807,0.3975,SfccfF
LA4002,LA4042,25.0,60.0,13.344758060361102,17.544937278467234,77.54493727846723,77.54493727846723,0.3965,SfccfF
84-277,84-280,25.0,60.0,12.925764338126761,17.846346872267148,77.84634687226715,77.84634687226715,0.3955,SfccfF
36-686,84-280,27.0,60.0,13.462462324936958,23.70691206623397,83.70691206623397,83.70691206623397,0.3945,SfccfF
84-277,LA4765,25.0,50.2,12.65180761985745,17.405799409064617,67.60579940906462,67.60579940906462,0.392,SfccfF
36-686,LA4936,27.0,30.1,11.535890993306111,17.53624231813681,47.63624231813681,47.63624231813681,0.382,SfccfF
LA4002,84-280,25.0,60.0,13.331356229539942,18.518723929543672,78.51872392954367,78.51872392954367,0.3795,SfccfF
LA4002,LA4765,25.0,50.2,12.97855048589792,17.17864827203751,67.37864827203751,67.37864827203751,0.3775,SfccfF
36-686,LA4003,27.0,35.0,12.093206244676217,18.093211616850173,53.09321161685017,53.09321161685017,0.3705,SfccfF
48-024,LA4936,25.0,30.1,11.48940158584076,15.909474012707848,46.00947401270785,46.00947401270785,0.3585,SfccfF
48-024,84-278,25.0,30.0,11.424564286070485,16.314330684919064,46.314330684919064,46.314330684919064,0.3395,SfccfF
