z_l1,z_l2,z_fiber,coupling,lens1,lens2,f1_mm,f2_mm,total_len_mm,orientation
13.175,17.6875,67.8875,0.4,LA4002,LA4765,25.0,50.2,67.8875,SfccfF
13.55,28.558333333333337,88.55833333333334,0.385,36-686,84-280,27.0,60.0,88.55833333333334,SfccfF
13.175,47.06666666666667,107.06666666666666,0.379,LA4002,84-280,25.0,60.0,107.06666666666666,SfccfF
13.175,24.05833333333333,69.05833333333334,0.373,LA4002,84-279,25.0,45.0,69.05833333333334,SfccfF
13.175,19.116666666666667,79.11666666666667,0.34,84-277,84-280,25.0,60.0,79.11666666666667,SfccfF
13.175,22.629166666666663,62.729166666666664,0.336,LA4002,LA4130,25.0,40.1,62.729166666666664,SfccfF
10.858333333333333,34.7,64.7,0.323,84-277,84-278,25.0,30.0,64.7,SfccfF
13.175,47.06666666666667,107.06666666666666,0.318,LA4002,LA4042,25.0,60.0,107.06666666666666,SfccfF
13.55,24.18333333333333,69.18333333333334,0.316,36-686,84-279,27.0,45.0,69.18333333333334,SfccfF
10.858333333333333,34.78333333333333,64.88333333333333,0.312,84-277,LA4936,25.0,30.1,64.88333333333333,SfccfF
12.016666666666666,34.7,64.7,0.31,LA4002,84-278,25.0,30.0,64.7,SfccfF
10.858333333333333,34.7,64.7,0.303,48-024,84-278,25.0,30.0,64.7,SfccfF
10.858333333333333,34.78333333333333,64.88333333333333,0.303,48-024,LA4936,25.0,30.1,64.88333333333333,SfccfF
10.983333333333333,34.78333333333333,64.88333333333333,0.282,36-686,LA4936,27.0,30.1,64.88333333333333,SfccfF
13.175,25.575000000000003,75.775,0.281,84-277,LA4765,25.0,50.2,75.775,SfccfF
12.016666666666666,34.78333333333333,64.88333333333333,0.278,LA4002,LA4936,25.0,30.1,64.88333333333333,SfccfF
13.175,24.05833333333333,69.05833333333334,0.275,84-277,84-279,25.0,45.0,69.05833333333334,SfccfF
10.983333333333333,34.7,64.7,0.266,36-686,84-278,27.0,30.0,64.7,SfccfF
13.175,21.141666666666666,56.141666666666666,0.265,LA4002,LA4003,25.0,35.0,56.141666666666666,SfccfF
12.016666666666666,50.53333333333333,85.53333333333333,0.261,84-277,LA4003,25.0,35.0,85.53333333333333,SfccfF
12.266666666666666,50.53333333333333,85.53333333333333,0.225,36-686,LA4003,27.0,35.0,85.53333333333333,SfccfF
13.175,24.625,54.625,0.221,LA4002,84-278,25.0,30.0,54.625,ScffcF
13.175,43.824999999999996,78.82499999999999,0.218,LA4002,LA4003,25.0,35.0,78.82499999999999,ScffcF
13.175,19.7125,49.8125,0.208,84-277,LA4936,25.0,30.1,49.8125,ScffcF
13.55,49.83333333333333,79.83333333333333,0.204,36-686,84-278,27.0,30.0,79.83333333333333,ScffcF
13.175,24.668750000000003,54.768750000000004,0.199,LA4002,LA4936,25.0,30.1,54.768750000000004,ScffcF
13.175,24.625,54.625,0.198,84-277,84-278,25.0,30.0,54.625,ScffcF
14.833333333333332,144.83333333333334,204.83333333333334,0.194,36-686,84-280,27.0,60.0,204.83333333333334,ScffcF
14.333333333333332,39.43333333333334,89.63333333333334,0.186,84-277,LA4765,25.0,50.2,89.63333333333334,ScffcF
13.55,55.66666666666666,90.66666666666666,0.185,36-686,LA4003,27.0,35.0,90.66666666666666,ScffcF
13.175,24.625,54.625,0.183,48-024,84-278,25.0,30.0,54.625,ScffcF
13.175,19.7125,49.8125,0.181,48-024,LA4936,25.0,30.1,49.8125,ScffcF
13.55,44.93333333333334,75.03333333333333,0.181,36-686,LA4936,27.0,30.1,75.03333333333333,ScffcF
13.175,61.11666666666666,101.21666666666667,0.181,LA4002,LA4130,25.0,40.1,101.21666666666667,ScffcF
14.333333333333332,104.33333333333334,164.33333333333334,0.178,84-277,84-280,25.0,60.0,164.33333333333334,ScffcF
14.333333333333332,36.83333333333333,81.83333333333333,0.176,84-277,84-279,25.0,45.0,81.83333333333333,ScffcF
14.833333333333332,67.33333333333333,112.33333333333333,0.176,36-686,84-279,27.0,45.0,112.33333333333333,ScffcF
13.175,38.15416666666667,73.15416666666667,0.172,84-277,LA4003,25.0,35.0,73.15416666666667,ScffcF
14.333333333333332,104.33333333333334,164.33333333333334,0.164,LA4002,84-280,25.0,60.0,164.33333333333334,ScffcF
14.333333333333332,36.83333333333333,81.83333333333333,0.162,LA4002,84-279,25.0,45.0,81.83333333333333,ScffcF
14.333333333333332,39.43333333333334,89.63333333333334,0.152,LA4002,LA4765,25.0,50.2,89.63333333333334,ScffcF
14.333333333333332,84.33333333333334,144.33333333333334,0.15,LA4002,LA4042,25.0,60.0,144.33333333333334,ScffcF
