lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation
84-277,84-279,25.0,45.0,12.325334658320571,17.076284620566362,62.07628462056636,62.07628462056636,0.4875,SfccfF
LA4002,84-278,25.0,30.0,11.603325164429357,15.807819127867303,45.807819127867305,45.807819127867305,0.4435,SfccfF
LA4002,LA4130,25.0,40.1,12.45041699660942,16.652270954581834,56.75227095458183,56.75227095458183,0.4385,SfccfF
LA4002,LA4936,25.0,30.1,11.598234831384616,15.807981882273918,45.907981882273916,45.907981882273916,0.438,SfccfF
84-277,LA4003,25.0,35.0,11.643380866385996,16.3955650353802,51.3955650353802,51.3955650353802,0.4315,SfccfF
84-277,84-278,25.0,30.0,11.28646893719339,16.04080695832712,46.040806958327124,46.040806958327124,0.4295,SfccfF
84-277,LA4936,25.0,30.1,11.220859644552547,15.977666089441811,46.07766608944181,46.07766608944181,0.4285,SfccfF
36-686,84-279,27.0,45.0,12.903749380980212,18.90381114385891,63.90381114385891,63.90381114385891,0.4235,SfccfF
LA4002,84-279,25.0,45.0,12.72336337249726,17.462866641208286,62.46286664120829,62.46286664120829,0.4165,SfccfF
LA4002,LA4042,25.0,60.0,13.327741322299822,17.529455484632066,77.52945548463207,77.52945548463207,0.411,SfccfF
36-686,LA4936,27.0,30.1,11.52575231356813,17.530146078695275,47.630146078695276,47.630146078695276,0.4,SfccfF
36-686,84-280,27.0,60.0,13.496772454017277,19.502061074051404,79.5020610740514,79.5020610740514,0.398,SfccfF
LA4002,LA4765,25.0,50.2,12.963775982680232,17.18423870957877,67.38423870957877,67.38423870957877,0.395,SfccfF
84-277,LA4765,25.0,50.2,12.558239890765435,17.314787364003465,67.51478736400347,67.51478736400347,0.391,SfccfF
84-277,84-280,25.0,60.0,12.928361121184032,17.67883462130345,77.67883462130345,77.67883462130345,0.3885,SfccfF
LA4002,84-280,25.0,60.0,13.337870211705322,17.931618784742362,77.93161878474237,77.93161878474237,0.3845,SfccfF
36-686,LA4003,27.0,35.0,12.018719851969754,18.021222475642936,53.021222475642936,53.021222475642936,0.379,SfccfF
36-686,84-278,27.0,30.0,11.529139759164355,17.53132029285375,47.53132029285375,47.53132029285375,0.378,SfccfF
48-024,84-278,25.0,30.0,11.323290371040684,17.98731547036909,47.98731547036909,47.98731547036909,0.376,SfccfF
48-024,LA4936,25.0,30.1,11.306167059040412,19.252389272751174,49.352389272751175,49.352389272751175,0.3275,SfccfF
LA4002,LA4003,25.0,35.0,21.30915690602799,25.50960261717112,60.50960261717112,60.50960261717112,0.0035,SfccfF
